gene	orig.ident	first_type	n_high_spots	n_other_spots	high_neighbor_fraction	other_neighbor_fraction	delta_neighbor_fraction	enrichment_ratio
KCNMB1	IU_PDA_T6	Normal Epithelial cells	20	3377	0.15333333333333335	0.25586812752936766	-0.10253479419603431	0.5994235876719834
KCNMB1	IU_PDA_T6	iCAF	20	3377	0.006666666666666666	0.0018162076793998626	0.004850458987266803	3.5312804240435565
KCNMB1	IU_PDA_T6	B cells	20	3377	0.0	0.0	0.0	1.0
KCNMB1	IU_PDA_T6	DCs	20	3377	0.0	0.0	0.0	1.0
KCNMB1	IU_PDA_T6	SPP1-TAM	20	3377	0.0	0.000552758858947784	-0.000552758858947784	0.1531959292918601
KCNMB1	IU_PDA_T6	PVL	20	3377	0.0	0.00025663804165432827	-0.00025663804165432827	0.28039633555672416
KCNMB1	IU_PDA_T6	C1Q-TAM	20	3377	0.0	0.0	0.0	1.0
KCNMB1	IU_PDA_T6	CD4+ cells	20	3377	0.0	0.0	0.0	1.0
KCNMB1	IU_PDA_T6	FCN1-TAM	20	3377	0.0	0.0	0.0	1.0
KCNMB4	IU_PDA_T6	myCAF	20	3377	0.6433333333333333	0.4308557891619774	0.2124775441713559	1.493037915987932
KCNMB4	IU_PDA_T6	Tumor Epithelial cells	20	3377	0.26	0.31027539236008406	-0.05027539236008405	0.8380174665981357
KCNMB4	IU_PDA_T6	Normal Epithelial cells	20	3377	0.09666666666666666	0.25620373112230016	-0.15953706445563348	0.37754685131950977
KCNMB4	IU_PDA_T6	iCAF	20	3377	0.0	0.0018556904550389897	-0.0018556904550389897	0.05113283635574443
KCNMB4	IU_PDA_T6	B cells	20	3377	0.0	0.0	0.0	1.0
KCNMB4	IU_PDA_T6	DCs	20	3377	0.0	0.0	0.0	1.0
KCNMB4	IU_PDA_T6	SPP1-TAM	20	3377	0.0	0.000552758858947784	-0.000552758858947784	0.1531959292918601
KCNMB4	IU_PDA_T6	PVL	20	3377	0.0	0.00025663804165432827	-0.00025663804165432827	0.28039633555672416
KCNMB4	IU_PDA_T6	C1Q-TAM	20	3377	0.0	0.0	0.0	1.0
KCNMB4	IU_PDA_T6	CD4+ cells	20	3377	0.0	0.0	0.0	1.0
KCNMB4	IU_PDA_T6	FCN1-TAM	20	3377	0.0	0.0	0.0	1.0
KCNN3	IU_PDA_T6	myCAF	20	3377	0.5733333333333334	0.4312703583061882	0.14206297502714516	1.3293294782352856
KCNN3	IU_PDA_T6	Tumor Epithelial cells	20	3377	0.2533333333333333	0.31031487513572314	-0.056981541802389846	0.8164342421493953
KCNN3	IU_PDA_T6	Normal Epithelial cells	20	3377	0.16999999999999998	0.2557694205902698	-0.08576942059026982	0.6647922194359654
KCNN3	IU_PDA_T6	iCAF	20	3377	0.0	0.0018556904550389897	-0.0018556904550389897	0.05113283635574443
KCNN3	IU_PDA_T6	B cells	20	3377	0.0	0.0	0.0	1.0
KCNN3	IU_PDA_T6	DCs	20	3377	0.0	0.0	0.0	1.0
KCNN3	IU_PDA_T6	SPP1-TAM	20	3377	0.0	0.000552758858947784	-0.000552758858947784	0.1531959292918601
KCNN3	IU_PDA_T6	PVL	20	3377	0.003333333333333333	0.00023689665383476457	0.0030964366794985687	10.19105798247927
KCNN3	IU_PDA_T6	C1Q-TAM	20	3377	0.0	0.0	0.0	1.0
KCNN3	IU_PDA_T6	CD4+ cells	20	3377	0.0	0.0	0.0	1.0
KCNN3	IU_PDA_T6	FCN1-TAM	20	3377	0.0	0.0	0.0	1.0
KCNN4	IU_PDA_T6	myCAF	51	3346	0.4392156862745099	0.4319984060569828	0.0072172802175271	1.0167028623951353
KCNN4	IU_PDA_T6	Tumor Epithelial cells	51	3346	0.4274509803921568	0.30818888224746077	0.11926209814469602	1.3868517647320326
KCNN4	IU_PDA_T6	Normal Epithelial cells	51	3346	0.1320261437908497	0.2571428571428594	-0.1251167133520097	0.5136241497950462
