gene	first_type	n_sections_used	n_sections_positive_delta	median_high_neighbor_fraction	median_other_neighbor_fraction	median_delta_neighbor_fraction	median_enrichment_ratio	wilcoxon_statistic	wilcoxon_pvalue	wilcoxon_fdr_global	wilcoxon_fdr_within_gene
KCNJ8	PVL	10	5	0.002857142857142857	0.003337280273359623	0.0005410212678100765	0.7891491670637965	17.0	0.322265625	0.6892903645833334	0.3544921875
KCNJ8	C1Q-TAM	10	4	0.002560386473429952	0.0017115477814235	0.0	1.0	13.0	0.9375	1.0	0.9375
KCNJ8	FCN1-TAM	10	4	0.0	0.00036113340126397346	0.0	1.0	4.0	0.21875	0.595360824742268	0.2840711805555556
KCNJ8	SPP1-TAM	10	4	0.0025457875457875457	0.004093031305703485	-0.0018416312911170751	0.579608266285604	15.0	0.232421875	0.595360824742268	0.2840711805555556
KCNJ8	Normal Epithelial cells	10	1	0.019494949494949496	0.07497709631232322	-0.039410907803187636	0.2938350420879218	3.0	0.009765625	0.1611328125	0.0537109375
KCNJ8	Tumor Epithelial cells	10	0	0.052525252525252523	0.14485130516418698	-0.053470288037967134	0.49025105430361277	0.0	0.001953125	0.056396484375	0.021484375
KCNK1	Tumor Epithelial cells	10	7	0.16566907464740283	0.14424654062181874	0.02113821178107433	1.1379558376107943	10.0	0.083984375	0.451171875	0.3079427083333333
KCNK1	myCAF	10	6	0.6803577571379429	0.6278917760638008	0.0014024836254864503	1.002712740397552	24.0	0.76953125	0.945541057180851	0.845703125
KCNK1	C1Q-TAM	10	5	0.002275025278058645	0.001689032046320961	0.00047800079215429324	1.085821621785127	8.0	0.375	0.7734375	0.7243303571428571
KCNK1	B cells	10	4	0.00040160642570281126	0.0026145142528486986	0.0	1.0	9.0	0.84375	0.9967215401785714	0.845703125
KCNK1	CD4+ cells	10	2	0.0	0.0007985524177914892	0.0	1.0	5.0	0.3125	0.6875	0.7243303571428571
KCNK1	FCN1-TAM	10	4	0.0007751937984496124	0.00034778508389996714	0.0	1.0	6.0	0.4375	0.7751677852348994	0.7243303571428571
KCNK1	DCs	10	3	0.003391812865497076	0.003080614983218013	-0.00018228205682873825	0.9042823569713893	12.0	0.4609375	0.7751677852348994	0.7243303571428571
KCNK1	PVL	10	4	0.0009137188356611408	0.0033614771561587633	-0.00029298215304431237	0.7295558153855601	25.0	0.845703125	0.9967215401785714	0.845703125
