gene	n_sections_tested	n_sections_fdr_lt_0_05	n_sections_auc_gt_0_60	median_log2fc	max_log2fc	median_auc	max_auc	median_pct_positive_icaf	median_pct_positive_other	min_fdr	top_section	top_section_fdr
ARIH2OS	8	0	0	-14.698137537128702	-0.7158323017293149	0.4966553556393377	0.49769850402761795	0.0	0.008113369871259251	0.2824996419528258	IU_PDA_T3	0.2824996419528258
CCDC96	8	0	0	-14.700059407798754	-0.05914537798088757	0.4959618199591867	0.4984989492644851	0.0	0.011247764653086825	0.27479093286441186	IU_PDA_T3	0.27479093286441186
EDA2R	8	0	0	-14.707438979855635	0.6666112497768897	0.49723212991719545	0.5042291142261122	0.0	0.013478052939097165	0.4547565660843499	IU_PDA_T3	0.4547565660843499
FOLR1	8	0	0	-14.711763493875438	-0.47682976474170896	0.4940104729604765	0.498134328358209	0.0	0.014124528868822154	0.05221728569949208	IU_PDA_T12	0.05221728569949208
PDE11A	8	0	0	-14.711800356546217	0.49031044626091225	0.49366019358127966	0.5026930699399054	0.0	0.013580800559579413	0.21900674735000164	IU_PDA_T3	0.21900674735000164
FOXO6	8	0	0	-14.71619071777269	-0.08309345920722418	0.4972183028112466	0.49920648803081485	0.0	0.006794780413238754	0.7476675911588151	IU_PDA_T3	0.7476675911588151
SLC22A1	8	0	0	-14.717044607250422	0.5410621333879276	0.49745667476630867	0.503014417784757	0.0	0.008084203060458388	0.48582386525069526	IU_PDA_T3	0.48582386525069526
ELFN1	8	0	0	-14.717057680644313	0.13576648267552474	0.4968616225056728	0.5047739900701007	0.0	0.011507261971596697	0.09922759175393457	IU_PDA_T3	0.09922759175393457
ADORA2B	8	0	0	-14.71741767102626	0.9267350089616453	0.49629917421494074	0.5042835010903177	0.0	0.013267505705743756	0.3815517395432304	IU_PDA_T3	0.3815517395432304
C16orf46	8	0	0	-14.728402480408256	-0.558278057449559	0.49565905081618783	0.49758523273984095	0.0	0.011051028402808796	0.1287344336889209	IU_PDA_T3	0.1287344336889209
GOLGA8T	8	0	0	-14.72925026218875	-0.22190165777158413	0.4964599301431085	0.49850746268656715	0.0	0.009179937088371178	0.20648522668982205	IU_PDA_T3	0.20648522668982205
FDXACB1	8	0	0	-14.731537239968151	1.9781642807535524	0.4956414919548161	0.5043019861057836	0.0	0.010871614506446968	0.506551175119294	IU_PDA_T3	0.506551175119294
TIPARP	8	0	0	-14.732874929074466	-0.07282181752581825	0.4982027195695244	0.5023701206228975	0.0	0.006044365606824016	0.32794584294570994	IU_PDA_T3	0.32794584294570994
OR4F21	8	0	0	-14.736216092897841	1.5911559208677575	0.4974730830611667	0.5015045768704801	0.0	0.005053833877666543	0.5921392947071693	IU_PDA_T3	0.5921392947071693
EXOC3L1	8	0	0	-14.736948199058714	1.4136709651232555	0.496920534516193	0.5094814241486069	0.0	0.009592915995597768	0.6601617431774275	IU_PDA_T9	0.6601617431774275
INHA	8	0	0	-14.745701806539074	0.5738680625379126	0.49591901653322173	0.5033215558583316	0.0	0.012948394318665374	0.39870685918371085	IU_PDA_T3	0.39870685918371085
ALKAL1	8	0	0	-14.746211951158717	-1.0016233631174645	0.49533931794681585	0.4976120986999204	0.0	0.009321364106368343	0.05383979230970342	IU_PDA_T3	0.05383979230970342
TTLL10	8	0	0	-14.752100189968449	-0.8697207511851357	0.49419902100151913	0.4991369390103567	0.0	0.011601957996961777	0.15950127152415627	IU_PDA_T3	0.15950127152415627
RAB27B	8	0	0	-14.752449346034721	-0.550305722063808	0.47599149260533696	0.4986744432661718	0.0	0.053397908309342115	0.16859722194013316	IU_PDA_T12	0.16859722194013316
LSM3	8	0	0	-14.766737244193301	4.107325572327819	0.4968245842640854	0.5123518437225637	0.0	0.007614290767057619	0.2188874997888654	IU_PDA_T3	0.2188874997888654
PCP2	8	0	0	-14.772743509468063	1.6550322790306398	0.49616473135672584	0.5051951791940272	0.0	0.009017478638454524	0.6237531922775575	IU_PDA_T12	0.6237531922775575
CABCOCO1	8	0	0	-14.778046869626799	1.3613813367667995	0.4972206979806848	0.5080233086237289	0.0	0.006559492584954623	0.30827931169572437	IU_PDA_T9	0.30827931169572437
HMGCS2	8	0	0	-14.787406876870218	0.0	0.4905613313647912	0.5	0.0	0.01887733727041765	0.15033785436889213	IU_PDA_T12	0.15033785436889213
AC021097.2	8	0	0	-14.791061276671476	1.3156958444475957	0.49673106509110065	0.5101570488733383	0.0	0.010949488491048594	0.0985534695516184	IU_PDA_T3	0.0985534695516184
UCP3	8	0	0	-14.792665992419643	-0.39299705105890087	0.4956028885191262	0.4982738780207135	0.0	0.011836652570903557	0.4648651042472869	IU_PDA_T3	0.4648651042472869
ATP6V1E2	8	0	0	-14.794698962792463	0.26804528028023744	0.4963308457711443	0.5004888037010523	0.0	0.009687779719681797	0.5338297846715572	IU_PDA_T12	0.5338297846715572
THAP9	8	0	0	-14.795611867700572	2.3233222374431146	0.4966986828356713	0.506941535561606	0.0	0.008398441561141955	0.17559510728389408	IU_PDA_T3	0.17559510728389408
GINS3	8	0	0	-14.79841412429069	1.254534099118276	0.4953102136376939	0.5118548953418177	0.0	0.012832808914767797	0.09228119461224382	IU_PDA_T3	0.09228119461224382
NKAPL	8	0	0	-14.801112898189736	1.7126918523540549	0.49789505435996084	0.5040016816765022	0.0	0.006630632437924273	0.2023936239135894	IU_PDA_T3	0.2023936239135894
SLC12A5	8	0	0	-14.802385450200797	0.8849779404895175	0.49673464378566723	0.5120443149478249	0.0	0.010732253659264591	0.4979321684782893	IU_PDA_T12	0.4979321684782893
ZNF90	8	0	0	-14.806849176187214	1.0698570455524317	0.49577920107433604	0.5069795010353402	0.0	0.012489308720763927	0.13666865351978696	IU_PDA_T3	0.13666865351978696
ABCG2	8	0	0	-14.807894567865572	0.9794903273053945	0.49539561255861086	0.5034110929049268	0.0	0.010345482114640599	0.2821082682309889	IU_PDA_T3	0.2821082682309889
HOXD9	8	0	0	-14.808183890074403	3.1291854021819034	0.49600110764720234	0.5140487149980821	0.0	0.013499077892753866	0.1132975384881937	IU_PDA_T12	0.1132975384881937
SULT1B1	8	0	0	-14.811253951497836	1.4289399645091498	0.4930896985659936	0.5007290562036055	0.0	0.014213331539545116	0.09553576425799178	IU_PDA_T12	0.09553576425799178
ZSCAN22	8	0	0	-14.820178313214642	1.4151212705406806	0.49669629136733706	0.5076137441634121	0.0	0.012136862718006527	0.28075872232898574	IU_PDA_T3	0.28075872232898574
TMEM171	8	0	0	-14.822555147659719	0.011973449369973937	0.49672759025602686	0.5026064530289728	0.0	0.012697554412616233	0.27491467435348127	IU_PDA_T3	0.27491467435348127
DNM3	8	0	0	-14.82292379035901	1.3946975969975643	0.49678134070728064	0.5201192881518807	0.0	0.015975787985497945	0.10810164265720475	IU_PDA_T12	0.10810164265720475
TIGD4	8	0	0	-14.823150647267052	2.2209367780125353	0.49616473135672584	0.5100973942208462	0.0	0.007894580649245817	0.18717548594729932	IU_PDA_T3	0.18717548594729932
