orig.ident	gene	n_icaf_spots	n_other_spots	mean_normexpr_icaf	mean_normexpr_other	log2fc_icaf_vs_other	pct_positive_icaf	pct_positive_other	delta_pct_positive	auc_icaf_vs_other	mannwhitney_pvalue	mannwhitney_fdr
IU_PDA_T1	KCNB1	54	3476	0.0	0.009123581480943027	-13.155542672669227	0.0	0.0008630609896432681	-0.0008630609896432681	0.49956846950517836	0.8300707867247455	1.0
IU_PDA_T1	KCNJ15	54	3476	0.47413285910234826	0.09839791361084069	2.268580130801389	0.05555555555555555	0.014959723820483314	0.04059583173507224	0.5203725013851596	0.016471354866852337	0.7825761088063738
IU_PDA_T1	KCNK15	54	3476	0.0	0.023899559985870265	-14.544756800239723	0.0	0.0020138089758342925	-0.0020138089758342925	0.4989930955120829	0.7420245921859427	1.0
IU_PDA_T10	KCNAB2	34	2680	0.31057829678862037	0.5078950555295676	-0.7095716067033013	0.029411764705882353	0.08507462686567165	-0.05566286215978929	0.4730245829675154	0.261526679928476	1.0
IU_PDA_T10	KCNQ4	34	2680	0.0	0.0484920687874521	-15.565490934260152	0.0	0.005970149253731343	-0.005970149253731343	0.49701492537313435	0.6520210992543105	1.0
IU_PDA_T10	KCNC4	34	2680	0.3905944848058745	0.1492098298117967	1.3883230210302777	0.029411764705882353	0.03171641791044776	-0.00230465320456541	0.49925921861281825	0.9612158009919478	1.0
IU_PDA_T10	KCND3	34	2680	0.0	0.09493444119807613	-16.534659152733287	0.0	0.018656716417910446	-0.018656716417910446	0.4906716417910448	0.42184782435644397	1.0
IU_PDA_T10	KCNN3	34	2680	0.0	0.1289671802934996	-16.9766556346946	0.0	0.019402985074626865	-0.019402985074626865	0.49029850746268655	0.4125304121811739	1.0
IU_PDA_T10	KCNT2	34	2680	0.0	0.0075966448083965585	-12.891336551923926	0.0	0.0026119402985074628	-0.0026119402985074628	0.4986940298507463	0.7664057719075676	1.0
IU_PDA_T10	KCNK1	34	2680	0.9127463132340115	1.0140122382462409	-0.15178906522245914	0.058823529411764705	0.1705223880597015	-0.11169885864793679	0.448578797190518	0.11407071496627126	0.9514374571846996
IU_PDA_T10	KCNS3	34	2680	0.0	0.3171872511067879	-18.274979807950675	0.0	0.054104477611940295	-0.054104477611940295	0.47294776119402987	0.16367649500714454	1.0
IU_PDA_T10	KCNK3	34	2680	0.02122520365582908	0.015599111112878048	0.44429006092808726	0.029411764705882353	0.004104477611940298	0.025307287093942053	0.5125932835820896	0.02793141567760018	0.6286500889550943
IU_PDA_T10	KCNE4	34	2680	0.2605116448705257	0.36321476343493314	-0.47947341610711164	0.029411764705882353	0.05	-0.02058823529411765	0.4900735294117647	0.5971603302694075	1.0
IU_PDA_T10	KCNAB1	34	2680	0.0	0.012630324020507594	-13.624718250480543	0.0	0.001119402985074627	-0.001119402985074627	0.4994402985074627	0.8467651171474002	1.0
