"gene_symbol","category","mean_CTRL","mean_shSigmaR1","median_CTRL","median_shSigmaR1","delta_sh_minus_ctrl","wilcox_p","rank_biserial","log2FoldChange","pvalue","padj","rho_all","rho_pvalue","rho_n","rho_CTRL","rho_CTRL_pvalue","rho_shSigmaR1","rho_shSigmaR1_pvalue","wilcox_padj","rho_padj"
"ABI3BP","csCAF",14.5871607101917,13.9637049114101,14.4913223979948,14.0359302262795,-0.623455798781608,0.0808555983700523,-1,-0.562146016097809,2.79130825235692e-05,0.000729687450212092,0.6,0.241666666666667,6,,,,,0.242566795110157,0.491964285714286
"HSPB6","csCAF",12.7556015839765,13.1309951790113,12.7658629977942,13.1107210386152,0.375393595034867,0.0808555983700523,1,0.324457313147334,0.00281089278750069,0.0283513578166621,-0.6,0.241666666666667,6,,,,,0.242566795110157,0.491964285714286
"KDM6B","iCAF",11.4363141941416,12.0363242107048,11.6262992174364,12.1925930900232,0.600010016563177,0.190430263825524,0.777777777777778,0.55675938695634,0.000517625502547999,0.00767247881210895,-0.6,0.241666666666667,6,,,,,0.409604718417165,0.491964285714286
"THAP2","iCAF",9.23118312250939,8.96621782570409,9.18228969603704,8.9997269424761,-0.264965296805297,0.0808555983700523,-1,-0.257103598096379,0.0399602197213193,0.180110090941245,0.6,0.241666666666667,6,,,,,0.242566795110157,0.491964285714286
"EFNB2","iCAF",8.62130472839584,8.43679275893321,8.58283238061731,8.42539187910471,-0.184511969462626,0.190430263825524,-0.777777777777778,-0.137912741412457,0.154840385908202,0.410368638303748,0.6,0.241666666666667,6,,,,,0.409604718417165,0.491964285714286
"CYB5D1","iCAF",8.34630108108748,8.27791833460517,8.42154743864916,8.23507107708995,-0.0683827464823157,0.662520583540057,-0.333333333333333,-0.0397550073688062,0.591314697429054,0.807728511003057,0.6,0.241666666666667,6,,,,,0.829970840918314,0.491964285714286
"STAT2","ifCAF",12.2687225703215,12.8011466549454,12.3997060730741,13.0048646833124,0.532424084623871,0.382733088885226,0.555555555555556,0.467467829293286,0.00149415419392053,0.0173557946762402,-0.6,0.241666666666667,6,,,,,0.597692768944052,0.491964285714286
"IFI44","ifCAF",10.0086354208949,9.59936424908457,9.81995404214393,9.53020924300994,-0.40927117181036,0.190430263825524,-0.777777777777778,-0.348559410428573,0.0158130151791843,0.0994268301353957,0.6,0.241666666666667,6,,,,,0.409604718417165,0.491964285714286
"COL1A1","myCAF",18.5526835371157,19.2471305967367,18.5531452099282,19.2482365000256,0.694447059621083,0.0808555983700523,1,0.660777212767596,2.65237011581413e-09,3.14877699987476e-07,-0.6,0.241666666666667,6,,,,,0.242566795110157,0.491964285714286
"TRIM59","myCAF",12.2539812842309,11.7664114956278,12.2473005170835,11.7566475508715,-0.487569788603126,0.0808555983700523,-1,-0.462966785651891,4.35984871388915e-05,0.00104089377043774,0.6,0.241666666666667,6,,,,,0.242566795110157,0.491964285714286
