"gene","mean_CTRL","mean_shSigmaR1","delta","signature"
"SFRP1",9.91072094655833,9.33382380080998,-0.576897145748351,"csCAF"
"MGST1",13.4631956360968,13.1281151195834,-0.335080516513328,"csCAF"
"EPHA3",9.28049037205434,8.97410966804606,-0.306380704008285,"csCAF"
"APOE",9.74098994507157,9.53975588123923,-0.20123406383234,"csCAF"
"NDRG2",8.52279879107077,8.41370572910119,-0.109093061969581,"csCAF"
"TNXB",8.8415515930707,8.767190178336,-0.0743614147346996,"csCAF"
"PDK4",7.69963631282635,7.68432123186895,-0.0153150809574001,"csCAF"
"GPX3",11.0329046310588,11.0325448109883,-0.000359820070467975,"csCAF"
"CCDC102B",7.82003231037831,7.82657164921989,0.00653933884157443,"csCAF"
"ABCA8",8.65804108759782,8.69543522548275,0.0373941378849345,"csCAF"
"NFIA",9.85019635697884,9.8876899849103,0.0374936279314646,"csCAF"
"MGP",8.01975818828974,8.07239439895467,0.0526362106649323,"csCAF"
"THBS4",7.99383683613291,8.06388410673554,0.0700472706026334,"csCAF"
"CFD",7.60180089936188,7.72199252292548,0.120191623563602,"csCAF"
"HSPB6",12.7556015839765,13.1309951790113,0.375393595034867,"csCAF"
"CCL2",10.2740098801304,10.7645439646848,0.490534084554355,"csCAF"
"SOD3",9.5914571773813,10.0968120398811,0.505354862499845,"csCAF"
"CAV1",15.2666503443054,14.5284828626689,-0.73816748163657,"apCAF"
"ARHGDIB",11.7430812911786,11.2704088231678,-0.472672468010808,"apCAF"
"SERPINB2",8.9864359742849,8.68066576786171,-0.30577020642319,"apCAF"
"ENPP2",10.4200391514513,10.1349574633423,-0.285081688109047,"apCAF"
"DCN",10.843004191927,10.6121298743732,-0.230874317553807,"apCAF"
"KRT19",9.7883530887158,9.61461195464109,-0.17374113407471,"apCAF"
"HLA-DQB1",7.63159447574261,7.49998739808906,-0.131607077653548,"apCAF"
"CD74",7.64345524826825,7.51510265034115,-0.128352597927102,"apCAF"
"EZR",14.5068262135076,14.3922114672724,-0.114614746235235,"apCAF"
"CIITA",8.29741280823984,8.20979332070848,-0.0876194875313594,"apCAF"
"CXCL5",7.84976445185845,7.76813524659834,-0.0816292052601106,"apCAF"
"HLA-DPB1",7.74957714304141,7.68193619750228,-0.067640945539126,"apCAF"
"HLA-DPA1",7.96518278956869,7.93170908263562,-0.0334737069330648,"apCAF"
"DMKN",9.9101717651222,9.89836621801016,-0.0118055471120471,"apCAF"
"KRT7",13.2529494369747,13.2431869911104,-0.00976244586428443,"apCAF"
"PTGIS",8.96426490772722,8.9698729761125,0.00560806838527128,"apCAF"
"SPINT2",7.84096670491272,7.84850309111466,0.00753638620194064,"apCAF"
"CLU",11.0058958346265,11.0342202507063,0.0283244160798635,"apCAF"
"HLA-DMB",7.49126883342171,7.60797879659908,0.116709963177368,"apCAF"
"SDC4",13.6622496907573,13.8350971632188,0.172847472461511,"apCAF"
"KRT18",14.3661144573181,14.5907587313444,0.22464427402633,"apCAF"
"KRT8",11.392949744849,11.6244216152969,0.231471870447933,"apCAF"
"FTH1",15.1245920533724,15.4224791086594,0.297887055286928,"apCAF"
"CXADR",8.42921397893886,8.74507185060514,0.315857871666283,"apCAF"
"HLA-DMA",8.64370627314571,9.00048161363328,0.356775340487571,"apCAF"
"HSPB1",14.0342558585403,14.4131532376745,0.378897379134157,"apCAF"
"COL1A1",18.5526835371157,19.2471305967367,0.694447059621083,"apCAF"
"IFI44",10.0086354208949,9.59936424908457,-0.40927117181036,"ifCAF"
"IFI44L",8.72943756449946,8.33842596139734,-0.391011603102118,"ifCAF"
"IFIT1",10.1905115170816,9.92936802767165,-0.261143489409925,"ifCAF"
