"gene_symbol","Category","Significance","DE_padj","W_p","W_padj","label"
"IRF9","ifCAF","NS",0.798693835393464,0.662520583540057,0.829970840918314,"IRF9"
"STAT2","ifCAF","DE_FDR<0.05",0.0173557946762402,0.382733088885226,0.597692768944052,"STAT2"
"IRF7","ifCAF","NS",0.110839701848723,0.190430263825524,0.409604718417165,"IRF7"
"ISG15","ifCAF","NS",0.894617888309135,0.662520583540057,0.829970840918314,"ISG15"
"STAT1","ifCAF","NS",0.933032959453347,1,1,"STAT1"
"IFIT1","ifCAF","NS",0.201779732848811,0.0808555983700523,0.242566795110157,"IFIT1"
"IFI44","ifCAF","NS",0.0994268301353957,0.190430263825524,0.409604718417165,"IFI44"
"IFI44L","ifCAF","NS",0.0520563169495136,0.0808555983700523,0.242566795110157,"IFI44L"
"IFIT2","ifCAF","NS",0.864303674893969,0.662520583540057,0.829970840918314,"IFIT2"
"IFIT3","ifCAF","NS",0.996208029769769,0.662520583540057,0.829970840918314,"IFIT3"
"OAS1","ifCAF","NS",,0.382733088885226,0.597692768944052,"OAS1"
"MX1","ifCAF","NS",0.949175231680835,0.662520583540057,0.829970840918314,"MX1"
"OAS2","ifCAF","NS",0.98006696180036,1,1,"OAS2"
