"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_IL2_STAT5_SIGNALING",0.0465228691828274,0.0969226441308904,0.321775918075361,0.306481541076067,1.25219675347531,161,"P2RX4;F2RL2;ECM1;CSF1;SYNGR2;MYO1C;APLP1;CD83;MXD1;IFITM3;PTCH1;SLC1A5;COCH;CCNE1;LRIG1;IGF2R;GPX4;IGF1R;MUC1;PRAF2;MYC;CTSZ;NFIL3;WLS;UCK2;ST3GAL4;DENND5A;HK2;RNH1;LIF;PIM1;BHLHE40;CD81;CDKN1C;AHCY;SYT11"
"HALLMARK_APOPTOSIS",0.058485513696082,0.112472141723235,0.321775918075361,0.316979815752144,1.2754388976286,145,"BTG2;CDKN1A;NEDD9;FDXR;IL6;RARA;PDGFRB;TIMP2;BGN;MMP2;BCL2L11;IFITM3;IRF1;F2R;TAP1;HSPB1;DAP;IER3;DDIT3;IGF2R;GPX4;GSN;BCL2L2;SATB1;GCH1;RNASEL;CASP7;CCNA1;SAT1;KRT18;PEA15;RELA;DFFA;SPTAN1;PPP2R5B;ATF3;BCL2L1;ERBB2;PSEN1"
"HALLMARK_HYPOXIA",0.0580282537241314,0.112472141723235,0.321775918075361,0.298770585738058,1.23827013941716,174,"CDKN1A;COL5A1;HOXB9;GAA;IL6;CITED2;GCNT2;KDELR3;HDLBP;BGN;SDC3;PNRC1;IER3;STC2;DDIT3;GPC1;NAGK;ANKZF1;NFIL3;PFKL;PRDX5;SIAH2;HEXA;SLC2A1;HK2;GPC4;P4HA2;NDST1;TGFB3;FOSL2;B3GALT6;SCARB1;PIM1;KDM3A;BHLHE40;CDKN1C;PAM;DTNA;PGM1;PLAUR"
"HALLMARK_ANGIOGENESIS",0.118075801749271,0.21865889212828,0.154190966581424,-0.515886962065771,-1.30995936045088,29,"S100A4;LUM;POSTN;SPP1;VCAN"
"HALLMARK_APICAL_SURFACE",0.189189189189189,0.320512820512821,0.188204146308491,0.388846380555676,1.20796807049439,34,"HSPB1;EFNA5;NCOA6;EPHB4;PCSK9;RTN4RL1;B4GALT1;CROCC;TMEM8B;PLAUR"
"HALLMARK_KRAS_SIGNALING_UP",0.187995469988675,0.320512820512821,0.102449405629826,-0.370221251244443,-1.16808041339066,140,"RELN;ANXA10;TFPI;ITGA2;ADGRL4;PRELID3B;ERO1A;NIN;USP12;INHBA;PTBP2;MMD;SPP1;CFH;SOX9;ITGBL1;STRN;TMEM158;CCSER2;EVI5"
"HALLMARK_ALLOGRAFT_REJECTION",0.192307692307692,0.320512820512821,0.287857117255149,0.28559179167422,1.11768452372104,111,"ICAM1;IL6;HLA-DMA;WARS1;CSF1;IL27RA;CCL2;TAPBP;IRF7;F2R;TAP1;HLA-E;TGFB1;HLA-A;INHBB;FLNA;BCL3"
"HALLMARK_MYC_TARGETS_V2",0.237611181702668,0.383243841455917,0.0952879846194844,-0.405319536179005,-1.15427164221648,58,"PLK4;CBX3;MPHOSPH10;GNL3;DDX18;HSPE1;NPM1;NDUFAF4;HSPD1;PRMT3"
"HALLMARK_UV_RESPONSE_UP",0.262107412819544,0.409542832530537,0.203508959461977,0.271709280862065,1.09188439284851,141,"BTG2;ICAM1;MMP14;IL6;JUNB;HLA-F;TUBA4A;NR4A1;KLHDC3;BCL2L11;SHOX2;IRF1;TAP1;CCNE1;BAK1;GRINA;DLG4;STK25;GCH1;STARD3;APOM;RXRB;MRPL23;CDKN1C;CYB5R1;NXF1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.298813376483279,0.439431436004823,0.0738052724171275,-0.337216697476736,-1.08835824186512,198,"GLUD1;ACADM;NDUFA5;SUCLA2;OPA1;DLD;CYCS;COX8A;ATP6V1C1;UQCRB;DLAT;NDUFS4;ATP6V1D;TIMM17A;LRPPRC;ATP5PB;COX6C;LDHB;MRPL35;MRPL15;COX11;ATP5MG;SDHD;ACADSB;BDH2;SLC25A3;MRPS22;RHOT1;MTRR;ATP1B1;MTRF1;NDUFA6;TIMM9;COX7B;NDUFB3;PRDX3;TIMM10;TOMM22;ETFA;FDX1;VDAC3;ACAT1;PDHX;TIMM8B;PDP1;MRPS30;UQCRC2;ISCA1;TOMM70;SUCLG1;IDH3A;ATP6V1E1;UQCR10;COX17;TIMM50;LDHA"
