sample	view	Predictor	Target	Importance	Predictor_original
IU_PDA_T12	juxta_ct	Normal_Epithelial_cells	KCNMA1	3.37604659134856	Normal Epithelial cells
IU_PDA_T12	juxta_ct	T_NK_cells	KCNMA1	4.09951287953387	T-NK cells
IU_PDA_T12	juxta_ct	Tumor_Epithelial_cells	KCNMA1	121.538952109575	Tumor Epithelial cells
IU_PDA_T12	para_ct	Fibroblasts	KCNMA1	73.5994481402547	Fibroblasts
IU_PDA_T12	para_ct	Monocytes	KCNMA1	76.2297609176224	Monocytes
IU_PDA_T12	para_ct	B_cells	KCNMA1	76.9107492820468	B cells
IU_PDA_T12	para_ct	TAM	KCNMA1	85.6535025867502	TAM
IU_PDA_T12	para_ct	Endothelial_cells	KCNMA1	73.5623443793664	Endothelial cells
IU_PDA_T12	para_ct	PVL	KCNMA1	82.8687963651891	PVL
IU_PDA_T12	para_ct	Normal_Epithelial_cells	KCNMA1	74.024110068352	Normal Epithelial cells
IU_PDA_T12	para_ct	T_NK_cells	KCNMA1	75.7222955020213	T-NK cells
IU_PDA_T12	para_ct	Tumor_Epithelial_cells	KCNMA1	75.5269948317926	Tumor Epithelial cells
IU_PDA_T2	intra	Fibroblasts	KCNMA1	15.0561662295352	Fibroblasts
IU_PDA_T2	intra	Monocytes	KCNMA1	1.56470821246609	Monocytes
IU_PDA_T2	intra	B_cells	KCNMA1	7.76075462176567	B cells
IU_PDA_T2	intra	TAM	KCNMA1	9.9105694579907	TAM
IU_PDA_T2	intra	Hepatocytes	KCNMA1	0.013765779445959	Hepatocytes
IU_PDA_T2	intra	Endothelial_cells	KCNMA1	0.0332178711085409	Endothelial cells
IU_PDA_T2	intra	PVL	KCNMA1	0.238333309651966	PVL
IU_PDA_T2	intra	Normal_Epithelial_cells	KCNMA1	0.0194658248298393	Normal Epithelial cells
IU_PDA_T2	intra	T_NK_cells	KCNMA1	0.227703114941519	T-NK cells
IU_PDA_T2	intra	Tumor_Epithelial_cells	KCNMA1	14.6613778312405	Tumor Epithelial cells
IU_PDA_T2	juxta_ct	Fibroblasts	KCNMA1	25.2656218980575	Fibroblasts
IU_PDA_T2	juxta_ct	Monocytes	KCNMA1	3.90095113390798	Monocytes
IU_PDA_T2	juxta_ct	B_cells	KCNMA1	16.0521102967705	B cells
IU_PDA_T2	juxta_ct	TAM	KCNMA1	20.7386910618064	TAM
IU_PDA_T2	juxta_ct	Hepatocytes	KCNMA1	0.246133151316098	Hepatocytes
IU_PDA_T2	juxta_ct	Endothelial_cells	KCNMA1	0.379671483658536	Endothelial cells
IU_PDA_T2	juxta_ct	PVL	KCNMA1	0.861160135603781	PVL
IU_PDA_T2	juxta_ct	Normal_Epithelial_cells	KCNMA1	0.0304958901049689	Normal Epithelial cells
IU_PDA_T2	juxta_ct	T_NK_cells	KCNMA1	0.715043926563374	T-NK cells
IU_PDA_T2	juxta_ct	Tumor_Epithelial_cells	KCNMA1	23.6433370786562	Tumor Epithelial cells
IU_PDA_T2	para_ct	Fibroblasts	KCNMA1	16.6472243266901	Fibroblasts
IU_PDA_T2	para_ct	Monocytes	KCNMA1	18.0942170141335	Monocytes
IU_PDA_T2	para_ct	B_cells	KCNMA1	16.4710975561987	B cells
IU_PDA_T2	para_ct	TAM	KCNMA1	17.652048767194	TAM
IU_PDA_T2	para_ct	Hepatocytes	KCNMA1	15.8953754314093	Hepatocytes
IU_PDA_T2	para_ct	Endothelial_cells	KCNMA1	17.0674158816438	Endothelial cells
IU_PDA_T2	para_ct	PVL	KCNMA1	17.3029028726607	PVL
IU_PDA_T2	para_ct	Normal_Epithelial_cells	KCNMA1	17.2089548309118	Normal Epithelial cells
IU_PDA_T2	para_ct	T_NK_cells	KCNMA1	16.276677989589	T-NK cells
IU_PDA_T2	para_ct	Tumor_Epithelial_cells	KCNMA1	17.5900998874426	Tumor Epithelial cells
IU_PDA_T3	intra	Fibroblasts	KCNMA1	39.8095848189597	Fibroblasts
IU_PDA_T3	intra	Monocytes	KCNMA1	19.6802817738331	Monocytes
IU_PDA_T3	intra	B_cells	KCNMA1	35.0401469048806	B cells
IU_PDA_T3	intra	TAM	KCNMA1	18.9192709482698	TAM
IU_PDA_T3	intra	Endothelial_cells	KCNMA1	3.18987159802743	Endothelial cells
IU_PDA_T3	intra	PVL	KCNMA1	10.6688293694224	PVL
IU_PDA_T3	intra	T_NK_cells	KCNMA1	2.1152859711885	T-NK cells
IU_PDA_T3	intra	Tumor_Epithelial_cells	KCNMA1	21.7021781221667	Tumor Epithelial cells
IU_PDA_T3	juxta_ct	Fibroblasts	KCNMA1	54.2889408549382	Fibroblasts
IU_PDA_T3	juxta_ct	Monocytes	KCNMA1	42.9443507393953	Monocytes
IU_PDA_T3	juxta_ct	B_cells	KCNMA1	49.6880418064252	B cells
IU_PDA_T3	juxta_ct	TAM	KCNMA1	37.3764434291412	TAM
IU_PDA_T3	juxta_ct	Endothelial_cells	KCNMA1	10.7067707387196	Endothelial cells
IU_PDA_T3	juxta_ct	PVL	KCNMA1	15.241351577515	PVL
IU_PDA_T3	juxta_ct	T_NK_cells	KCNMA1	8.13109601683976	T-NK cells
IU_PDA_T3	juxta_ct	Tumor_Epithelial_cells	KCNMA1	31.0114064575478	Tumor Epithelial cells
IU_PDA_T3	para_ct	Fibroblasts	KCNMA1	39.2035104234213	Fibroblasts
IU_PDA_T3	para_ct	Monocytes	KCNMA1	39.15085845105	Monocytes
IU_PDA_T3	para_ct	B_cells	KCNMA1	38.4677646274238	B cells
IU_PDA_T3	para_ct	TAM	KCNMA1	38.5597391554547	TAM
IU_PDA_T3	para_ct	Endothelial_cells	KCNMA1	38.4206612448851	Endothelial cells
IU_PDA_T3	para_ct	PVL	KCNMA1	38.5757413435958	PVL
IU_PDA_T3	para_ct	T_NK_cells	KCNMA1	39.4698140902232	T-NK cells
IU_PDA_T3	para_ct	Tumor_Epithelial_cells	KCNMA1	39.2464509893221	Tumor Epithelial cells
IU_PDA_T4	intra	Fibroblasts	KCNMA1	10.3937012702604	Fibroblasts
