module	orig.ident	first_type	n_high_spots	n_other_spots	high_neighbor_fraction	other_neighbor_fraction	delta_neighbor_fraction	enrichment_ratio
KCNMA1_KCNMB4	IU_PDA_T12	C1Q-TAM	184	3458	0.012318840579710147	0.005128205128205117	0.00719063545150503	2.3753545002878704
KCNMA1_KCNMB4	IU_PDA_T12	CD4+ cells	184	3458	0.0	0.0002699055330634278	-0.0002699055330634278	0.2703392922291135
KCNMA1_KCNMB4	IU_PDA_T12	FCN1-TAM	184	3458	0.0	0.0	0.0	1.0
KCNMA1_KCNMB1	IU_PDA_T2	myCAF	50	4068	0.66	0.6685840707964622	-0.008584070796462173	0.9871627407151515
KCNMA1_KCNMB1	IU_PDA_T2	Tumor Epithelial cells	50	4068	0.19466666666666668	0.20509668960996666	-0.010430022943299977	0.9491706081461395
KCNMA1_KCNMB1	IU_PDA_T2	Normal Epithelial cells	50	4068	0.025333333333333333	0.10047525401507551	-0.07514192068174218	0.2528786388103087
KCNMA1_KCNMB1	IU_PDA_T2	iCAF	50	4068	0.04666666666666667	0.009013438216978042	0.03765322844968863	5.131616142362372
KCNMA1_KCNMB1	IU_PDA_T2	B cells	50	4068	0.029333333333333333	0.004392002622091112	0.024941330711242223	6.552385608277218
KCNMA1_KCNMB1	IU_PDA_T2	DCs	50	4068	0.022666666666666665	0.003212061619141262	0.019454605047525404	6.873865671789498
KCNMA1_KCNMB1	IU_PDA_T2	SPP1-TAM	50	4068	0.005333333333333333	0.004850868567682716	0.00048246476565061685	1.0974505299534618
KCNMA1_KCNMB1	IU_PDA_T2	PVL	50	4068	0.0013333333333333333	0.0002622091117666339	0.0010711242215666994	3.9571984435797667
KCNMA1_KCNMB1	IU_PDA_T2	C1Q-TAM	50	4068	0.004	0.001573254670599803	0.0024267453294001973	2.450314391490863
KCNMA1_KCNMB1	IU_PDA_T2	CD4+ cells	50	4068	0.009333333333333332	0.0012454932808915115	0.00808784005244182	7.011059413899779
KCNMA1_KCNMB1	IU_PDA_T2	FCN1-TAM	50	4068	0.0	0.0011963290724352675	-0.0011963290724352675	0.07714090667745441
KCNMA1_KCNMB4	IU_PDA_T2	myCAF	60	4058	0.69	0.6681616559881736	0.021838344011826383	1.032679331241194
KCNMA1_KCNMB4	IU_PDA_T2	Tumor Epithelial cells	60	4058	0.16	0.20563495975029022	-0.04563495975029022	0.7781856821724444
KCNMA1_KCNMB4	IU_PDA_T2	Normal Epithelial cells	60	4058	0.02222222222222222	0.10070642352554472	-0.07848420130332251	0.22143650614254443
KCNMA1_KCNMB4	IU_PDA_T2	iCAF	60	4058	0.056666666666666664	0.008772794480039427	0.04789387218662724	6.397834052661887
KCNMA1_KCNMB4	IU_PDA_T2	B cells	60	4058	0.03333333333333333	0.004271398061442413	0.02906193527189092	7.648201528071655
KCNMA1_KCNMB4	IU_PDA_T2	DCs	60	4058	0.021111111111111112	0.0031871200919993403	0.01792399101911177	6.452794700971749
KCNMA1_KCNMB4	IU_PDA_T2	SPP1-TAM	60	4058	0.0022222222222222222	0.0048956793165763	-0.0026734570943540777	0.4648461350424942
KCNMA1_KCNMB4	IU_PDA_T2	PVL	60	4058	0.0011111111111111111	0.0002628552653195334	0.0008482558457915776	3.337725056971673
KCNMA1_KCNMB4	IU_PDA_T2	C1Q-TAM	60	4058	0.0033333333333333335	0.0015771315919172002	0.0017562017414161333	2.0471460616924784
KCNMA1_KCNMB4	IU_PDA_T2	CD4+ cells	60	4058	0.007777777777777777	0.0012485625102677843	0.006529215267509992	5.841611136152291
KCNMA1_KCNMB4	IU_PDA_T2	FCN1-TAM	60	4058	0.0011111111111111111	0.0011828486939379009	-7.173758282678975e-05	0.9440794669193759
KCNMA1_KCNMB1	IU_PDA_T3	myCAF	93	4261	0.34551971326164876	0.5940546037706341	-0.24853489050898536	0.5816999667565832
KCNMA1_KCNMB1	IU_PDA_T3	Tumor Epithelial cells	93	4261	0.012186379928315411	0.08157709457873641	-0.069390714650421	0.1504262607734092
