gene	Origin	cc_ischia_10	n_spots	n_detected	pct_detected	mean_expression	median_expression
KCNMB4	Pancreas	CC9	726	49	6.75	0.068870523415978	0
KCNN3	Normal Pancreas	CC10	9707	159	1.64	0.016585968888431	0
KCNN3	Normal Pancreas	CC2	53	2	3.77	0.0377358490566038	0
KCNN3	Normal Pancreas	CC3	36	1	2.78	0.0277777777777778	0
KCNN3	Normal Pancreas	CC4	3	0	0	0	0
KCNN3	Normal Pancreas	CC7	21	1	4.76	0.0476190476190476	0
KCNN3	Pancreas	CC1	8639	272	3.15	0.0327584211135548	0
KCNN3	Pancreas	CC10	1	0	0	0	0
KCNN3	Pancreas	CC2	5063	82	1.62	0.0167884653367569	0
KCNN3	Pancreas	CC3	3317	69	2.08	0.0214048839312632	0
KCNN3	Pancreas	CC4	7976	137	1.72	0.0175526579739218	0
KCNN3	Pancreas	CC5	7164	216	3.02	0.0321049692908989	0
KCNN3	Pancreas	CC7	2572	107	4.16	0.0454898911353033	0
KCNN3	Pancreas	CC9	726	16	2.2	0.0220385674931129	0
KCNN4	Normal Pancreas	CC10	9707	22	0.23	0.00236942412691872	0
KCNN4	Normal Pancreas	CC2	53	3	5.66	0.0566037735849057	0
KCNN4	Normal Pancreas	CC3	36	6	16.67	0.166666666666667	0
KCNN4	Normal Pancreas	CC4	3	0	0	0	0
KCNN4	Normal Pancreas	CC7	21	0	0	0	0
KCNN4	Pancreas	CC1	8639	477	5.52	0.0590346104873249	0
KCNN4	Pancreas	CC10	1	0	0	0	0
KCNN4	Pancreas	CC2	5063	960	18.96	0.239778787280269	0
KCNN4	Pancreas	CC3	3317	996	30.03	0.429002110340669	0
KCNN4	Pancreas	CC4	7976	1147	14.38	0.171013039117352	0
KCNN4	Pancreas	CC5	7164	872	12.17	0.141401451702959	0
KCNN4	Pancreas	CC7	2572	69	2.68	0.0287713841368585	0
KCNN4	Pancreas	CC9	726	25	3.44	0.0385674931129477	0
KCNQ4	Normal Pancreas	CC10	9707	197	2.03	0.0208097249407644	0
KCNQ4	Normal Pancreas	CC2	53	2	3.77	0.0377358490566038	0
KCNQ4	Normal Pancreas	CC3	36	0	0	0	0
KCNQ4	Normal Pancreas	CC4	3	0	0	0	0
KCNQ4	Normal Pancreas	CC7	21	0	0	0	0
KCNQ4	Pancreas	CC1	8639	114	1.32	0.0138904965852529	0
KCNQ4	Pancreas	CC10	1	0	0	0	0
KCNQ4	Pancreas	CC2	5063	205	4.05	0.044835078016986	0
KCNQ4	Pancreas	CC3	3317	157	4.73	0.0530599939704552	0
KCNQ4	Pancreas	CC4	7976	205	2.57	0.0277081243731194	0
KCNQ4	Pancreas	CC5	7164	174	2.43	0.0249860413176996	0
KCNQ4	Pancreas	CC7	2572	37	1.44	0.0147744945567652	0
KCNQ4	Pancreas	CC9	726	6	0.83	0.00826446280991736	0
KCNS3	Normal Pancreas	CC10	9707	1078	11.11	0.12527042340579	0
KCNS3	Normal Pancreas	CC2	53	2	3.77	0.0566037735849057	0
KCNS3	Normal Pancreas	CC3	36	3	8.33	0.0833333333333333	0
KCNS3	Normal Pancreas	CC4	3	1	33.33	0.333333333333333	0
KCNS3	Normal Pancreas	CC7	21	0	0	0	0
KCNS3	Pancreas	CC1	8639	1235	14.3	0.170737353860401	0
KCNS3	Pancreas	CC10	1	0	0	0	0
KCNS3	Pancreas	CC2	5063	683	13.49	0.158009085522418	0
KCNS3	Pancreas	CC3	3317	421	12.69	0.150437141995779	0
KCNS3	Pancreas	CC4	7976	1087	13.63	0.159353059177533	0
KCNS3	Pancreas	CC5	7164	1114	15.55	0.184812953657175	0
KCNS3	Pancreas	CC7	2572	189	7.35	0.0855365474339036	0
KCNS3	Pancreas	CC9	726	18	2.48	0.0247933884297521	0
KCNT2	Normal Pancreas	CC10	9707	33	0.34	0.00350262697022767	0
KCNT2	Normal Pancreas	CC2	53	0	0	0	0
KCNT2	Normal Pancreas	CC3	36	0	0	0	0
KCNT2	Normal Pancreas	CC4	3	0	0	0	0
KCNT2	Normal Pancreas	CC7	21	0	0	0	0
KCNT2	Pancreas	CC1	8639	88	1.02	0.0104178724389397	0
KCNT2	Pancreas	CC10	1	0	0	0	0
KCNT2	Pancreas	CC2	5063	23	0.45	0.0045427612087695	0
KCNT2	Pancreas	CC3	3317	20	0.6	0.00602954476936991	0
KCNT2	Pancreas	CC4	7976	50	0.63	0.00626880641925777	0
KCNT2	Pancreas	CC5	7164	61	0.85	0.00851479620323841	0
KCNT2	Pancreas	CC7	2572	22	0.86	0.00855365474339036	0
KCNT2	Pancreas	CC9	726	3	0.41	0.00413223140495868	0
