orig.ident	display_name	gene_symbol	file_stem	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_T9	CLU	CLU	clu	3526	14112	2688.0	0.1551334432338848	34.82860934186431	4.4880576529050385e-266	2.11118231992653e-263	bernoulli	30	
IU_PDA_T11	CLU	CLU	clu	2777	14683	1531.0	0.09336063100199497	19.101831278490884	1.218924113684842e-81	1.5428847207960804e-79	bernoulli	30	
IU_PDA_T12	CLU	CLU	clu	3642	15208	3316.0	0.09283608427351193	18.9499978645931	2.2080062479195743e-80	8.21011222942809e-79	bernoulli	30	
IU_PDA_T2	CLU	CLU	clu	4118	14705	2244.0	0.06680730195621747	16.458778690850785	3.6274760220613786e-61	4.3367508052367945e-59	bernoulli	30	
IU_PDA_T8	CLU	CLU	clu	3779	14218	2058.0	0.05570128464295253	13.146019990055088	8.968516866788806e-40	1.099261834586235e-37	bernoulli	30	
IU_PDA_T6	CLU	CLU	clu	3397	15000	1787.0	0.05606517153118151	12.37080251255602	1.8802266672623293e-35	7.363812012776746e-34	bernoulli	30	
IU_PDA_T10	CLU	CLU	clu	2714	13630	720.0	0.04756647414284313	9.490836218349266	1.1459412569905447e-21	9.82338322816423e-20	bernoulli	30	
IU_PDA_T1	CLU	CLU	clu	3530	13520	1322.0	0.03287551131865807	7.570170079991027	1.863679498760123e-14	9.959267519065953e-13	bernoulli	30	
IU_PDA_T6	COL12A1	COL12A1	col12a1	3397	15000	2183.0	0.19318687410463603	43.2413294856796	0.0	0.0	bernoulli	30	
IU_PDA_T3	COL12A1	COL12A1	col12a1	4354	14666	1926.0	0.1257339298207594	32.44280746606124	3.420932583996085e-231	1.8377801200324756e-229	bernoulli	30	
IU_PDA_T12	COL12A1	COL12A1	col12a1	3642	15208	2809.0	0.13848629373377047	32.313591672931494	2.2535370531908836e-229	2.832379463217104e-227	bernoulli	30	
IU_PDA_T1	COL12A1	COL12A1	col12a1	3530	13520	1327.0	0.12910427954959466	29.80434529317853	1.7157986009666136e-195	9.279038834027446e-193	bernoulli	30	
IU_PDA_T4	COL12A1	COL12A1	col12a1	3621	14332	1004.0	0.11115373302563124	25.384817219246322	1.8551673617063627e-142	6.4849411287745345e-140	bernoulli	30	
IU_PDA_T11	COL12A1	COL12A1	col12a1	2777	14683	1485.0	0.08239773757699666	16.993236722934444	4.6080116122638705e-65	4.602682619242885e-63	bernoulli	30	
IU_PDA_T10	COL12A1	COL12A1	col12a1	2714	13630	390.0	0.06929512036207483	13.736064246266176	3.0871046251623132e-43	4.429182741153929e-41	bernoulli	30	
IU_PDA_T9	COL12A1	COL12A1	col12a1	3526	14112	1405.0	0.050744188816163105	11.63740329128748	1.3299548408579264e-31	7.952679116180956e-30	bernoulli	30	
IU_PDA_T2	COL12A1	COL12A1	col12a1	4118	14705	1198.0	0.024368479445903566	6.025554620886147	8.426534410967845e-10	2.3557450287696228e-08	bernoulli	30	
IU_PDA_T8	COL12A1	COL12A1	col12a1	3779	14218	695.0	0.02251001380187589	5.284365884045247	6.30704598710304e-08	1.364894670390122e-06	bernoulli	30	
IU_PDA_T3	COL1A1	COL1A1	col1a1	4354	14666	4226.0	0.18301743298878922	31.02856012396813	1.1104888745240284e-211	5.596711283082268e-210	bernoulli	30	
IU_PDA_T10	COL1A1	COL1A1	col1a1	2714	13630	2302.0	0.14198906722214782	28.34669946886464	4.595999647241513e-177	2.983022628185801e-174	bernoulli	30	
IU_PDA_T8	COL1A1	COL1A1	col1a1	3779	14218	3187.0	0.11458214495427252	26.040471759816985	8.624607437788769e-150	4.9049867420192285e-147	bernoulli	30	
IU_PDA_T1	COL1A1	COL1A1	col1a1	3530	13520	3510.0	0.028940799111012213	2.079580716423644	0.018782003617697593	0.14244147310859054	bernoulli	30	
IU_PDA_T6	COL1A1	COL1A1	col1a1	3397	15000	3388.0	0.06176183448624707	2.0096047439426443	0.022236519385161822	0.059192154530155694	bernoulli	30	
IU_PDA_T11	COL1A1	COL1A1	col1a1	2777	14683	2769.0	0.06244992340836721	1.93602396480708	0.026432382959874573	0.1075055410159775	bernoulli	30	
