target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR	error
KCNT2	IU_PDA_NP10	2966	13318	4744	423	0.03176960346875224	1.74165462270438	0.09586432868610525	
KCNA5	IU_PDA_NP11	3859	17236	2573	422	0.016268138262940303	2.757313221546769	0.02436895139488187	
KCNA7	IU_PDA_NP11	3859	17236	2573	422				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_NP11	3859	17236	2573	422	0.004075207341835852	0.8315369468903201	0.3618931294624881	
KCNAB2	IU_PDA_NP11	3859	17236	2573	422	0.0012277653558727957	0.2599977628467651	0.5170705670776623	
KCNB1	IU_PDA_NP11	3859	17236	2573	422	0.004779775634607684	0.7518689758801721	0.3806247050512573	
KCNC4	IU_PDA_NP11	3859	17236	2573	422	0.00893006915931264	2.035711779800357	0.10391170417618541	
KCND2	IU_PDA_NP11	3859	17236	2573	422	-0.0024283999547167843	-0.42589737211380546	0.7249725516012892	
KCND3	IU_PDA_NP11	3859	17236	2573	422	0.004945763800326996	1.0068222874412545	0.32192291228073033	
KCNE4	IU_PDA_NP11	3859	17236	2573	422	0.013747561868172562	3.174863049215635	0.008217577478385979	
KCNJ15	IU_PDA_NP11	3859	17236	2573	422	0.02437177086347268	5.878915118793954	7.019574342006976e-08	
KCNJ16	IU_PDA_NP11	3859	17236	2573	422	0.017725831584481544	4.262470031767259	0.0001889787376053623	
KCNJ8	IU_PDA_NP11	3859	17236	2573	422	0.0249506633270381	6.070681678024237	2.286794071925173e-08	
KCNK1	IU_PDA_NP11	3859	17236	2573	422	0.03505354359476059	8.022929891693549	3.0578288917741876e-14	
KCNK15	IU_PDA_NP11	3859	17236	2573	422	0.007757467443520762	1.0361234423442718	0.31664557651060593	
KCNK17	IU_PDA_NP11	3859	17236	2573	422	0.010729297696072853	2.031811201574608	0.10449461172735491	
KCNK3	IU_PDA_NP11	3859	17236	2573	422	0.0013642197047683084	0.3248889306242692	0.49838557715031406	
KCNK6	IU_PDA_NP11	3859	17236	2573	422	0.0047244326796974075	1.0921547663374584	0.30507396258838143	
KCNMA1	IU_PDA_NP11	3859	17236	2573	422	0.042208319263805534	10.064730491513526	3.2617970744489727e-22	
KCNMB1	IU_PDA_NP11	3859	17236	2573	422	0.002732733545427316	0.48792872195673676	0.4494938417812692	
KCNMB4	IU_PDA_NP11	3859	17236	2573	422	0.0038763207912466723	0.8076985759909037	0.3672432725249029	
KCNN3	IU_PDA_NP11	3859	17236	2573	422	0.009394070307090725	1.8217654505076204	0.14337980711640613	
KCNN4	IU_PDA_NP11	3859	17236	2573	422	0.018402786000784346	1.139512129489364	0.29391469808765575	
KCNQ4	IU_PDA_NP11	3859	17236	2573	422	0.008045648347892126	1.5415075112865744	0.20261068692148318	
KCNS3	IU_PDA_NP11	3859	17236	2573	422	0.007776662464605977	1.8119548440625095	0.14525074652194808	
KCNT2	IU_PDA_NP11	3859	17236	2573	422	0.018055657038831382	1.9256543972892939	0.12437586395865795	
KCNA5	IU_PDA_NP2	2995	14116	1552	422	0.03787627048379829	2.1058540901883314	0.11037379578356978	
KCNA7	IU_PDA_NP2	2995	14116	1552	422				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_NP2	2995	14116	1552	422	0.006352955605500055	0.9891606279454531	0.36048160430620446	
KCNAB2	IU_PDA_NP2	2995	14116	1552	422	0.015175615161531977	2.5479050206663256	0.049539467514726966	
KCNB1	IU_PDA_NP2	2995	14116	1552	422	0.036344662589347015	1.6712304463637473	0.20237784379316684	
KCNC4	IU_PDA_NP2	2995	14116	1552	422	-0.00397524856956435	-0.7986912502793219	0.8372934674043782	
KCND2	IU_PDA_NP2	2995	14116	1552	422	0.021620552944960764	1.569513556117371	0.22471500152604781	
KCND3	IU_PDA_NP2	2995	14116	1552	422	0.014511837069745645	2.8832965053992954	0.02314652411936864	
KCNE4	IU_PDA_NP2	2995	14116	1552	422	0.0391445835528271	8.156488317112458	1.1115732949343809e-14	
KCNJ15	IU_PDA_NP2	2995	14116	1552	422	0.027024489941993465	5.657610725695827	2.770757611373014e-07	
KCNJ16	IU_PDA_NP2	2995	14116	1552	422	0.006983601664976787	1.4863344839725796	0.24320822790177674	
KCNJ8	IU_PDA_NP2	2995	14116	1552	422	0.023779823155175468	5.173222712522592	3.7247216373632146e-06	
KCNK1	IU_PDA_NP2	2995	14116	1552	422	-0.001965336185706428	-0.3743733759133383	0.7410030738326678	
KCNK15	IU_PDA_NP2	2995	14116	1552	422	0.0050709377782470625	0.6534926368153491	0.4512889900688179	
KCNK17	IU_PDA_NP2	2995	14116	1552	422	0.00927437557689869	1.345949132908828	0.27740245762637883	
KCNK3	IU_PDA_NP2	2995	14116	1552	422	0.01917958656179879	4.044909154214264	0.0005640302920237966	
KCNK6	IU_PDA_NP2	2995	14116	1552	422	-0.005995072989833883	-1.2025904807494519	0.9070880577183645	
KCNMA1	IU_PDA_NP2	2995	14116	1552	422	0.009901181690377864	2.01813380043783	0.12579500336696126	
KCNMB1	IU_PDA_NP2	2995	14116	1552	422	0.009731936422529454	1.2123240611588308	0.3091368340192276	
KCNMB4	IU_PDA_NP2	2995	14116	1552	422	0.015063863952179787	1.9183262466597488	0.14503046074587456	
KCNN3	IU_PDA_NP2	2995	14116	1552	422	0.0037775679133274483	0.47559537771439486	0.5009882195607257	
KCNN4	IU_PDA_NP2	2995	14116	1552	422	0.0542295578292089	2.0162158407932305	0.12616617586848303	
KCNQ4	IU_PDA_NP2	2995	14116	1552	422	0.010238784404173371	1.1829258571687966	0.3156356429993298	
KCNS3	IU_PDA_NP2	2995	14116	1552	422	0.002184455792538887	0.4578812000420057	0.5059037057188424	
KCNT2	IU_PDA_NP2	2995	14116	1552	422	0.06366225384666409	1.7499313802065037	0.1840614936238677	
