orig.ident	gene	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_NP2	KCNK17	2995	14116	57.0	0.00927437557689869	1.345949132908828	0.08915946091321059	0.27740245762637883	bernoulli	30	
IU_PDA_NP10	KCNK17	2966	13318	119.0	0.006550312735649871	1.2436453702267622	0.10681505511148409	0.1884189276787742	bernoulli	30	
IU_PDA_NP2	KCNK3	2995	14116	1893.0	0.01917958656179879	4.044909154214264	2.6171708789712863e-05	0.0005640302920237966	bernoulli	30	
IU_PDA_NP10	KCNK3	2966	13318	602.0	0.012219091250199189	2.510476520811529	0.006028416984101444	0.02025901019284962	bernoulli	30	
IU_PDA_NP11	KCNK3	3859	17236	2250.0	0.0013642197047683084	0.3248889306242692	0.3726325674597411	0.49838557715031406	bernoulli	30	
IU_PDA_NP11	KCNK6	3859	17236	370.0	0.0047244326796974075	1.0921547663374584	0.13738254035712227	0.30507396258838143	bernoulli	30	
IU_PDA_NP10	KCNK6	2966	13318	187.0	0.00469940252196234	0.923928033032847	0.17776189328332215	0.263670752905022	bernoulli	30	
IU_PDA_NP2	KCNK6	2995	14116	390.0	-0.005995072989833883	-1.2025904807494519	0.8854325834019088	0.9070880577183645	bernoulli	30	
IU_PDA_NP11	KCNMA1	3859	17236	540.0	0.042208319263805534	10.064730491513526	3.955184431189576e-24	3.2617970744489727e-22	bernoulli	30	
IU_PDA_NP10	KCNMA1	2966	13318	417.0	0.022541778019436284	4.654372838969134	1.6248415708287427e-06	1.2415169271541707e-05	bernoulli	30	
IU_PDA_NP2	KCNMA1	2995	14116	410.0	0.009901181690377864	2.01813380043783	0.021788664156433855	0.12579500336696126	bernoulli	30	
IU_PDA_NP10	KCNMB1	2966	13318	10.0	0.02888001493232853	1.6937956956821563	0.04515205615737242	0.10360700963195828	bernoulli	30	
IU_PDA_NP2	KCNMB1	2995	14116	32.0	0.009731936422529454	1.2123240611588308	0.11269417847716973	0.3091368340192276	bernoulli	30	
IU_PDA_NP11	KCNMB1	3859	17236	50.0	0.002732733545427316	0.48792872195673676	0.3128001647044768	0.4494938417812692	bernoulli	30	
IU_PDA_NP2	KCNMB4	2995	14116	34.0	0.015063863952179787	1.9183262466597488	0.027534828194881254	0.14503046074587456	bernoulli	30	
IU_PDA_NP10	KCNMB4	2966	13318	26.0	0.014350690377747145	1.5200707389121573	0.06424659891713007	0.1329040392013573	bernoulli	30	
IU_PDA_NP11	KCNMB4	3859	17236	117.0	0.0038763207912466723	0.8076985759909037	0.2096320617852966	0.3672432725249029	bernoulli	30	
IU_PDA_NP11	KCNN3	3859	17236	72.0	0.009394070307090725	1.8217654505076204	0.03424529106855913	0.14337980711640613	bernoulli	30	
IU_PDA_NP10	KCNN3	2966	13318	53.0	0.00850646549693759	1.2805724278466242	0.1001719448622348	0.18042291424373494	bernoulli	30	
IU_PDA_NP2	KCNN3	2995	14116	38.0	0.0037775679133274483	0.47559537771439486	0.31718133452920133	0.5009882195607257	bernoulli	30	
IU_PDA_NP10	KCNN4	2966	13318	16.0	0.04681519215477585	4.041112573244488	2.6599105965970784e-05	0.00016264779304628048	bernoulli	30	
IU_PDA_NP2	KCNN4	2995	14116	6.0	0.0542295578292089	2.0162158407932305	0.02188870534867632	0.12616617586848303	bernoulli	30	
IU_PDA_NP11	KCNN4	3859	17236	9.0	0.018402786000784346	1.139512129489364	0.12724480605303362	0.29391469808765575	bernoulli	30	
IU_PDA_NP10	KCNQ4	2966	13318	83.0	0.010719948659042411	1.9334238877702863	0.026592000448541535	0.06899518059101425	bernoulli	30	
IU_PDA_NP11	KCNQ4	3859	17236	81.0	0.008045648347892126	1.5415075112865744	0.061596658126512646	0.20261068692148318	bernoulli	30	
IU_PDA_NP2	KCNQ4	2995	14116	35.0	0.010238784404173371	1.1829258571687966	0.11841926645823536	0.3156356429993298	bernoulli	30	
IU_PDA_NP11	KCNS3	3859	17236	288.0	0.007776662464605977	1.8119548440625095	0.034996587032116666	0.14525074652194808	bernoulli	30	
IU_PDA_NP10	KCNS3	2966	13318	202.0	0.005381078194507822	1.0384930350717352	0.14952028809811185	0.23476906353344182	bernoulli	30	
IU_PDA_NP2	KCNS3	2995	14116	594.0	0.002184455792538887	0.4578812000420057	0.3235188971042781	0.5059037057188424	bernoulli	30	
IU_PDA_NP11	KCNT2	3859	17236	21.0	0.018055657038831382	1.9256543972892939	0.027073770790120324	0.12437586395865795	bernoulli	30	
IU_PDA_NP2	KCNT2	2995	14116	4.0	0.06366225384666409	1.7499313802065037	0.04006507755109839	0.1840614936238677	bernoulli	30	
IU_PDA_NP10	KCNT2	2966	13318	8.0	0.03176960346875224	1.74165462270438	0.04078444859104012	0.09586432868610525	bernoulli	30	
