orig.ident	gene	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_T4	KCND2	3621	14334	41.0	0.008249065467150504	1.0456409350892075	0.14786342111632983	0.25046966181534763	bernoulli	30	
IU_PDA_T2	KCND2	4118	14706	93.0	0.0011621517319890578	0.23086102588622723	0.4087113848524382	0.5971441822961455	bernoulli	30	
IU_PDA_T9	KCND2	3526	14113	67.0	0.0007510756434438121	0.13374462073722213	0.44680225993050515	0.6245871843281927	bernoulli	30	
IU_PDA_T8	KCND2	3779	14218	60.0	0.0007634990450945546	0.13266859463951977	0.44722774055624065	0.5600391065024335	bernoulli	30	
IU_PDA_T12	KCND3	3642	15208	547.0	0.037316969188464964	8.30342804204581	5.057482332154574e-17	5.221601582308674e-16	bernoulli	30	
IU_PDA_T9	KCND3	3526	14113	360.0	0.02502181475398538	5.617286584935541	9.698976967207109e-09	2.0866107002773465e-07	bernoulli	30	
IU_PDA_T11	KCND3	2777	14686	82.0	0.022769660365924687	3.6942627684027025	0.00011026283337754011	0.0010875218072414735	bernoulli	30	
IU_PDA_T3	KCND3	4354	14668	162.0	0.011420777034542449	2.791271657003494	0.0026250693759100594	0.008401596684671341	bernoulli	30	
IU_PDA_T4	KCND3	3621	14334	34.0	0.017947624563933978	2.2219710540483772	0.013142630924989261	0.044918090529040555	bernoulli	30	
IU_PDA_T2	KCND3	4118	14706	81.0	0.009972283219081782	1.7821045336733659	0.03736609331695547	0.1804180224766265	bernoulli	30	
IU_PDA_T1	KCND3	3530	13524	78.0	0.005130442941183839	0.9692001539735764	0.166222667140266	0.401858303611898	bernoulli	30	
IU_PDA_T6	KCND3	3397	15000	148.0	0.004422453108329053	0.8538292429623648	0.1965998045221779	0.2813123216476837	bernoulli	30	
IU_PDA_T10	KCND3	2714	13635	50.0	0.005899199685641246	0.7208938928630086	0.23548740030754667	0.4471074107579442	bernoulli	30	
IU_PDA_T8	KCND3	3779	14218	80.0	0.00029771882292463966	0.05212957068361247	0.4792127254970871	0.5861029274079643	bernoulli	30	
IU_PDA_T8	KCNE4	3779	14218	132.0	0.014513047816347385	3.1150553914030037	0.0009195518516834997	0.008202125613071518	bernoulli	30	
IU_PDA_T6	KCNE4	3397	15000	389.0	0.01500163692690279	3.1053753593038445	0.0009501884704679697	0.004273711261475127	bernoulli	30	
