target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR	error
KCNB1	IU_PDA_T12	3642	15208	6564	424	0.0075908000924230995	1.107616083086973	0.20875559254387632	
KCNC4	IU_PDA_T12	3642	15208	6564	424	-0.0003022020643741666	-0.06630721144493193	0.585704793923427	
KCND2	IU_PDA_T12	3642	15208	6564	424	0.012356113952462767	2.76605591165316	0.008613333586182754	
KCND3	IU_PDA_T12	3642	15208	6564	424	0.037316969188464964	8.30342804204581	5.221601582308674e-16	
KCNE4	IU_PDA_T12	3642	15208	6564	424	0.00917409032517526	2.129736646995801	0.04018505364308408	
KCNJ15	IU_PDA_T12	3642	15208	6564	424	0.07910792711032687	17.801055468538653	1.1340501621363582e-69	
KCNJ16	IU_PDA_T12	3642	15208	6564	424	0.013901378862753432	1.1773253467661566	0.19215250509272946	
KCNJ8	IU_PDA_T12	3642	15208	6564	424	0.045388198912603483	10.393287637222963	1.86264497514039e-24	
KCNK1	IU_PDA_T12	3642	15208	6564	424	0.038084040607559495	8.603476246823643	4.173687438108513e-17	
KCNK15	IU_PDA_T12	3642	15208	6564	424	0.006863431114472959	0.9557443788016268	0.2479338742244128	
KCNK17	IU_PDA_T12	3642	15208	6564	424	0.07047000608202812	16.059788295437855	6.641117637041295e-57	
KCNK3	IU_PDA_T12	3642	15208	6564	424	0.0741385670662263	16.106569351235574	3.1373758424507124e-57	
KCNK6	IU_PDA_T12	3642	15208	6564	424	0.02628202895770282	5.870342607128972	1.4593756460884017e-08	
KCNMA1	IU_PDA_T12	3642	15208	6564	424	0.058682023890704364	13.527541862684226	1.1037653133344087e-40	
KCNMB1	IU_PDA_T12	3642	15208	6564	424	0.016166134422836542	3.6756582464057015	0.00047635321554340257	
KCNMB4	IU_PDA_T12	3642	15208	6564	424	0.015658973360306108	3.5560836791950705	0.0007313055229680848	
KCNN3	IU_PDA_T12	3642	15208	6564	424	0.006332593912347265	1.4028913789676436	0.14199427646853593	
KCNN4	IU_PDA_T12	3642	15208	6564	424	0.05937280135184209	13.182043224069256	1.1095474299892659e-38	
KCNQ4	IU_PDA_T12	3642	15208	6564	424	0.0044223109419975004	0.917356140903623	0.2582798813249854	
KCNS3	IU_PDA_T12	3642	15208	6564	424	0.024351139142710594	5.6046973009928545	6.634632425993378e-08	
KCNT2	IU_PDA_T12	3642	15208	6564	424	0.00326484338412435	0.5341561069106175	0.37723263037446836	
KCNA5	IU_PDA_T2	4118	14706	1882	423	0.01907872114830197	1.9577495642850675	0.1394030229557083	
KCNA7	IU_PDA_T2	4118	14706	1882	423				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_T2	4118	14706	1882	423	0.008729697598569447	0.9624449997539666	0.39531328330105286	
KCNAB2	IU_PDA_T2	4118	14706	1882	423	0.0021648031170769513	0.49531266641486943	0.5204205703167517	
KCNB1	IU_PDA_T2	4118	14706	1882	423	0.015007774403163011	1.205456270711076	0.3322787693146783	
KCNC4	IU_PDA_T2	4118	14706	1882	423	0.002064199509961165	0.48503520676363554	0.523196977267718	
KCND2	IU_PDA_T2	4118	14706	1882	423	0.0011621517319890578	0.23086102588622723	0.5971441822961455	
KCND3	IU_PDA_T2	4118	14706	1882	423	0.009972283219081782	1.7821045336733659	0.1804180224766265	
KCNE4	IU_PDA_T2	4118	14706	1882	423	-0.004523703192473437	-1.00490767074327	0.8818734646543042	
KCNJ15	IU_PDA_T2	4118	14706	1882	423	0.009323710771582448	2.293183360484843	0.07581245281687088	
KCNJ16	IU_PDA_T2	4118	14706	1882	423	0.07331480127520669	11.964951947274438	2.034416561777331e-31	
KCNJ8	IU_PDA_T2	4118	14706	1882	423	-0.003640140725442143	-0.8687188956805203	0.8574690126456266	
KCNK1	IU_PDA_T2	4118	14706	1882	423	0.009536936673146191	2.2986677706770644	0.07504247965535846	
KCNK15	IU_PDA_T2	4118	14706	1882	423	0.03883658705012099	1.8210009807995877	0.17236034469503256	
KCNK17	IU_PDA_T2	4118	14706	1882	423	0.007591798114743801	1.6411153502127112	0.21952694819989424	
KCNK3	IU_PDA_T2	4118	14706	1882	423	0.00661983966706957	1.3959883123559818	0.28320942509322755	
KCNK6	IU_PDA_T2	4118	14706	1882	423	0.0003537902744646401	0.08366378621758845	0.63720794224336	
KCNMA1	IU_PDA_T2	4118	14706	1882	423	0.00638967393555812	1.5304666079321407	0.24979818093336542	
KCNMB1	IU_PDA_T2	4118	14706	1882	423	0.0009034062373493533	0.16901493567258016	0.614171021041437	
KCNMB4	IU_PDA_T2	4118	14706	1882	423	-0.004211388068118787	-0.9194465823883982	0.8660001768614751	
KCNN3	IU_PDA_T2	4118	14706	1882	423	0.011114345607679139	1.8826062717235115	0.15731088182794015	
KCNN4	IU_PDA_T2	4118	14706	1882	423	0.005200241335939173	1.2539130898201027	0.32001782296823167	
KCNQ4	IU_PDA_T2	4118	14706	1882	423	0.001979116126316295	0.31279804700241653	0.5730819120773357	
KCNS3	IU_PDA_T2	4118	14706	1882	423	0.00588064246907775	1.404280569193499	0.2809015855714509	
