sample_id	Patient	CellType2	n_cells	KCNA5	KCNA7	KCNAB1	KCNAB2	KCNB1	KCNC4	KCND2	KCND3	KCNE4	KCNJ15	KCNJ16	KCNJ8	KCNK1	KCNK15	KCNK17	KCNK3	KCNK6	KCNMA1	KCNMB1	KCNMB4	KCNN3	KCNN4	KCNQ4	KCNS3	KCNT2	SDC1	LRRC15	COL11A1	MMP11	GJB2	F13A1	IGFL2	TRIM59	PLPP4	LOXL2	ITGA11	C1QTNF3	RASGRF2	COL12A1	TMEM158	KIF26B	DSG2	SUGCT	CADM1	PLAU	NUAK1	RUNX2	COL10A1	ADAM12	SLC16A3	FN1	COL8A2	WNT5A	C1QTNF6	BCAT1	HMOX1	ARC	TFPI2	CXCL3	LIF	FOSL1	IL6	HMGA1	CXCL2	CXCL8	KRT18	HAS1	HSPB8	GPRC5A	HAS2	THAP2	CLCF1	KDM6B	TMEM88	BDKRB1	CYB5D1	FLNC	DUSP2	DYRK3	NR4A3	KRT8	HSPH1	NFATC2	EFNB2	myCAF_score	iCAF_score
peng_N1__csCAF	peng_N1	csCAF	224	0	8.72192334387445	7.62363694896786	6.93097840999904	0	7.84668274330484	7.84668274330484	8.18304324596336	10.1287139230508	8.94503429997038	9.18139562860566	9.60421698335731	8.02893912347111	9.28146928361255	7.62363694896786	0	9.00956467213737	6.93097840999904	9.4756088624745	8.02893912347111	7.33611778357796	0	6.93097840999904	8.02893912347111	0	7.33611778357796	0	6.23880779689237	7.84668274330484	0	0	0	5.54761089483528	0	7.62363694896786	6.23880779689237	7.62363694896786	6.23880779689237	10.1489158320325	7.84668274330484	0	8.31653971916409	6.93097840999904	8.63492678254192	10.4415755203642	8.72192334387445	8.02893912347111	8.80195351505131	6.23880779689237	7.84668274330484	10.7366851107969	7.33611778357796	7.62363694896786	6.23880779689237	6.23880779689237	6.93097840999904	9.45580776917712	10.1687176922996	8.63492678254192	8.18304324596336	10.4112710691201	8.31653971916409	10.1881350406281	10.2973304414852	9.23268377614139	11.6618123415539	0	8.02893912347111	9.00956467213737	9.37243296316093	8.02893912347111	8.18304324596336	10.4112710691201	9.45580776917712	8.02893912347111	8.4342955944256	6.23880779689237	7.62363694896786	9.49502547333053	8.80195351505131	11.5695819498656	12.1875013536943	10.7801692979337	6.23880779689237	0.218934941112729	0.777366954847047
peng_N1__iCAF	peng_N1	iCAF	21	0	0	7.98690488256717	0	0	0	0	0	7.98690488256717	7.98690488256717	8.67988210646565	0	0	0	7.98690488256717	0	0	7.98690488256717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.98690488256717	0	0	9.08529055593377	0	0	7.98690488256717	7.98690488256717	0	9.59607085047627	0	7.98690488256717	7.98690488256717	0	0	10.0660489811308	0	7.98690488256717	0	0	0	9.59607085047627	9.59607085047627	11.2446745552131	7.98690488256717	10.7591749123681	9.08529055593377	10.3844911217657	11.6241600474088	0	10.8197982842103	0	7.98690488256717	9.59607085047627	9.08529055593377	0	7.98690488256717	10.9310218140972	9.37294429786166	7.98690488256717	9.77838107464329	0	0	9.37294429786166	10.0660489811308	10.5515404513198	12.7139557679114	10.2891840327701	7.98690488256717	-1.00681385732325	0.774669988331753
peng_N1__myCAF	peng_N1	myCAF	138	0	8.74112182534172	0	7.13232320626039	0	8.0481345064393	6.43997456809096	8.0481345064393	9.87241562893039	9.07754838250934	8.23040277885356	8.63577907335235	6.43997456809096	8.38451539667123	0	0	9.32883743241437	6.43997456809096	9.14653364055115	7.13232320626039	8.0481345064393	0	0	8.63577907335235	0	7.82507087637147	0	7.82507087637147	9.32883743241437	0	6.43997456809096	0	0	0	8.0481345064393	8.38451539667123	0	6.43997456809096	10.3504318300471	8.38451539667123	7.13232320626039	8.38451539667123	7.13232320626039	8.74112182534172	9.80572781152779	8.83641747100078	6.43997456809096	10.4988474242622	8.23040277885356	8.0481345064393	12.3355351056146	7.13232320626039	7.53752199180438	0	7.13232320626039	6.43997456809096	8.92341673604133	10.049337973057	7.53752199180438	8.63577907335235	9.99377059129046	8.51801824183781	9.83962752537208	9.14653364055115	7.82507087637147	11.4818122781254	0	8.83641747100078	9.07754838250934	9.21106549987668	6.43997456809096	7.82507087637147	10.3302297753616	8.51801824183781	7.82507087637147	7.13232320626039	6.43997456809096	6.43997456809096	9.07754838250934	7.82507087637147	11.372862281792	11.8182815673072	10.5655370201654	7.53752199180438	0.342015799969094	0.683362276978142
peng_N1__qPSC	peng_N1	qPSC	137	9.41253825276105	7.80342706025081	9.41253825276105	7.80342706025081	0	8.71947276219005	7.11068812954144	0	9.88251124654041	9.30718681409822	9.74898714815967	10.0543534413462	0	8.71947276219005	11.3293911829141	7.11068812954144	9.05589831963472	0	9.25003373962859	0	7.11068812954144	0	0	9.88251124654041	0	7.11068812954144	0	0	7.11068812954144	0	0	0	6.41835694901878	0	8.20875604802972	7.11068812954144	7.11068812954144	7.11068812954144	9.05589831963472	7.11068812954144	0	7.11068812954144	0	9.81797612938989	9.1894151245697	8.71947276219005	7.11068812954144	0	0	8.20875604802972	9.67488366474492	0	0	7.11068812954144	0	7.11068812954144	0	10.6362560168435	0	8.20875604802972	9.81797612938989	10.5110960777289	8.71947276219005	10.1056445858239	9.41253825276105	12.2972618331804	0	8.20875604802972	7.11068812954144	7.80342706025081	7.80342706025081	0	10.0543534413462	9.1894151245697	7.11068812954144	0	7.11068812954144	8.20875604802972	7.80342706025081	9.59484619390804	12.0515197214108	11.2687673120075	7.80342706025081	7.80342706025081	-0.438679558122897	0.632888558477145
peng_N1__smPSC	peng_N1	smPSC	258	11.1529370641694	8.26280893976638	11.1074753567496	7.3469050332454	0	9.98536364115108	0	6.65440222927343	10.696186959766	9.29226252883607	9.36124925801298	9.21816164391628	0	8.44508750672742	10.7474791225995	0	7.75215525685316	9.29226252883607	10.9435901728337	8.26280893976638	7.3469050332454	7.3469050332454	8.26280893976638	8.95582714528282	0	7.75215525685316	0	0	7.3469050332454	0	0	0	6.65440222927343	0	6.65440222927343	7.75215525685316	6.65440222927343	0	9.13812720461885	0	0	8.73271583928901	7.3469050332454	8.73271583928901	8.95582714528282	8.0397298697365	6.65440222927343	6.65440222927343	0	7.3469050332454	8.73271583928901	7.3469050332454	0	6.65440222927343	6.65440222927343	0	0	10.4817825001827	6.65440222927343	8.0397298697365	8.44508750672742	9.91125921278385	8.59920747839963	8.85048096100687	7.75215525685316	11.8571268355723	0	10.0543534413462	6.65440222927343	0	8.26280893976638	6.65440222927343	9.83122063951202	9.36124925801298	0	7.75215525685316	9.29226252883607	9.48640228413879	9.13812720461885	9.54355648260345	11.7282949383099	11.5803760935482	8.0397298697365	7.3469050332454	-0.17619186910992	0.61357800674669
peng_N2__csCAF	peng_N2	csCAF	138	0	9.22809355238869	8.12967772511655	8.12967772511655	7.43682516429998	0	8.12967772511655	8.53504460735136	11.173919491886	9.38223019778205	9.73887987924341	11.4252308011582	8.53504460735136	9.83418470025837	9.92119161156826	7.43682516429998	9.38223019778205	7.43682516429998	11.0335642491298	9.04579164347129	9.22809355238869	0	7.43682516429998	10.3807058429878	8.12967772511655	8.53504460735136	0	0	9.04579164347129	0	7.43682516429998	0	0	0	9.73887987924341	9.51575106445189	8.53504460735136	7.43682516429998	10.655135242577	7.43682516429998	0	9.22809355238869	8.53504460735136	9.22809355238869	10.5717556840223	7.43682516429998	8.82267756324811	8.53504460735136	7.43682516429998	8.53504460735136	10.2694838579124	8.12967772511655	9.73887987924341	0	7.43682516429998	0	0	9.73887987924341	8.12967772511655	0	0	10.0753352738585	8.53504460735136	9.04579164347129	9.51575106445189	11.0998125993869	0	8.12967772511655	0	9.38223019778205	9.38223019778205	7.43682516429998	8.53504460735136	10.2694838579124	7.43682516429998	7.43682516429998	0	7.43682516429998	8.12967772511655	9.38223019778205	11.6106321770721	10.4319975861065	8.12967772511655	8.12967772511655	0.485523307046738	0.452279126267476
peng_N2__myCAF	peng_N2	myCAF	67	0	8.84584124802127	7.74751687643503	7.74751687643503	0	9.356609278422	7.74751687643503	7.74751687643503	10.8825979680816	9.53891643635634	9.356609278422	10.3120675573988	8.84584124802127	9.13348732500847	7.74751687643503	0	7.74751687643503	0	11.0051981229882	0	9.13348732500847	0	0	9.53891643635634	8.84584124802127	8.84584124802127	0	7.74751687643503	10.5803237252182	0	0	0	0	0	10.3120675573988	9.53891643635634	8.44044812695547	0	10.6915466854702	8.44044812695547	0	9.13348732500847	0	8.44044812695547	9.94435754590442	8.44044812695547	8.44044812695547	11.3024453739905	0	7.74751687643503	11.8742263224829	8.44044812695547	7.74751687643503	9.13348732500847	7.74751687643503	8.44044812695547	0	9.69305683115694	0	0	0	0	9.13348732500847	8.84584124802127	9.356609278422	11.2128343724288	0	9.13348732500847	0	9.13348732500847	8.44044812695547	7.74751687643503	8.44044812695547	8.84584124802127	0	8.44044812695547	0	9.53891643635634	8.44044812695547	7.74751687643503	11.5537570594444	10.1450195144747	7.74751687643503	0	0.433128969680336	0.374692215389794
peng_N2__qPSC	peng_N2	qPSC	87	9.66716210579976	7.87571923306213	8.97407825255707	0	9.26172866185152	9.66716210579976	0	0	10.9198798380416	9.66716210579976	9.48485321479009	11.5389106949158	0	7.87571923306213	11.3410870829731	7.87571923306213	0	0	8.56867646775607	0	0	0	7.87571923306213	10.072606103911	0	0	0	0	8.56867646775607	0	0	0	8.97407825255707	0	9.26172866185152	7.87571923306213	0	0	9.95482834579559	0	0	8.97407825255707	0	10.5144237773479	9.66716210579976	9.95482834579559	0	0	0	7.87571923306213	8.97407825255707	0	7.87571923306213	8.97407825255707	0	0	0	8.97407825255707	8.56867646775607	0	7.87571923306213	0	0	9.26172866185152	0	12.3751531977874	0	9.26172866185152	0	0	7.87571923306213	0	9.26172866185152	10.072606103911	0	0	0	7.87571923306213	7.87571923306213	9.48485321479009	11.8826793995434	9.48485321479009	0	7.87571923306213	-0.809719397149693	0.102440191149973
peng_N2__smPSC	peng_N2	smPSC	162	11.6292979554479	8.82607553728077	11.1773179182267	7.4402216394354	9.51914928842939	9.74227815321429	0	0	11.2008480903369	9.63692416492946	9.63692416492946	9.63692416492946	7.4402216394354	0	11.4469781789396	8.53844241477456	8.53844241477456	8.13307519936982	11.4286292380807	9.23149169304716	0	0	7.4402216394354	10.5307034694932	0	0	0	0	8.82607553728077	0	0	0	0	0	7.4402216394354	0	7.4402216394354	7.4402216394354	9.04918971747748	0	0	7.4402216394354	7.4402216394354	8.82607553728077	7.4402216394354	7.4402216394354	0	0	0	7.84549101003942	8.13307519936982	0	0	0	0	0	0	8.82607553728077	8.13307519936982	0	0	8.13307519936982	8.13307519936982	7.4402216394354	8.53844241477456	11.7437073443078	0	10.658533636538	0	0	8.13307519936982	0	8.53844241477456	10.2728822142286	0	8.13307519936982	0	0	9.04918971747748	8.53844241477456	11.5000874517514	9.3856283860509	0	9.23149169304716	-0.88483519083639	0.0543639893746345
peng_N3__csCAF	peng_N3	csCAF	27	0	0	0	0	0	10.3498066546526	0	0	10.3498066546526	0	0	0	0	0	0	0	11.4483976104424	0	11.4483976104424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0429378355965	0	0	0	0	0	0	0	0	0	0	0	11.9592189675782	0	0	0	10.3498066546526	0	0	10.3498066546526	0	0	0	0	0	0	0	11.0429378355965	0	10.3498066546526	0	0	0	0	11.0429378355965	0	0	0	0	0	10.3498066546526	0	12.295689375638	0	11.0429378355965	0	-1.36748836655734	-1.27567734421416
peng_N3__qPSC	peng_N3	qPSC	52	10.6444492299817	0	9.54588460570831	0	0	10.6444492299817	0	0	11.7430456300134	0	10.2389960381852	0	0	0	12.3184062992441	0	9.54588460570831	0	9.95132588190312	9.54588460570831	0	0	0	9.54588460570831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2389960381852	9.54588460570831	0	0	9.54588460570831	11.7430456300134	0	10.2389960381852	0	0	0	0	10.6444492299817	0	0	0	0	0	0	10.2389960381852	0	0	0	0	0	0	0	11.337584494088	0	0	0	0	0	0	9.54588460570831	9.54588460570831	0	0	0	0	0	0	11.1552653205962	0	0	0	-1.23113402715966	-1.39730609280946
peng_N3__smPSC	peng_N3	smPSC	120	10.8769555869607	9.37294429786166	10.7591749123681	0	10.0660489811308	10.7591749123681	0	0	10.9823142137636	9.37294429786166	10.6256465553887	0	0	0	11.57009332321	0	8.67988210646565	0	11.7242426538428	10.0660489811308	0	0	9.77838107464329	9.77838107464329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9823142137636	0	0	9.77838107464329	0	9.77838107464329	9.37294429786166	0	0	0	0	0	9.37294429786166	0	0	0	0	0	0	0	0	0	0	0	8.67988210646565	8.67988210646565	0	11.57009332321	0	9.77838107464329	0	0	0	8.67988210646565	10.0660489811308	10.2891840327701	0	0	0	0	8.67988210646565	0	11.2446745552131	8.67988210646565	0	9.37294429786166	-1.27899447082872	-1.08157197825318
peng_N4__csCAF	peng_N4	csCAF	32	0	8.69768373160457	8.69768373160457	0	0	0	0	0	9.39074742262153	10.3069880574239	10.7769791620095	9.79618469933296	0	0	9.79618469933296	0	8.69768373160457	0	10.0838528557959	8.69768373160457	0	0	0	9.39074742262153	0	9.39074742262153	0	0	0	0	0	0	0	0	0	9.39074742262153	0	0	10.6434507514611	9.79618469933296	0	9.39074742262153	8.69768373160457	9.79618469933296	10.6434507514611	9.79618469933296	0	8.69768373160457	0	8.69768373160457	10.4893040477216	0	0	0	0	0	0	8.69768373160457	10.3069880574239	8.69768373160457	0	0	8.69768373160457	11.2624789490804	8.69768373160457	11.4701159052328	0	9.79618469933296	0	0	0	0	9.39074742262153	8.69768373160457	8.69768373160457	0	0	0	8.69768373160457	0	12.5261617724648	10.4893040477216	0	0	-0.809719397149693	-0.632565741409488
