pathway	n_patients	mean_low	mean_high	delta_high_minus_low	median_delta	p_value	padj_BH	CellType2	gene	n_deg_methods	pathway_label	direction	significant
HALLMARK_COMPLEMENT	24	0.0695453958332307	0.0741352943234926	0.00458989849026193	0.00360746138025445	9.61926880352055e-05	0.00383169235011225	myCAF	KCNE4	0	COMPLEMENT	KCN-high	TRUE
HALLMARK_HYPOXIA	24	0.0952999758946921	0.102586457384912	0.00728648149021948	0.0050252070121345	0.000417809173819042	0.00417809173819042	myCAF	KCNE4	0	HYPOXIA	KCN-high	TRUE
HALLMARK_ADIPOGENESIS	24	0.0629554457332594	0.0684532154920078	0.00549776975874846	0.00478384446402019	0.000269628495000937	0.00417809173819042	myCAF	KCNE4	0	ADIPOGENESIS	KCN-high	TRUE
HALLMARK_UV_RESPONSE_DN	24	0.0850277908920106	0.0889470773718037	0.00391928647979308	0.00397518993578107	0.000417809173819042	0.00417809173819042	myCAF	KCNE4	0	UV RESPONSE DN	KCN-high	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	24	0.209965746986307	0.225794244367269	0.0158284973809621	0.0144483807152052	0.000966848284767555	0.00439476493076161	myCAF	KCNE4	0	EPITHELIAL MESENCHYMAL TRANSITION	KCN-high	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	24	0.103472286737925	0.114610242185031	0.0111379554471065	0.0104483087697147	0.00087292617523761	0.00439476493076161	myCAF	KCNE4	0	OXIDATIVE PHOSPHORYLATION	KCN-high	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	24	0.0955131981301314	0.104626690880175	0.00911349275004351	0.00743752396551804	0.000787524113356464	0.00439476493076161	myCAF	KCNE4	0	REACTIVE OXYGEN SPECIES PATHWAY	KCN-high	TRUE
HALLMARK_MYOGENESIS	24	0.0821541724674753	0.087307642358182	0.00515346989070669	0.00429996872225439	0.000787524113356464	0.00439476493076161	myCAF	KCNE4	0	MYOGENESIS	KCN-high	TRUE
HALLMARK_APICAL_JUNCTION	24	0.0646813555405391	0.0696836767206361	0.00500232118009703	0.00348059354693796	0.00063949475675379	0.00439476493076161	myCAF	KCNE4	0	APICAL JUNCTION	KCN-high	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	24	0.0578718791785392	0.0625811048251456	0.0047092256466064	0.00402590546846145	0.000966848284767555	0.00439476493076161	myCAF	KCNE4	0	CHOLESTEROL HOMEOSTASIS	KCN-high	TRUE
HALLMARK_MTORC1_SIGNALING	24	0.0650428038681796	0.069520003470238	0.00447719960205841	0.00418439741577136	0.00118337530273926	0.00493073042808026	myCAF	KCNE4	0	MTORC1 SIGNALING	KCN-high	TRUE
HALLMARK_ANGIOGENESIS	24	0.163827342282045	0.173531356559145	0.0097040142770996	0.00977625850175733	0.00144397123809424	0.00555373553113168	myCAF	KCNE4	0	ANGIOGENESIS	KCN-high	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	24	0.0730048738377284	0.0772502612597065	0.0042453874219781	0.00244938301805151	0.00175658310569651	0.00627351109177326	myCAF	KCNE4	0	UNFOLDED PROTEIN RESPONSE	KCN-high	TRUE
HALLMARK_COAGULATION	24	0.108232247373214	0.115004142570462	0.00677189519724777	0.0069158354828257	0.00234343553882515	0.00781145179608383	myCAF	KCNE4	0	COAGULATION	KCN-high	TRUE
HALLMARK_MYC_TARGETS_V1	24	0.0950985214187497	0.10236750989877	0.00726898848002079	0.00621485853230365	0.00408621117139509	0.0127694099106097	myCAF	KCNE4	0	MYC TARGETS V1	KCN-high	TRUE
HALLMARK_APOPTOSIS	24	0.10573415025599	0.11078228027402	0.00504813001803036	0.00489414269293265	0.00534099252506721	0.0157088015443153	myCAF	KCNE4	0	APOPTOSIS	KCN-high	TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	24	0.0522157380355667	0.0565559283696167	0.00434019033405004	0.00380561657225805	0.00693394760608133	0.0192609655724481	myCAF	KCNE4	0	PI3K AKT MTOR SIGNALING	KCN-high	TRUE
HALLMARK_GLYCOLYSIS	24	0.0606429394194838	0.0638648943538833	0.00322195493439946	0.00214374902671677	0.0114527779643349	0.0301388893798287	myCAF	KCNE4	0	GLYCOLYSIS	KCN-high	TRUE
HALLMARK_FATTY_ACID_METABOLISM	24	0.0488064487411973	0.0511986749061081	0.00239222616491082	0.00156280935401021	0.0145715040034927	0.034694057151173	myCAF	KCNE4	0	FATTY ACID METABOLISM	KCN-high	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	24	0.041256891428544	0.0427650502590857	0.0015081588305417	0.00147432688217573	0.0145715040034927	0.034694057151173	myCAF	KCNE4	0	ESTROGEN RESPONSE LATE	KCN-high	TRUE
HALLMARK_HEDGEHOG_SIGNALING	24	0.0341364188462747	0.0376787548650505	0.00354233601877577	0.00283445283884947	0.0157660937967576	0.0358320313562673	myCAF	KCNE4	0	HEDGEHOG SIGNALING	KCN-high	TRUE
HALLMARK_PROTEIN_SECRETION	24	0.0654347964438752	0.0688031223336775	0.00336832588980228	0.00268407446168959	0.018416160576304	0.0400351316876173	myCAF	KCNE4	0	PROTEIN SECRETION	KCN-high	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	21	0.105859493189874	0.120619050925089	0.0147595577352143	0.0142341637011703	0.00019995878734921	0.00328370980881709	myCAF	KCNJ8	0	OXIDATIVE PHOSPHORYLATION	KCN-high	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	21	0.0975090301147505	0.109556843315192	0.0120478132004415	0.0107714555488811	0.000262696784705367	0.00328370980881709	myCAF	KCNJ8	0	REACTIVE OXYGEN SPECIES PATHWAY	KCN-high	TRUE
HALLMARK_MYC_TARGETS_V1	21	0.0960899954809069	0.106457060715457	0.0103670652345499	0.0123765529660814	0.000229322202206831	0.00328370980881709	myCAF	KCNJ8	0	MYC TARGETS V1	KCN-high	TRUE
HALLMARK_ADIPOGENESIS	21	0.0642856615608929	0.0707274541577333	0.00644179259684035	0.00607660828313324	0.000131655236839861	0.00328370980881709	myCAF	KCNJ8	0	ADIPOGENESIS	KCN-high	TRUE
HALLMARK_MITOTIC_SPINDLE	21	0.0375321402881507	0.0355065183350777	-0.00202562195307297	-0.00196757693422137	0.00156181219870471	0.0156181219870471	myCAF	KCNJ8	0	MITOTIC SPINDLE	KCN-low	TRUE
HALLMARK_PROTEIN_SECRETION	21	0.0652048268927119	0.0705491617681945	0.00534433487548266	0.00401378842524498	0.00197856658591968	0.016488054882664	myCAF	KCNJ8	0	PROTEIN SECRETION	KCN-high	TRUE
HALLMARK_FATTY_ACID_METABOLISM	21	0.0488764643521279	0.0519028841721556	0.00302641982002768	0.00239837887122146	0.00249526083547358	0.0178232916819542	myCAF	KCNJ8	0	FATTY ACID METABOLISM	KCN-high	TRUE
HALLMARK_MTORC1_SIGNALING	21	0.0643921806110954	0.0682571460807316	0.0038649654696362	0.00213439561334455	0.00391556730062004	0.0217531516701113	myCAF	KCNJ8	0	MTORC1 SIGNALING	KCN-high	TRUE
HALLMARK_MYOGENESIS	21	0.0830306436149201	0.0867341012877347	0.00370345767281463	0.00288869847760399	0.00350433028726648	0.0217531516701113	myCAF	KCNJ8	0	MYOGENESIS	KCN-high	TRUE
HALLMARK_ANDROGEN_RESPONSE	21	0.0692510828384011	0.073285230691676	0.00403414785327489	0.00288929916732752	0.00542565409814579	0.0246620640824808	myCAF	KCNJ8	0	ANDROGEN RESPONSE	KCN-high	TRUE
HALLMARK_PEROXISOME	21	0.0382467956982534	0.0401901097935861	0.00194331409533272	0.00185043541703352	0.00542565409814579	0.0246620640824808	myCAF	KCNJ8	0	PEROXISOME	KCN-high	TRUE
HALLMARK_HYPOXIA	21	0.0943693883542213	0.099593240798681	0.0052238524444597	0.00300401865218605	0.00670610661793801	0.0279421109080751	myCAF	KCNJ8	0	HYPOXIA	KCN-high	TRUE
HALLMARK_ANGIOGENESIS	21	0.162274894337767	0.174546067031566	0.0122711726937988	0.00704378912504522	0.00744313065319528	0.0286274255892126	myCAF	KCNJ8	0	ANGIOGENESIS	KCN-high	TRUE
HALLMARK_APOPTOSIS	21	0.106655300579242	0.110258072002712	0.00360277142347007	0.00336241267788862	0.0101093588940807	0.0361048531931455	myCAF	KCNJ8	0	APOPTOSIS	KCN-high	TRUE
HALLMARK_DNA_REPAIR	21	0.0411610033566785	0.0439163155700195	0.00275531221334104	0.00209063568633951	0.0135948854417752	0.0453162848059173	myCAF	KCNJ8	0	DNA REPAIR	KCN-high	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	11	0.0987866747716509	0.109612083546138	0.0108254087744866	0.00673277370325122	0.00385729282994253	0.0482161603742817	myCAF	KCNK1	2	REACTIVE OXYGEN SPECIES PATHWAY	KCN-high	TRUE
HALLMARK_HYPOXIA	11	0.103519094826125	0.113082046387044	0.00956295156091933	0.00621253861542494	0.00385729282994253	0.0482161603742817	myCAF	KCNK1	2	HYPOXIA	KCN-high	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	11	0.0762104040961721	0.0849071029808815	0.00869669888470935	0.00742213489224187	0.00385729282994253	0.0482161603742817	myCAF	KCNK1	2	UNFOLDED PROTEIN RESPONSE	KCN-high	TRUE
HALLMARK_GLYCOLYSIS	11	0.0672305181434655	0.0752280188882905	0.00799750074482499	0.00712648483777255	0.00385729282994253	0.0482161603742817	myCAF	KCNK1	2	GLYCOLYSIS	KCN-high	TRUE
HALLMARK_G2M_CHECKPOINT	16	0.0310884814990505	0.0290944743076624	-0.0019940071913881	-0.00129389811683804	0.000706808696380851	0.0353404348190426	myCAF	KCNK6	0	G2M CHECKPOINT	KCN-low	TRUE
HALLMARK_KRAS_SIGNALING_DN	25	0.0107745276110355	0.0134635686444683	0.00268904103343287	0.00282573123591103	6.09428993202133e-05	0.00304714496601067	myCAF	KCNMB1	1	KRAS SIGNALING DN	KCN-high	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	22	0.109548434889089	0.1296953516009	0.0201469167118111	0.0165206547206648	9.78436221752126e-05	0.00163072703625354	myCAF	KCNS3	0	OXIDATIVE PHOSPHORYLATION	KCN-high	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	22	0.101279235424263	0.114192664063594	0.0129134286393309	0.0121539896765278	9.78436221752126e-05	0.00163072703625354	myCAF	KCNS3	0	REACTIVE OXYGEN SPECIES PATHWAY	KCN-high	TRUE
HALLMARK_MYC_TARGETS_V1	22	0.101070339331175	0.112946273276891	0.0118759339457155	0.0112519131348048	9.78436221752126e-05	0.00163072703625354	myCAF	KCNS3	0	MYC TARGETS V1	KCN-high	TRUE
HALLMARK_PANCREAS_BETA_CELLS	22	0.0494659221832651	0.0555647437691028	0.00609882158583773	0.00399336732001885	0.0004020174507591	0.00502521813448875	myCAF	KCNS3	0	PANCREAS BETA CELLS	KCN-high	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	22	0.0769111045423911	0.0825609296033083	0.00564982506091712	0.00466710228578906	0.0011680676192014	0.00817839861592986	myCAF	KCNS3	0	UNFOLDED PROTEIN RESPONSE	KCN-high	TRUE
HALLMARK_ADIPOGENESIS	22	0.0646222088083799	0.0689758212453892	0.00435361243700929	0.00308711835818841	0.00104164313066084	0.00817839861592986	myCAF	KCNS3	0	ADIPOGENESIS	KCN-high	TRUE
HALLMARK_DNA_REPAIR	22	0.0417775666667029	0.045853731388438	0.00407616472173506	0.00376306389205869	0.00130854377854878	0.00817839861592986	myCAF	KCNS3	0	DNA REPAIR	KCN-high	TRUE
HALLMARK_KRAS_SIGNALING_DN	22	0.0101772497333589	0.00908667327666352	-0.00109057645669536	-0.000740934962245862	0.0011680676192014	0.00817839861592986	myCAF	KCNS3	0	KRAS SIGNALING DN	KCN-low	TRUE
