CellType2	pathway	n_genes_in_matrix
csCAF	HALLMARK_G2M_CHECKPOINT	194
csCAF	HALLMARK_GLYCOLYSIS	196
csCAF	HALLMARK_HEDGEHOG_SIGNALING	35
csCAF	HALLMARK_HEME_METABOLISM	186
csCAF	HALLMARK_HYPOXIA	199
csCAF	HALLMARK_IL2_STAT5_SIGNALING	196
csCAF	HALLMARK_IL6_JAK_STAT3_SIGNALING	86
csCAF	HALLMARK_INFLAMMATORY_RESPONSE	198
csCAF	HALLMARK_INTERFERON_ALPHA_RESPONSE	96
csCAF	HALLMARK_INTERFERON_GAMMA_RESPONSE	196
csCAF	HALLMARK_KRAS_SIGNALING_DN	181
csCAF	HALLMARK_KRAS_SIGNALING_UP	197
csCAF	HALLMARK_MITOTIC_SPINDLE	198
csCAF	HALLMARK_MTORC1_SIGNALING	197
csCAF	HALLMARK_MYC_TARGETS_V1	184
csCAF	HALLMARK_MYC_TARGETS_V2	57
csCAF	HALLMARK_MYOGENESIS	188
csCAF	HALLMARK_NOTCH_SIGNALING	32
csCAF	HALLMARK_OXIDATIVE_PHOSPHORYLATION	200
csCAF	HALLMARK_P53_PATHWAY	191
csCAF	HALLMARK_PANCREAS_BETA_CELLS	39
csCAF	HALLMARK_PEROXISOME	103
csCAF	HALLMARK_PI3K_AKT_MTOR_SIGNALING	104
csCAF	HALLMARK_PROTEIN_SECRETION	96
csCAF	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49
csCAF	HALLMARK_SPERMATOGENESIS	112
csCAF	HALLMARK_TGF_BETA_SIGNALING	54
csCAF	HALLMARK_TNFA_SIGNALING_VIA_NFKB	199
csCAF	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	108
csCAF	HALLMARK_UV_RESPONSE_DN	143
csCAF	HALLMARK_UV_RESPONSE_UP	154
csCAF	HALLMARK_WNT_BETA_CATENIN_SIGNALING	41
csCAF	HALLMARK_XENOBIOTIC_METABOLISM	193
iCAF	HALLMARK_ADIPOGENESIS	194
iCAF	HALLMARK_ALLOGRAFT_REJECTION	187
iCAF	HALLMARK_ANDROGEN_RESPONSE	97
iCAF	HALLMARK_ANGIOGENESIS	35
iCAF	HALLMARK_APICAL_JUNCTION	193
iCAF	HALLMARK_APICAL_SURFACE	41
iCAF	HALLMARK_APOPTOSIS	159
iCAF	HALLMARK_BILE_ACID_METABOLISM	107
iCAF	HALLMARK_CHOLESTEROL_HOMEOSTASIS	74
iCAF	HALLMARK_COAGULATION	130
iCAF	HALLMARK_COMPLEMENT	197
iCAF	HALLMARK_DNA_REPAIR	149
iCAF	HALLMARK_E2F_TARGETS	198
iCAF	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	199
iCAF	HALLMARK_ESTROGEN_RESPONSE_EARLY	198
iCAF	HALLMARK_ESTROGEN_RESPONSE_LATE	196
iCAF	HALLMARK_FATTY_ACID_METABOLISM	152
iCAF	HALLMARK_G2M_CHECKPOINT	194
iCAF	HALLMARK_GLYCOLYSIS	196
iCAF	HALLMARK_HEDGEHOG_SIGNALING	35
iCAF	HALLMARK_HEME_METABOLISM	186
iCAF	HALLMARK_HYPOXIA	199
iCAF	HALLMARK_IL2_STAT5_SIGNALING	196
iCAF	HALLMARK_IL6_JAK_STAT3_SIGNALING	86
iCAF	HALLMARK_INFLAMMATORY_RESPONSE	198
iCAF	HALLMARK_INTERFERON_ALPHA_RESPONSE	96
iCAF	HALLMARK_INTERFERON_GAMMA_RESPONSE	196
iCAF	HALLMARK_KRAS_SIGNALING_DN	181
iCAF	HALLMARK_KRAS_SIGNALING_UP	197
iCAF	HALLMARK_MITOTIC_SPINDLE	198
iCAF	HALLMARK_MTORC1_SIGNALING	197
iCAF	HALLMARK_MYC_TARGETS_V1	184
iCAF	HALLMARK_MYC_TARGETS_V2	57
iCAF	HALLMARK_MYOGENESIS	188
iCAF	HALLMARK_NOTCH_SIGNALING	32
iCAF	HALLMARK_OXIDATIVE_PHOSPHORYLATION	200
iCAF	HALLMARK_P53_PATHWAY	191
iCAF	HALLMARK_PANCREAS_BETA_CELLS	39
iCAF	HALLMARK_PEROXISOME	103
iCAF	HALLMARK_PI3K_AKT_MTOR_SIGNALING	104
iCAF	HALLMARK_PROTEIN_SECRETION	96
iCAF	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49
iCAF	HALLMARK_SPERMATOGENESIS	112
iCAF	HALLMARK_TGF_BETA_SIGNALING	54
iCAF	HALLMARK_TNFA_SIGNALING_VIA_NFKB	199
iCAF	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	108
iCAF	HALLMARK_UV_RESPONSE_DN	143
iCAF	HALLMARK_UV_RESPONSE_UP	154
iCAF	HALLMARK_WNT_BETA_CATENIN_SIGNALING	41
iCAF	HALLMARK_XENOBIOTIC_METABOLISM	193
