CellType2	gene	row_label	pathway_label	delta_high_minus_low	padj_BH	direction	dot_size
myCAF	KCNS3	myCAF | KCNS3	PI3K AKT MTOR SIGNALING	0.00472091639976652	0.0158133501898525	KCN-high	1.80097611141936
myCAF	KCNS3	myCAF | KCNS3	PROTEIN SECRETION	0.00366776354677582	0.0160802135034729	KCN-high	1.79370818924649
myCAF	KCNS3	myCAF | KCNS3	MYOGENESIS	0.00510863687744098	0.0298598399727727	KCN-high	1.52491252411026
myCAF	KCNS3	myCAF | KCNS3	COMPLEMENT	0.00466868605144272	0.0335617669850567	KCN-high	1.4741551821801
myCAF	KCNS3	myCAF | KCNS3	EPITHELIAL MESENCHYMAL TRANSITION	0.0136743653769976	0.0453674174872328	KCN-high	1.34325594198075
myCAF	KCNS3	myCAF | KCNS3	CHOLESTEROL HOMEOSTASIS	0.00481493800582784	0.046546647962124	KCN-high	1.3321115890966
qPSC	KCNA5	qPSC | KCNA5	MYOGENESIS	0.00711151247532112	0.0162051800227276	KCN-high	1.79034614004412
qPSC	KCNA5	qPSC | KCNA5	COMPLEMENT	-0.00641161905333972	0.0162051800227276	KCN-low	1.79034614004412
qPSC	KCNA5	qPSC | KCNA5	KRAS SIGNALING UP	-0.00540394064260398	0.0162051800227276	KCN-low	1.79034614004412
qPSC	KCNA5	qPSC | KCNA5	XENOBIOTIC METABOLISM	-0.00487217356287548	0.0162051800227276	KCN-low	1.79034614004412
qPSC	KCNA5	qPSC | KCNA5	INFLAMMATORY RESPONSE	-0.00382566279071683	0.0162051800227276	KCN-low	1.79034614004412
qPSC	KCNA5	qPSC | KCNA5	INTERFERON GAMMA RESPONSE	-0.00915581877829756	0.0163794117436803	KCN-low	1.78570169970998
qPSC	KCNA5	qPSC | KCNA5	IL6 JAK STAT3 SIGNALING	-0.00437750958188928	0.0204685343415845	KCN-low	1.68891325407179
qPSC	KCNC4	qPSC | KCNC4	MYOGENESIS	0.00504865641962227	0.0135307426281268	KCN-high	1.86867836671008
qPSC	KCNC4	qPSC | KCNC4	NOTCH SIGNALING	0.00962174651083813	0.0395763416481382	KCN-high	1.40256435352166
qPSC	KCNE4	qPSC | KCNE4	OXIDATIVE PHOSPHORYLATION	0.0132433677093684	0.000155435518070913	KCN-high	3.80844973495803
qPSC	KCNE4	qPSC | KCNE4	ADIPOGENESIS	0.00567197987083255	0.000353167729958354	KCN-high	3.45201898612867
qPSC	KCNE4	qPSC | KCNE4	NOTCH SIGNALING	0.00642087783118734	0.000446945895589858	KCN-high	3.34974504659721
qPSC	KCNE4	qPSC | KCNE4	MYC TARGETS V1	0.00817248683040573	0.000726669526901108	KCN-high	3.13866305169085
qPSC	KCNE4	qPSC | KCNE4	EPITHELIAL MESENCHYMAL TRANSITION	0.00773920036725774	0.00163174335867742	KCN-high	2.78734814624076
qPSC	KCNE4	qPSC | KCNE4	ANGIOGENESIS	0.00610091150418236	0.00164431947755025	KCN-high	2.78401379880475
qPSC	KCNE4	qPSC | KCNE4	MYOGENESIS	0.00397827535698365	0.00164431947755025	KCN-high	2.78401379880475
qPSC	KCNE4	qPSC | KCNE4	HYPOXIA	0.0039280351018285	0.00164431947755025	KCN-high	2.78401379880475
qPSC	KCNE4	qPSC | KCNE4	UV RESPONSE UP	0.00252090156444707	0.00164431947755025	KCN-high	2.78401379880475
qPSC	KCNE4	qPSC | KCNE4	PROTEIN SECRETION	0.00240980894298762	0.00164431947755025	KCN-high	2.78401379880475
qPSC	KCNE4	qPSC | KCNE4	REACTIVE OXYGEN SPECIES PATHWAY	0.00672226327098197	0.00202907170883229	KCN-high	2.69270260442064
qPSC	KCNE4	qPSC | KCNE4	APICAL SURFACE	0.00298287505646108	0.00202907170883229	KCN-high	2.69270260442064
qPSC	KCNE4	qPSC | KCNE4	FATTY ACID METABOLISM	0.0026409839074693	0.00202907170883229	KCN-high	2.69270260442064
qPSC	KCNE4	qPSC | KCNE4	UV RESPONSE DN	0.0026340725162041	0.00245202844421013	KCN-high	2.61047449618794
qPSC	KCNE4	qPSC | KCNE4	ANDROGEN RESPONSE	0.00260072271486613	0.00358729012932098	KCN-high	2.44523349746184
qPSC	KCNE4	qPSC | KCNE4	PANCREAS BETA CELLS	0.00244995881596912	0.0043193916003034	KCN-high	2.36457742060143
qPSC	KCNE4	qPSC | KCNE4	ESTROGEN RESPONSE LATE	0.00182731928983105	0.00432454534907124	KCN-high	2.36405954433062
qPSC	KCNE4	qPSC | KCNE4	MITOTIC SPINDLE	-0.00136705845755511	0.00553870365134387	KCN-low	2.25659187118282
qPSC	KCNE4	qPSC | KCNE4	APOPTOSIS	0.00314199785108163	0.00706296285244696	KCN-high	2.1510130779085
qPSC	KCNE4	qPSC | KCNE4	APICAL JUNCTION	0.00182516254789855	0.0148241594177407	KCN-high	1.82902992329839
qPSC	KCNE4	qPSC | KCNE4	UNFOLDED PROTEIN RESPONSE	0.00270555296208314	0.014907683375314	KCN-high	1.82658983981236
qPSC	KCNE4	qPSC | KCNE4	INFLAMMATORY RESPONSE	-0.000747810709630164	0.015021335574601	KCN-low	1.82329145169319
qPSC	KCNE4	qPSC | KCNE4	TGF BETA SIGNALING	0.00275926139859559	0.0159964821776631	KCN-high	1.79597551351937
qPSC	KCNE4	qPSC | KCNE4	P53 PATHWAY	0.0015477894827458	0.0221161305882868	KCN-high	1.65529085436339
qPSC	KCNE4	qPSC | KCNE4	INTERFERON ALPHA RESPONSE	0.0035275160351427	0.0223465928916877	KCN-high	1.65078868287366
qPSC	KCNE4	qPSC | KCNE4	MTORC1 SIGNALING	0.00212476773782061	0.0224226714354157	KCN-high	1.6493126468461
qPSC	KCNE4	qPSC | KCNE4	HEDGEHOG SIGNALING	0.00181537283112126	0.0224226714354157	KCN-high	1.6493126468461
qPSC	KCNE4	qPSC | KCNE4	E2F TARGETS	-0.00145485388361826	0.0224226714354157	KCN-low	1.6493126468461
qPSC	KCNE4	qPSC | KCNE4	G2M CHECKPOINT	-0.000961296266788645	0.0224226714354157	KCN-low	1.6493126468461
qPSC	KCNE4	qPSC | KCNE4	PI3K AKT MTOR SIGNALING	0.0017224460604775	0.0239490806467647	KCN-high	1.62071115355215
qPSC	KCNE4	qPSC | KCNE4	COAGULATION	0.00262608762200016	0.031045754279525	KCN-high	1.50799778418469
qPSC	KCNJ8	qPSC | KCNJ8	ANGIOGENESIS	0.0179442866353448	1.68398961421042e-05	KCN-high	4.77366059128353
qPSC	KCNJ8	qPSC | KCNJ8	MYC TARGETS V1	0.0123145231705385	1.68398961421042e-05	KCN-high	4.77366059128353
qPSC	KCNJ8	qPSC | KCNJ8	ADIPOGENESIS	0.00706091480665113	1.68398961421042e-05	KCN-high	4.77366059128353
qPSC	KCNJ8	qPSC | KCNJ8	FATTY ACID METABOLISM	0.00484918625152742	1.78356059734468e-05	KCN-high	4.74871213070727
qPSC	KCNJ8	qPSC | KCNJ8	MITOTIC SPINDLE	-0.00293657907720907	2.80719333896444e-05	KCN-low	4.55172767530505
qPSC	KCNJ8	qPSC | KCNJ8	OXIDATIVE PHOSPHORYLATION	0.0150428936952826	3.25913038189789e-05	KCN-high	4.48689826518501
qPSC	KCNJ8	qPSC | KCNJ8	EPITHELIAL MESENCHYMAL TRANSITION	0.0106649714621425	3.98577926356444e-05	KCN-high	4.39948675663162
qPSC	KCNJ8	qPSC | KCNJ8	REACTIVE OXYGEN SPECIES PATHWAY	0.0103891098802538	3.98577926356444e-05	KCN-high	4.39948675663162
qPSC	KCNJ8	qPSC | KCNJ8	INTERFERON ALPHA RESPONSE	0.0109253914967541	5.14707124834872e-05	KCN-high	4.28843981998559
qPSC	KCNJ8	qPSC | KCNJ8	WNT BETA CATENIN SIGNALING	-0.0042214822574697	5.14707124834872e-05	KCN-low	4.28843981998559
