pathway	n_patients	mean_low	mean_high	delta_high_minus_low	median_delta	p_value	padj_BH	CellType2	gene	n_deg_methods	pathway_label	direction	significant
HALLMARK_SPERMATOGENESIS	4	0.0123725141634853	0.0114416045311156	-0.000930909632369774	-0.00180829756527896	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	SPERMATOGENESIS	KCN-low	FALSE
HALLMARK_HEME_METABOLISM	4	0.0312973935555258	0.0320712017055765	0.000773808150050708	0.000749600807741226	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	HEME METABOLISM	KCN-high	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	4	0.0343895260239551	0.0351238856671168	0.000734359643161736	0.00140583328290063	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	IL6 JAK STAT3 SIGNALING	KCN-high	FALSE
HALLMARK_KRAS_SIGNALING_DN	4	0.00781533297931152	0.00747553883637318	-0.000339794142938338	-0.000584532039826168	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	KRAS SIGNALING DN	KCN-low	FALSE
HALLMARK_ALLOGRAFT_REJECTION	4	0.0449831599715332	0.0447075323479509	-0.000275627623582216	-0.000268314402549374	0.583882420770365	0.748567206115853	csCAF	KCNAB2	0	ALLOGRAFT REJECTION	KCN-low	FALSE
HALLMARK_TGF_BETA_SIGNALING	4	0.0795727034613588	0.0839449859725271	0.0043722825111682	0.00243676149354178	0.855132140584706	0.909715043175219	csCAF	KCNAB2	0	TGF BETA SIGNALING	KCN-high	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	4	0.0948182032090386	0.096543420128045	0.00172521691900634	9.64947769884622e-05	0.855132140584706	0.909715043175219	csCAF	KCNAB2	0	INTERFERON ALPHA RESPONSE	KCN-high	FALSE
HALLMARK_MITOTIC_SPINDLE	4	0.0323039602440465	0.0311940436568977	-0.00110991658714883	-8.92089171265521e-05	0.855132140584706	0.909715043175219	csCAF	KCNAB2	0	MITOTIC SPINDLE	KCN-low	FALSE
HALLMARK_BILE_ACID_METABOLISM	4	0.0236562504818286	0.0244539135847988	0.000797663102970224	0.00149433164019146	0.855132140584706	0.909715043175219	csCAF	KCNAB2	0	BILE ACID METABOLISM	KCN-high	FALSE
HALLMARK_PEROXISOME	4	0.0442160873729408	0.0449118411829001	0.000695753809959353	0.0035357742410458	0.855132140584706	0.909715043175219	csCAF	KCNAB2	0	PEROXISOME	KCN-high	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	4	0.0350788313381401	0.0356642184474376	0.000585387109297499	0.00115436602929688	0.855132140584706	0.909715043175219	csCAF	KCNAB2	0	ESTROGEN RESPONSE EARLY	KCN-high	FALSE
HALLMARK_DNA_REPAIR	4	0.0466742002753586	0.0462282316689606	-0.000445968606398056	-0.000102979972955532	0.855132140584706	0.909715043175219	csCAF	KCNAB2	0	DNA REPAIR	KCN-low	FALSE
HALLMARK_KRAS_SIGNALING_UP	4	0.0449192524348159	0.0452903668666359	0.00037111443181998	0.000353498284408366	0.855132140584706	0.909715043175219	csCAF	KCNAB2	0	KRAS SIGNALING UP	KCN-high	FALSE
HALLMARK_HEDGEHOG_SIGNALING	4	0.033607688158481	0.0368667463703565	0.00325905821187552	-0.000310556160119151	1	1	csCAF	KCNAB2	0	HEDGEHOG SIGNALING	KCN-high	FALSE
HALLMARK_ANGIOGENESIS	4	0.168530861884401	0.171043864378702	0.00251300249430093	-0.000298199687296302	1	1	csCAF	KCNAB2	0	ANGIOGENESIS	KCN-high	FALSE
HALLMARK_MTORC1_SIGNALING	4	0.0738750785777004	0.0743281456698969	0.000453067092196544	-0.00076918545694489	1	1	csCAF	KCNAB2	0	MTORC1 SIGNALING	KCN-high	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	5	0.123420996013888	0.135711823647295	0.012290827633407	0.013297364488427	0.0590582290905367	0.660283932511731	csCAF	KCNC4	0	OXIDATIVE PHOSPHORYLATION	KCN-high	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	5	0.080645122886823	0.088490606717479	0.00784548383065595	0.00929230177262243	0.0590582290905367	0.660283932511731	csCAF	KCNC4	0	UNFOLDED PROTEIN RESPONSE	KCN-high	FALSE
HALLMARK_MYC_TARGETS_V1	5	0.1149252953726	0.122279950573292	0.00735465520069267	0.0074749235039426	0.105645429201877	0.660283932511731	csCAF	KCNC4	0	MYC TARGETS V1	KCN-high	FALSE
HALLMARK_FATTY_ACID_METABOLISM	5	0.0575343936377584	0.0639751320047692	0.00644073836701081	0.00641671713443984	0.0590582290905367	0.660283932511731	csCAF	KCNC4	0	FATTY ACID METABOLISM	KCN-high	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	5	0.0541094117108128	0.0591567072287411	0.00504729551792837	0.00657675004426417	0.105645429201877	0.660283932511731	csCAF	KCNC4	0	PI3K AKT MTOR SIGNALING	KCN-high	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	5	0.0215572073688099	0.017481884057971	-0.00407532331083892	-0.00347118577868548	0.105645429201877	0.660283932511731	csCAF	KCNC4	0	WNT BETA CATENIN SIGNALING	KCN-low	FALSE
HALLMARK_BILE_ACID_METABOLISM	5	0.02482814758589	0.0270059366366896	0.00217778905079957	0.00251524015881489	0.105645429201877	0.660283932511731	csCAF	KCNC4	0	BILE ACID METABOLISM	KCN-high	FALSE
HALLMARK_ALLOGRAFT_REJECTION	5	0.0451495342431605	0.0431266423486914	-0.00202289189446909	-0.00145130792746196	0.0590582290905367	0.660283932511731	csCAF	KCNC4	0	ALLOGRAFT REJECTION	KCN-low	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	5	0.126283424806721	0.137361551416683	0.0110781266099626	0.00496274008877123	0.41849223344682	0.747307559726464	csCAF	KCNC4	0	REACTIVE OXYGEN SPECIES PATHWAY	KCN-high	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	5	0.194216450822	0.201684289270116	0.00746783844811533	0.00660735444166927	0.41849223344682	0.747307559726464	csCAF	KCNC4	0	EPITHELIAL MESENCHYMAL TRANSITION	KCN-high	FALSE
HALLMARK_ANDROGEN_RESPONSE	5	0.0761651280845971	0.0829626288659794	0.0067975007813823	0.00114894274799814	0.280712665268496	0.747307559726464	csCAF	KCNC4	0	ANDROGEN RESPONSE	KCN-high	FALSE
HALLMARK_ANGIOGENESIS	5	0.137610155726806	0.143659274540141	0.0060491188133345	0.00843129015210844	0.41849223344682	0.747307559726464	csCAF	KCNC4	0	ANGIOGENESIS	KCN-high	FALSE
HALLMARK_PANCREAS_BETA_CELLS	5	0.0584149233588922	0.063821873743466	0.00540695038457386	0.0026819664018343	0.280712665268496	0.747307559726464	csCAF	KCNC4	0	PANCREAS BETA CELLS	KCN-high	FALSE
HALLMARK_NOTCH_SIGNALING	5	0.0420636610446768	0.0369239864864865	-0.00513967455819031	-0.00483483483483484	0.41849223344682	0.747307559726464	csCAF	KCNC4	0	NOTCH SIGNALING	KCN-low	FALSE
HALLMARK_HEDGEHOG_SIGNALING	5	0.0286214979329463	0.0243924703455389	-0.00422902758740739	-0.00562804423815254	0.177529852412153	0.747307559726464	csCAF	KCNC4	0	HEDGEHOG SIGNALING	KCN-low	FALSE
HALLMARK_COAGULATION	5	0.124620716699688	0.128301948848854	0.00368123214916563	0.0106137355754458	0.41849223344682	0.747307559726464	csCAF	KCNC4	0	COAGULATION	KCN-high	FALSE
HALLMARK_APICAL_SURFACE	5	0.0533265579493019	0.0496646341463415	-0.00366192380296048	-0.00749516618473384	0.41849223344682	0.747307559726464	csCAF	KCNC4	0	APICAL SURFACE	KCN-low	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	5	0.0993874433560139	0.0958455002082032	-0.00354194314781066	-0.00072881788363148	0.41849223344682	0.747307559726464	csCAF	KCNC4	0	INTERFERON ALPHA RESPONSE	KCN-low	FALSE
HALLMARK_GLYCOLYSIS	5	0.0570654704748508	0.060603951107425	0.00353848063257414	0.00385247703345162	0.280712665268496	0.747307559726464	csCAF	KCNC4	0	GLYCOLYSIS	KCN-high	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	5	0.0402903027298214	0.0368004850374605	-0.00348981769236092	-0.00598750743781453	0.280712665268496	0.747307559726464	csCAF	KCNC4	0	IL6 JAK STAT3 SIGNALING	KCN-low	FALSE
