CellType2	KCN	pathway	pathway_label	padj_BH	delta_high_minus_low	n_deg_methods	example_label
qPSC	KCNC4	HALLMARK_MYOGENESIS	MYOGENESIS	0.0135307426281268	0.00504865641962227	2	qPSC | KCNC4 | MYOGENESIS
qPSC	KCNE4	HALLMARK_OXIDATIVE_PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	0.000155435518070913	0.0132433677093684	3	qPSC | KCNE4 | OXIDATIVE PHOSPHORYLATION
qPSC	KCNJ8	HALLMARK_ANGIOGENESIS	ANGIOGENESIS	1.68398961421042e-05	0.0179442866353448	3	qPSC | KCNJ8 | ANGIOGENESIS
qPSC	KCNK17	HALLMARK_OXIDATIVE_PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	2.18242169446309e-05	0.01690271054078	3	qPSC | KCNK17 | OXIDATIVE PHOSPHORYLATION
qPSC	KCNK6	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EPITHELIAL MESENCHYMAL TRANSITION	0.00103287534562734	0.014648019286802	3	qPSC | KCNK6 | EPITHELIAL MESENCHYMAL TRANSITION
qPSC	KCNMB1	HALLMARK_MYOGENESIS	MYOGENESIS	0.00182512024348181	0.0081718520130865	0	qPSC | KCNMB1 | MYOGENESIS
qPSC	KCNS3	HALLMARK_OXIDATIVE_PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	0.000248356414182526	0.0175052323759046	2	qPSC | KCNS3 | OXIDATIVE PHOSPHORYLATION
smPSC	KCNA5	HALLMARK_MYOGENESIS	MYOGENESIS	9.25868488000484e-05	0.00780020064947602	3	smPSC | KCNA5 | MYOGENESIS
smPSC	KCNAB1	HALLMARK_MYOGENESIS	MYOGENESIS	0.000123767446669445	0.00734884414026779	3	smPSC | KCNAB1 | MYOGENESIS
smPSC	KCNC4	HALLMARK_NOTCH_SIGNALING	NOTCH SIGNALING	0.00373480805522403	0.0116615637512956	3	smPSC | KCNC4 | NOTCH SIGNALING
smPSC	KCNE4	HALLMARK_OXIDATIVE_PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	4.21229997330819e-05	0.0127965876740301	0	smPSC | KCNE4 | OXIDATIVE PHOSPHORYLATION
smPSC	KCNJ8	HALLMARK_MYC_TARGETS_V1	MYC TARGETS V1	0.000625651301832118	0.0138373978961027	0	smPSC | KCNJ8 | MYC TARGETS V1
smPSC	KCNK17	HALLMARK_MYC_TARGETS_V1	MYC TARGETS V1	0.000344018453509335	0.0107140721459626	2	smPSC | KCNK17 | MYC TARGETS V1
smPSC	KCNK3	HALLMARK_KRAS_SIGNALING_UP	KRAS SIGNALING UP	0.0192353797017965	-0.00251911543059375	2	smPSC | KCNK3 | KRAS SIGNALING UP
smPSC	KCNMA1	HALLMARK_MYOGENESIS	MYOGENESIS	0.0292954092525673	0.00916997158058759	3	smPSC | KCNMA1 | MYOGENESIS
smPSC	KCNMB1	HALLMARK_MYOGENESIS	MYOGENESIS	1.78066134004493e-05	0.0100831331865546	3	smPSC | KCNMB1 | MYOGENESIS
smPSC	KCNS3	HALLMARK_OXIDATIVE_PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	0.00162086445102108	0.0121559806766436	2	smPSC | KCNS3 | OXIDATIVE PHOSPHORYLATION
