metadata_column
Moffitt.F7_Immune.top250
Moffitt.F7_Immune.top100
Moffitt.F8_Classical.top25
Moffitt.F8_Classical.top250
Moffitt.F8_Classical.top100
Moffitt.F9_Lung.top25
Moffitt.F9_Lung.top250
Moffitt.F9_Lung.top100
Moffitt.F10.top25
Moffitt.F10.top250
Moffitt.F10.top100
Moffitt.F11_Muscle.top25
Moffitt.F11_Muscle.top250
Moffitt.F11_Muscle.top100
Moffitt.F12_Endocrine.top25
Moffitt.F12_Endocrine.top250
Moffitt.F12_Endocrine.top100
Moffitt.F13_NormalStroma.top25
Moffitt.F13_NormalStroma.top250
Moffitt.F13_NormalStroma.top100
Moffitt.F14.top25
Moffitt.F14.top250
Moffitt.F14.top100
CIBERSORT.B.cells.naive
CIBERSORT.B.cells.memory
CIBERSORT.Plasma.cells
CIBERSORT.T.cells.CD8
CIBERSORT.T.cells.CD4.naive
CIBERSORT.T.cells.CD4.memory.resting
CIBERSORT.T.cells.CD4.memory.activated
CIBERSORT.T.cells.follicular.helper
CIBERSORT.T.cells.regulatory..Tregs.
CIBERSORT.T.cells.gamma.delta
CIBERSORT.NK.cells.resting
CIBERSORT.NK.cells.activated
CIBERSORT.Monocytes
CIBERSORT.Macrophages.M0
CIBERSORT.Macrophages.M1
CIBERSORT.Macrophages.M2
CIBERSORT.Dendritic.cells.resting
CIBERSORT.Dendritic.cells.activated
CIBERSORT.Mast.cells.resting
CIBERSORT.Mast.cells.activated
CIBERSORT.Eosinophils
CIBERSORT.Neutrophils
NFkb_Up
NFkb_Down
IFNG_Production
IFNG_Secretion
TGFB.GO1903846
TGFB.Production
epithelial
mesenchymal
Puram_G2_M
Puram_G1_S
Puram_hypoxia
Puram_epi.diff
Puram_stress
Puram_CAF1
Puram_CAF2
Puram_Myofibroblast
Puram_T.reg
Puram_CD4.Tcell
Puram_CD8.Tcell
Puram_CD6.Texhaust
ADM
MT
ribosomal
Glycolytic
Bernard_Lymphocyte
Bernard_PMN.MDSC
Bernard_Dendritic
Bernard_Cytotoxic.T
Bernard_Myofibroblast
Bernard_i_Myofibroblast
Bernard_Endothelial
GEM_sensitive
OXA_sensitive
FiveFU_sensitive
PAC_sensitive
GEM_resistant
OXA_resistant
FiveFU_resistant
PAC_resistant
Tuveson_Classical1
Tuveson_LipidProcessing
Tuveson_Secretory
Tuveson_Classical2
Newzillet.CAF_A
Newzillet.CAF_B
Newzillet.CAF_C
Newzillet.CAF_D
Tuveson_iCAF
Tuveson_myCAF
Tuveson_panCAF
Tuveson_apCAF
PDGFRA
PDGFRB
PDPN
qPSC
aPSC
CD16.Pos.Monocyte
CD16.Neg.Monocyte
Hosein_Mac2.1
Hosein_Mac2.2
Hosein_Mac3.1
Hosein_Mac3.2
Hosein_Mac3.3
pulm.fibrosis.mac
phagocytosis
Zhu_Embryonic
Tuveson_ResidentMac
Tuveson_ClassicalMonocyte
Tuveson_LangerhansDC_A
Tuveson_AlternativeMac
Tuveson_ConventionalDC
Tuveson_LangerhansDC_B
Villani_DC5
Villani_DC2
Villani_DC3
Villani_DC1
Villani_DC4
Villani_DC6
Villani_mono3
Villani_mono4
Villani_pan.mono
Villani_CD1C.DC
Villani_DC3.mono1.CD14
Villani_DC4.mono2.CD16
nmf1
nmf4
subtype1
subtype2
subtype1.25
subtype1.50
subtype1.150
subtype2.25
subtype2.50
subtype2.150
subtype1.100
subtype2.100
Notta.BasalA
Notta.BasalB
Notta.ClassicalA
Notta.ClassicalB
Qadir_StressProgen
Qadir_MigrateProgen
Qadir_SmallDucts
Qadir_Centroacinar
Qadir_AcinarTrans1
Qadir_AcinarTrans2
acinar
ductal
Montada.Hypoxic
Montada.Centroacinar
Montada.apDuctal
Montada.tDuct
Califano_Lineage
Califano_Morpho
Grunwald_Desert
Grunwald_Reactive
Chen_csCAF
Chen_cCAF
Wang_meCAF
Wang_myCAF
Wang_apCAF
Wang_iCAF
Wang_StellateCAF1
Wang_StellateCAF2
Chen_ExhaustT
Chen_NaiveT
Chen_EffectorT
Chen_RegT
MS
StromaScore
StromaState
