Patient	Dataset	CellType2	n_cells	fraction
peng_T17	Peng	IL11.CAF	1	0.00302114803625378
peng_T17	Peng	Schwann	2	0.00604229607250755
peng_T18	Peng	qPSC	445	0.420604914933837
peng_T18	Peng	smPSC	204	0.192816635160681
peng_T18	Peng	myCAF	185	0.174858223062382
peng_T18	Peng	csCAF	199	0.188090737240076
peng_T18	Peng	iCAF	15	0.0141776937618147
peng_T18	Peng	Myocyte	8	0.00756143667296786
peng_T18	Peng	Schwann	2	0.00189035916824197
peng_T19	Peng	qPSC	673	0.388792605430387
peng_T19	Peng	smPSC	616	0.355863662622761
peng_T19	Peng	myCAF	150	0.0866551126516465
peng_T19	Peng	csCAF	249	0.143847487001733
peng_T19	Peng	iCAF	18	0.0103986135181976
peng_T19	Peng	Myocyte	13	0.00751010976314269
peng_T19	Peng	Schwann	12	0.00693240901213172
peng_T2	Peng	qPSC	30	0.344827586206897
peng_T2	Peng	smPSC	20	0.229885057471264
peng_T2	Peng	myCAF	16	0.183908045977011
peng_T2	Peng	csCAF	21	0.241379310344828
peng_T20	Peng	qPSC	68	0.450331125827815
peng_T20	Peng	smPSC	63	0.417218543046358
peng_T20	Peng	myCAF	10	0.0662251655629139
peng_T20	Peng	csCAF	10	0.0662251655629139
peng_T21	Peng	qPSC	20	0.212765957446809
peng_T21	Peng	smPSC	20	0.212765957446809
peng_T21	Peng	myCAF	51	0.542553191489362
peng_T21	Peng	csCAF	2	0.0212765957446809
peng_T21	Peng	Schwann	1	0.0106382978723404
peng_T22	Peng	qPSC	52	0.353741496598639
peng_T22	Peng	smPSC	57	0.387755102040816
peng_T22	Peng	myCAF	18	0.122448979591837
peng_T22	Peng	csCAF	17	0.115646258503401
peng_T22	Peng	Myocyte	2	0.0136054421768707
peng_T22	Peng	Schwann	1	0.00680272108843537
peng_T23	Peng	qPSC	237	0.174649963154016
peng_T23	Peng	smPSC	251	0.184966838614591
peng_T23	Peng	myCAF	493	0.363301400147384
peng_T23	Peng	csCAF	348	0.256448047162859
peng_T23	Peng	iCAF	9	0.00663227708179808
peng_T23	Peng	Myocyte	10	0.00736919675755343
peng_T23	Peng	Schwann	9	0.00663227708179808
peng_T24	Peng	qPSC	415	0.295373665480427
peng_T24	Peng	smPSC	435	0.309608540925267
peng_T24	Peng	myCAF	247	0.175800711743772
peng_T24	Peng	csCAF	278	0.197864768683274
peng_T24	Peng	iCAF	9	0.00640569395017794
peng_T24	Peng	Myocyte	10	0.00711743772241993
peng_T24	Peng	Schwann	11	0.00782918149466192
peng_T3	Peng	qPSC	160	0.349344978165939
peng_T3	Peng	smPSC	174	0.379912663755459
peng_T3	Peng	myCAF	44	0.0960698689956332
peng_T3	Peng	csCAF	77	0.168122270742358
peng_T3	Peng	iCAF	3	0.00655021834061135
peng_T4	Peng	qPSC	67	0.297777777777778
peng_T4	Peng	smPSC	88	0.391111111111111
peng_T4	Peng	myCAF	38	0.168888888888889
peng_T4	Peng	csCAF	27	0.12
