target_gene	partner_gene	n_sections_tested	n_sections_positive_z	median_local_corr_z	max_local_corr_z	min_local_corr_z
C1R	SEMA6A	1	1	0.7084512260230393	0.7084512260230393	0.7084512260230393
C1R	RBPMS	1	1	0.7014609984275549	0.7014609984275549	0.7014609984275549
C1R	PEG10	2	1	0.6996106816999377	1.7578502130867442	-0.3586288496868688
C1R	ETNK1	1	1	0.6950548612136213	0.6950548612136213	0.6950548612136213
C1R	PGM5	1	1	0.6867516557142043	0.6867516557142043	0.6867516557142043
C1R	FCGR3A	1	1	0.68295860680659	0.68295860680659	0.68295860680659
C1R	PTPRN2	1	1	0.6707637285277857	0.6707637285277857	0.6707637285277857
C1R	BACE2	1	1	0.6526692765221656	0.6526692765221656	0.6526692765221656
C1R	SCRG1	2	1	0.6469392419158371	2.254437105084353	-0.9605586212526789
C1R	IL33	2	1	0.6398636618456363	1.9725895010554693	-0.6928621773641968
C1R	ZNF275	1	1	0.6291747089796516	0.6291747089796516	0.6291747089796516
C1R	FCER1G	2	1	0.6225148009304635	3.8586972095233447	-2.6136676076624177
C1R	DTNA	1	1	0.620197676715911	0.620197676715911	0.620197676715911
C1R	NAP1L5	1	1	0.6115195340541666	0.6115195340541666	0.6115195340541666
C1R	KRT2	1	1	0.5840397853244853	0.5840397853244853	0.5840397853244853
C1R	CCL8	1	1	0.5725162394206769	0.5725162394206769	0.5725162394206769
C1R	CDHR1	1	1	0.5636360685309921	0.5636360685309921	0.5636360685309921
C1R	THEM5	1	1	0.5445157987667627	0.5445157987667627	0.5445157987667627
C1R	TM4SF5	1	1	0.5434812544230743	0.5434812544230743	0.5434812544230743
C1R	SMIM3	1	1	0.517457064635224	0.517457064635224	0.517457064635224
C1R	CACNB2	1	1	0.5158590350619092	0.5158590350619092	0.5158590350619092
C1R	FLG	1	1	0.5039000883212474	0.5039000883212474	0.5039000883212474
C1R	CPA6	1	1	0.49455714366937165	0.49455714366937165	0.49455714366937165
C1R	MICAL2	1	1	0.4758636887730761	0.4758636887730761	0.4758636887730761
C1R	CEBPA	1	1	0.4748263420610284	0.4748263420610284	0.4748263420610284
C1R	PPP1R12B	2	1	0.47250197179967657	3.2471133497123876	-2.3021094061130345
C1R	LENG8	1	1	0.4721304751121525	0.4721304751121525	0.4721304751121525
C1R	SLC22A3	1	1	0.4598945830708137	0.4598945830708137	0.4598945830708137
C1R	FDX1	1	1	0.4568423935870029	0.4568423935870029	0.4568423935870029
C1R	ANAPC16	1	1	0.45133996002056537	0.45133996002056537	0.45133996002056537
C1R	CRLF1	1	1	0.44297442737248643	0.44297442737248643	0.44297442737248643
C1R	SLC1A5	1	1	0.4424226460569203	0.4424226460569203	0.4424226460569203
C1R	CAPN6	1	1	0.43485437374335334	0.43485437374335334	0.43485437374335334
C1R	MOB4	1	1	0.4330175932494312	0.4330175932494312	0.4330175932494312
C1R	TNFRSF11B	1	1	0.4298288320803425	0.4298288320803425	0.4298288320803425
C1R	CD9	1	1	0.42092903897592876	0.42092903897592876	0.42092903897592876
C1R	PRKAR2B	1	1	0.4159423182996027	0.4159423182996027	0.4159423182996027
C1R	FAM49B	1	1	0.4056254183268498	0.4056254183268498	0.4056254183268498
C1R	FGA	2	1	0.40142913489760046	3.258769373506604	-2.455911103711403
C1R	MIA	2	1	0.4012512647565344	1.5229124000999432	-0.7204098705868744
C1R	CDC123	1	1	0.3931958877132699	0.3931958877132699	0.3931958877132699
C1R	ANPEP	1	1	0.3930443118649844	0.3930443118649844	0.3930443118649844
C1R	CDH2	1	1	0.3905101719705572	0.3905101719705572	0.3905101719705572
C1R	MUCL1	1	1	0.38882565444175154	0.38882565444175154	0.38882565444175154
C1R	CABP7	1	1	0.3873478392144421	0.3873478392144421	0.3873478392144421
C1R	SMG1	1	1	0.3736909174901443	0.3736909174901443	0.3736909174901443
C1R	SPINK4	1	1	0.3685570199030595	0.3685570199030595	0.3685570199030595
C1R	PRUNE2	2	1	0.3512144763313544	1.873707226070292	-1.1712782734075833
C1R	FUT9	1	1	0.3489482461958225	0.3489482461958225	0.3489482461958225
