gene	odds_ratio__CC1_CC5	odds_ratio__CC2_CC3	fisher_p__CC1_CC5	fisher_p__CC2_CC3	fisher_fdr_within_niche__CC1_CC5	fisher_fdr_within_niche__CC2_CC3	enrichment_ratio__CC1_CC5	enrichment_ratio__CC2_CC3	pct_inside_positive__CC1_CC5	pct_inside_positive__CC2_CC3	pct_outside_positive__CC1_CC5	pct_outside_positive__CC2_CC3	favored_niche
KCNQ4	0.579561398210022	2.23565095802783	1.13062547183053e-14	3.07696726946967e-29	2.08730856337944e-14	8.20524605191913e-29	0.719599489651749	1.70569922022421	1.82243877744732	4.31980906921241	3.10353599592979	1.97946672575523	CC2_CC3
KCNMB4	1.39161695603706	0.68308807220362	5.98437334422998e-14	5.40925391921041e-12	1.02589257329657e-13	1.08185078384208e-11	1.1732165243326	0.751543202199986	7.30241093463266	4.67780429594272	5.3574154159247	6.70285840904055	CC1_CC5
KCNS3	1.25643996928508	0.97607299169348	2.88057896572831e-13	0.520615862571795	4.6089263451653e-13	0.520615862571795	1.11029524690329	0.984056555251828	14.8642662785547	13.1742243436754	12.2004578987535	13.4537262722505	CC1_CC5
KCNAB1	2.09503235419161	0.42781888365808	3.01286514004834e-12	6.68699506781556e-09	4.51929771007251e-12	1.14634201162553e-08	1.40384432523304	0.497795872525621	1.48073150667595	0.525059665871122	0.712286949885525	1.21870152891646	CC1_CC5
KCNN3	1.49191930883852	0.645947226520818	3.71535583356488e-09	5.05863470200545e-07	5.24520823562101e-09	7.14160193224299e-07	1.2179650489477	0.710701893644755	3.08802126178574	1.80190930787589	2.09107097430679	2.76239013221065	CC1_CC5
KCNK17	1.34427162899577	0.508565695255986	6.39285574794309e-05	8.54464922293763e-12	8.52380766392412e-05	1.57747370269618e-11	1.16188965006811	0.581309843213539	2.4805416693033	1.24105011933174	1.85703383363012	2.41155181328015	CC1_CC5
KCNT2	1.57588611876698	0.618353687090654	0.000252959017077542	0.00297506467500366	0.000319527179466369	0.00310441531304729	1.25213081193278	0.681439668195186	0.94285895083212	0.513126491646778	0.600356143474943	0.827239825688751	CC1_CC5
KCNK15	0.616102135901405	1.8979168791056	0.000359141518821455	3.2915095404876e-06	0.000430969822585746	4.3886793873168e-06	0.744851828299877	1.56071246918894	0.512560906157059	1.07398568019093	0.829305520223862	0.568727380161016	CC2_CC3
KCNK6	0.916267724544859	1.51885175789423	0.00909459903288888	1.2446862673151e-29	0.0103938274661587	3.7340588019453e-29	0.957362654093162	1.3041221028362	11.2130608112384	15.2744630071599	12.1139659119817	10.6100893714455	CC2_CC3
KCNA5	1.36157539309243	0.357644850025654	0.042231362001624	3.73322978618083e-06	0.0460705767290443	4.71565867728105e-06	1.1717367307192	0.423126491646778	0.594823767639056	0.214797136038186	0.437547697786823	0.5982716596499	CC1_CC5
KCNB1	1.19201503825363	0.479597749940634	0.306123596021508	0.00251049791651441	0.319433317587661	0.00273872499983391	1.09766245094161	0.54793358630518	0.430298044675062	0.214797136038186	0.361231238870516	0.44685722726937	CC1_CC5
KCNJ15	1.01255611987863	1.28328818593601	0.762224830273037	4.25322702785174e-08	0.762224830273037	6.80516324456279e-08	1.00639453068959	1.18557181234363	7.63779029298234	8.99761336515513	7.55024166878657	7.15340867124603	CC2_CC3
