orig.ident	CompositionCluster_CC	n_spots	frac_spots
IU_PDA_HM6	CC4	32	0.0192076830732293
IU_PDA_HM6	CC5	6	0.00360144057623049
IU_PDA_HM6	CC6	87	0.0522208883553421
IU_PDA_HM6	CC8	84	0.0504201680672269
IU_PDA_HM6	CC9	5	0.00300120048019208
IU_PDA_HM8	CC1	3174	0.787202380952381
IU_PDA_HM8	CC12	19	0.00471230158730159
IU_PDA_HM8	CC15	11	0.0027281746031746
IU_PDA_HM8	CC16	1	0.000248015873015873
IU_PDA_HM8	CC17	305	0.0756448412698413
IU_PDA_HM8	CC3	522	0.129464285714286
IU_PDA_HM9	CC1	73	0.0382599580712788
IU_PDA_HM9	CC10	971	0.508909853249476
IU_PDA_HM9	CC13	7	0.00366876310272537
IU_PDA_HM9	CC16	2	0.0010482180293501
IU_PDA_HM9	CC18	3	0.00157232704402516
IU_PDA_HM9	CC2	1	0.000524109014675052
IU_PDA_HM9	CC3	161	0.0843815513626834
IU_PDA_HM9	CC4	199	0.104297693920335
IU_PDA_HM9	CC5	5	0.00262054507337526
IU_PDA_HM9	CC7	5	0.00262054507337526
IU_PDA_HM9	CC9	481	0.2520964360587
IU_PDA_LNM10	CC10	18	0.00434048709910779
IU_PDA_LNM10	CC11	58	0.013986013986014
IU_PDA_LNM10	CC12	1150	0.277308897998553
IU_PDA_LNM10	CC14	175	0.0421991801302146
IU_PDA_LNM10	CC15	2017	0.486375693272245
IU_PDA_LNM10	CC16	339	0.08174584036653
IU_PDA_LNM10	CC4	144	0.0347238967928623
IU_PDA_LNM10	CC5	57	0.0137448758138413
IU_PDA_LNM10	CC6	52	0.0125391849529781
IU_PDA_LNM10	CC7	1	0.000241138172172655
IU_PDA_LNM10	CC8	136	0.0327947914154811
IU_PDA_LNM12	CC12	15	0.00466853408029879
IU_PDA_LNM12	CC13	1243	0.386865857454093
IU_PDA_LNM12	CC16	66	0.0205415499533147
IU_PDA_LNM12	CC18	501	0.155929038281979
IU_PDA_LNM12	CC4	1	0.000311235605353252
IU_PDA_LNM12	CC6	1171	0.364456893868659
IU_PDA_LNM12	CC7	104	0.0323685029567383
IU_PDA_LNM12	CC9	112	0.0348583877995643
IU_PDA_LNM6	CC11	20	0.00534045393858478
IU_PDA_LNM6	CC12	1175	0.313751668891856
IU_PDA_LNM6	CC13	484	0.129238985313752
IU_PDA_LNM6	CC14	231	0.0616822429906542
IU_PDA_LNM6	CC15	687	0.183444592790387
IU_PDA_LNM6	CC16	277	0.0739652870493992
IU_PDA_LNM6	CC18	42	0.011214953271028
IU_PDA_LNM6	CC4	21	0.00560747663551402
IU_PDA_LNM6	CC6	436	0.116421895861148
IU_PDA_LNM6	CC7	278	0.0742323097463284
IU_PDA_LNM6	CC8	84	0.0224299065420561
IU_PDA_LNM6	CC9	10	0.00267022696929239
IU_PDA_LNM7	CC10	1	0.000313873195229127
IU_PDA_LNM7	CC12	21	0.00659133709981168
IU_PDA_LNM7	CC13	1642	0.515379786566227
IU_PDA_LNM7	CC15	20	0.00627746390458255
IU_PDA_LNM7	CC16	57	0.0178907721280603
IU_PDA_LNM7	CC18	590	0.185185185185185
IU_PDA_LNM7	CC4	69	0.0216572504708098
IU_PDA_LNM7	CC6	284	0.0891399874450722
IU_PDA_LNM7	CC7	304	0.0954174513496547
IU_PDA_LNM7	CC8	11	0.0034526051475204
IU_PDA_LNM7	CC9	187	0.0586942875078468
IU_PDA_LNM8	CC10	14	0.00410918696800704
IU_PDA_LNM8	CC11	1	0.000293513354857646
IU_PDA_LNM8	CC12	582	0.17082477252715
IU_PDA_LNM8	CC13	210	0.0616378045201057
IU_PDA_LNM8	CC14	2	0.000587026709715292
IU_PDA_LNM8	CC15	835	0.245083651306134
IU_PDA_LNM8	CC16	474	0.139125330202524
IU_PDA_LNM8	CC18	20	0.00587026709715292
IU_PDA_LNM8	CC4	3	0.000880540064572938
IU_PDA_LNM8	CC6	360	0.105664807748753
IU_PDA_LNM8	CC7	882	0.258878778984444
IU_PDA_LNM8	CC8	12	0.00352216025829175
IU_PDA_LNM8	CC9	12	0.00352216025829175
IU_PDA_NP10	CC12	6	0.00202292650033715
IU_PDA_NP10	CC13	1	0.000337154416722859
IU_PDA_NP10	CC15	26	0.00876601483479434
IU_PDA_NP10	CC16	39	0.0131490222521915
IU_PDA_NP10	CC2	2875	0.96931894807822
IU_PDA_NP10	CC6	4	0.00134861766689144
IU_PDA_NP10	CC9	15	0.00505731625084289
IU_PDA_NP11	CC12	6	0.00155480694480435
IU_PDA_NP11	CC15	6	0.00155480694480435
IU_PDA_NP11	CC16	9	0.00233221041720653
IU_PDA_NP11	CC2	3828	0.991966830785178
IU_PDA_NP11	CC9	10	0.00259134490800726
IU_PDA_NP2	CC15	1	0.000333889816360601
IU_PDA_NP2	CC16	4	0.0013355592654424
IU_PDA_NP2	CC2	2990	0.998330550918197
IU_PDA_T1	CC10	12	0.00339943342776204
IU_PDA_T1	CC11	491	0.139093484419263
IU_PDA_T1	CC12	27	0.00764872521246459
IU_PDA_T1	CC13	1	0.00028328611898017
IU_PDA_T1	CC14	109	0.0308781869688385
IU_PDA_T1	CC15	10	0.0028328611898017
IU_PDA_T1	CC16	16	0.00453257790368272
IU_PDA_T1	CC4	624	0.176770538243626
IU_PDA_T1	CC5	1927	0.545892351274788
IU_PDA_T1	CC6	13	0.00368271954674221
IU_PDA_T1	CC7	2	0.00056657223796034
IU_PDA_T1	CC8	202	0.0572237960339943
IU_PDA_T1	CC9	96	0.0271954674220963
IU_PDA_T10	CC10	10	0.00368459837877671
IU_PDA_T10	CC11	232	0.0854826823876197
IU_PDA_T10	CC12	466	0.171702284450995
IU_PDA_T10	CC13	11	0.00405305821665438
IU_PDA_T10	CC14	108	0.0397936624907885
IU_PDA_T10	CC15	345	0.127118644067797
IU_PDA_T10	CC16	556	0.204863669859985
IU_PDA_T10	CC4	170	0.0626381724392041
IU_PDA_T10	CC5	42	0.0154753131908622
IU_PDA_T10	CC6	406	0.149594694178335
IU_PDA_T10	CC7	12	0.00442151805453206
IU_PDA_T10	CC8	330	0.121591746499632
IU_PDA_T10	CC9	26	0.00957995578481946
IU_PDA_T11	CC10	7	0.00252070579762333
IU_PDA_T11	CC11	712	0.256391789701116
IU_PDA_T11	CC12	112	0.0403312927619734
IU_PDA_T11	CC14	427	0.153763053655023
IU_PDA_T11	CC15	73	0.0262873604609291
IU_PDA_T11	CC16	2	0.00072020165646381
IU_PDA_T11	CC4	69	0.0248469571480014
IU_PDA_T11	CC5	558	0.200936262153403
IU_PDA_T11	CC8	817	0.294202376665466
IU_PDA_T12	CC10	28	0.00768808347062054
IU_PDA_T12	CC11	964	0.264689730917079
IU_PDA_T12	CC12	136	0.0373421197144426
IU_PDA_T12	CC14	215	0.0590334980779791
IU_PDA_T12	CC15	54	0.014827018121911
IU_PDA_T12	CC16	2	0.000549148819330038
IU_PDA_T12	CC4	562	0.154310818231741
IU_PDA_T12	CC5	1214	0.333333333333333
IU_PDA_T12	CC6	3	0.000823723228995058
IU_PDA_T12	CC8	347	0.0952773201537617
IU_PDA_T12	CC9	117	0.0321252059308072
IU_PDA_T2	CC10	15	0.00364254492472074
IU_PDA_T2	CC11	180	0.0437105390966489
IU_PDA_T2	CC12	284	0.0689655172413793
IU_PDA_T2	CC13	2	0.000485672656629432
IU_PDA_T2	CC14	1668	0.405050995628946
IU_PDA_T2	CC15	135	0.0327829043224866
IU_PDA_T2	CC16	76	0.0184555609519184
IU_PDA_T2	CC2	1	0.000242836328314716
IU_PDA_T2	CC4	136	0.0330257406508014
IU_PDA_T2	CC5	7	0.00169985429820301
IU_PDA_T2	CC6	39	0.00947061680427392
IU_PDA_T2	CC8	1512	0.36716852841185
IU_PDA_T2	CC9	63	0.0152986886838271
IU_PDA_T3	CC10	5	0.00114836931557189
IU_PDA_T3	CC11	720	0.165365181442352
IU_PDA_T3	CC12	176	0.0404225999081305
IU_PDA_T3	CC13	463	0.106338998621957
IU_PDA_T3	CC14	269	0.0617822691777676
IU_PDA_T3	CC15	79	0.0181442351860358
IU_PDA_T3	CC16	35	0.00803858520900321
IU_PDA_T3	CC18	44	0.0101056499770326
IU_PDA_T3	CC4	610	0.14010105649977
IU_PDA_T3	CC5	420	0.0964630225080386
IU_PDA_T3	CC6	28	0.00643086816720257
IU_PDA_T3	CC7	39	0.00895728066146073
IU_PDA_T3	CC8	702	0.161231051906293
IU_PDA_T3	CC9	764	0.175470831419384
IU_PDA_T4	CC10	50	0.0138083402375035
IU_PDA_T4	CC11	236	0.0651753659210163
IU_PDA_T4	CC12	501	0.138359569179785
IU_PDA_T4	CC14	1482	0.409279204639602
IU_PDA_T4	CC15	186	0.0513670256835128
IU_PDA_T4	CC16	175	0.0483291908312621
IU_PDA_T4	CC4	84	0.0231980115990058
IU_PDA_T4	CC5	66	0.0182270091135046
IU_PDA_T4	CC6	13	0.0035901684617509
IU_PDA_T4	CC8	827	0.228389947528307
IU_PDA_T4	CC9	1	0.000276166804750069
IU_PDA_T6	CC11	389	0.114512805416544
IU_PDA_T6	CC12	1175	0.345893435384163
IU_PDA_T6	CC14	1047	0.308213129231675
IU_PDA_T6	CC15	93	0.0273770974389167
IU_PDA_T6	CC16	18	0.00529879305269355
IU_PDA_T6	CC5	73	0.0214895496025905
IU_PDA_T6	CC6	6	0.00176626435089785
IU_PDA_T6	CC8	596	0.17544892552252
IU_PDA_T8	CC10	16	0.0042339243186028
IU_PDA_T8	CC11	57	0.0150833553850225
IU_PDA_T8	CC12	966	0.255623180735644
IU_PDA_T8	CC14	293	0.0775337390844139
IU_PDA_T8	CC15	1144	0.302725588780101
IU_PDA_T8	CC16	689	0.182323365969833
IU_PDA_T8	CC4	30	0.00793860809738026
IU_PDA_T8	CC5	2	0.000529240539825351
IU_PDA_T8	CC6	178	0.0471024080444562
IU_PDA_T8	CC7	9	0.00238158242921408
IU_PDA_T8	CC8	391	0.103466525535856
IU_PDA_T8	CC9	4	0.0010584810796507
IU_PDA_T9	CC10	1	0.000283607487237663
IU_PDA_T9	CC11	1507	0.427396483267158
IU_PDA_T9	CC12	5	0.00141803743618832
IU_PDA_T9	CC13	5	0.00141803743618832
IU_PDA_T9	CC14	48	0.0136131593874078
IU_PDA_T9	CC15	3	0.000850822461712989
IU_PDA_T9	CC16	2	0.000567214974475326
IU_PDA_T9	CC18	1	0.000283607487237663
IU_PDA_T9	CC4	563	0.159671015314804
IU_PDA_T9	CC5	1031	0.292399319342031
IU_PDA_T9	CC8	173	0.0490640952921157
IU_PDA_T9	CC9	187	0.053034600113443
