gene	Origin	first_type	n_spots	n_positive	pct_detected	mean_expression_all_spots	mean_positive_expression	median_positive_expression	mean_positive_expression_plot
KCNE4	Normal Pancreas	Normal Epithelial cells	9707	1221	12.5785515607294	0.157927268981148	1.25552825552826	1	1.25552825552826
KCNE4	Normal Pancreas	Tumor Epithelial cells	3	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	iCAF	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	B cells	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	DCs	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	SPP1-TAM	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	PVL	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	Hepatocytes	108	70	64.8148148148148	1.28703703703704	1.98571428571429	2	1.98571428571429
KCNE4	Normal Pancreas	C1Q-TAM	1	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	CD4+ cells	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	FCN1-TAM	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	CD8-NK cells	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	Proliferative T cells	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNE4	Pancreas	myCAF	21770	2478	11.3826366559486	0.13114377583831	1.15213882163035	1	1.15213882163035
KCNE4	Pancreas	Normal Epithelial cells	3002	268	8.927381745503	0.0982678214523651	1.10074626865672	1	1.10074626865672
KCNE4	Pancreas	Tumor Epithelial cells	8260	349	4.22518159806295	0.0437046004842615	1.03438395415473	1	1.03438395415473
KCNE4	Pancreas	iCAF	1113	134	12.0395327942498	0.138364779874214	1.14925373134328	1	1.14925373134328
KCNE4	Pancreas	B cells	474	15	3.16455696202532	0.0337552742616034	1.06666666666667	1	1.06666666666667
KCNE4	Pancreas	DCs	226	22	9.73451327433628	0.110619469026549	1.13636363636364	1	1.13636363636364
KCNE4	Pancreas	SPP1-TAM	196	7	3.57142857142857	0.0459183673469388	1.28571428571429	1	1.28571428571429
KCNE4	Pancreas	PVL	143	5	3.4965034965035	0.041958041958042	1.2	1	1.2
KCNE4	Pancreas	Hepatocytes	0	0	0	0	NA	NA	0
KCNE4	Pancreas	C1Q-TAM	102	10	9.80392156862745	0.117647058823529	1.2	1	1.2
KCNE4	Pancreas	CD4+ cells	89	1	1.12359550561798	0.0112359550561798	1	1	1
KCNE4	Pancreas	FCN1-TAM	71	7	9.85915492957746	0.112676056338028	1.14285714285714	1	1.14285714285714
KCNE4	Pancreas	CD8-NK cells	7	0	0	0	NA	NA	0
KCNE4	Pancreas	Proliferative T cells	4	0	0	0	NA	NA	0
KCNE4	Pancreas	Endothelial cells	1	1	100	2	2	2	2
KCNJ15	Normal Pancreas	myCAF	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	Normal Epithelial cells	9707	3521	36.2727928299166	0.515710312145874	1.42175518318659	1	1.42175518318659
KCNJ15	Normal Pancreas	Tumor Epithelial cells	3	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	iCAF	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	B cells	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	DCs	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	SPP1-TAM	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	PVL	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	Hepatocytes	108	78	72.2222222222222	1.39814814814815	1.93589743589744	2	1.93589743589744
KCNJ15	Normal Pancreas	C1Q-TAM	1	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	CD4+ cells	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	FCN1-TAM	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	CD8-NK cells	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	Proliferative T cells	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNJ15	Pancreas	myCAF	21770	1688	7.75378961874139	0.0930638493339458	1.20023696682464	1	1.20023696682464
KCNJ15	Pancreas	Normal Epithelial cells	3002	418	13.9240506329114	0.182211858760826	1.30861244019139	1	1.30861244019139
KCNJ15	Pancreas	Tumor Epithelial cells	8260	511	6.1864406779661	0.0809927360774818	1.30919765166341	1	1.30919765166341
KCNJ15	Pancreas	iCAF	1113	40	3.59389038634322	0.0386343216531896	1.075	1	1.075
KCNJ15	Pancreas	B cells	474	9	1.89873417721519	0.0189873417721519	1	1	1
KCNJ15	Pancreas	DCs	226	7	3.09734513274336	0.0309734513274336	1	1	1
KCNJ15	Pancreas	SPP1-TAM	196	13	6.63265306122449	0.076530612244898	1.15384615384615	1	1.15384615384615
KCNJ15	Pancreas	PVL	143	2	1.3986013986014	0.013986013986014	1	1	1
KCNJ15	Pancreas	Hepatocytes	0	0	0	0	NA	NA	0
KCNJ15	Pancreas	C1Q-TAM	102	3	2.94117647058824	0.0294117647058824	1	1	1
KCNJ15	Pancreas	CD4+ cells	89	0	0	0	NA	NA	0
KCNJ15	Pancreas	FCN1-TAM	71	0	0	0	NA	NA	0
