"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_PANCREAS_BETA_CELLS",0.0495490745044455,0.225223065929298,0.321775918075361,0.592427087687088,1.56501912221111,19,"FOXA2;PAX6;GCK"
"HALLMARK_IL2_STAT5_SIGNALING",0.06426735218509,0.267780634104542,0.287857117255149,-0.328265660854456,-1.27409679368817,158,"PENK;SPP1;EMP1;COCH;ITGA6;GUCY1B1;CDCP1;TNFRSF8;F2RL2;IL3RA;FLT3LG;SCN9A;TGM2;LRRC8C;FGL2;NRP1;CCR4;TIAM1;PHLDA1;NT5E;PNP;CSF2;ALCAM;RORA;AHNAK;IFITM3;CD44;CASP3"
"HALLMARK_APICAL_SURFACE",0.0822510822510823,0.316350316350316,0.231126709673834,-0.455140608320189,-1.39439448368036,35,"NTNG1;SHROOM2;GAS1;SULF2;ATP8B1;EFNA5"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.131386861313869,0.364963503649635,0.16440575583821,0.417812905984054,1.28077232002193,47,"LSP1;GPX3;JUNB;GCLM;NQO1;TXNRD1;G6PD;SBNO2;ABCC1;MSRA;STK25;GSR;GPX4;SOD2;PFKP;MGST1;NDUFS2;HHEX;PRDX4"
"HALLMARK_COAGULATION",0.108433734939759,0.364963503649635,0.211400189384923,-0.340199687410549,-1.23510041352228,95,"PLAT;P2RY1;MMP1;CTSO;ITGA2;PLAU;MMP3;F2RL2;TIMP3;PECAM1;SERPING1;CFB;CD9;GSN;TIMP1;CFD;COMP;SH2B2;DPP4;SIRT2;FN1;S100A13;MMP14;RAPGEF3"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.11704834605598,0.364963503649635,0.208955027549354,-0.312441859455138,-1.21785892442761,167,"KRT19;KRT15;ABCA3;SFN;AREG;REEP1;THSD4;CCND1;DHRS2;RHOD;CELSR1;OLFML3;MAST4;AQP3;TGM2;ENDOD1;FKBP5;PODXL;CLDN7;NRIP1;CXCL12;TIAM1;ANXA9;NBL1;TIPARP;TTC39A;ITPK1;CD44;CALB2;FASN;INPP5F;SYBU;MAPT;RBBP8;SLC1A1;FOS;MYB;GAB2;KLF4;MINDY1;SEC14L2;ADD3;KRT18"
"HALLMARK_INFLAMMATORY_RESPONSE",0.126262626262626,0.364963503649635,0.199915231309662,-0.313976917870478,-1.2024203662841,138,"CCL7;HAS2;BDKRB1;PTGIR;RTP4;BST2;CCL5;IFITM1;C3AR1;PDE4B;NLRP3;SLC4A4;ITGB8;EBI3;CXCL6;CCL2;IRF7;EMP3;CALCRL;SEMA4D;LY6E;PLAUR;AXL;TIMP1;ADM"
"HALLMARK_GLYCOLYSIS",0.115869017632242,0.364963503649635,0.208955027549354,-0.30284703778461,-1.19224567345044,175,"CXCR4;CACNA1H;GPC4;ANGPTL4;LHX9;SOX9;STC1;EGFR;ISG20;PKP2;FUT8;PYGL;SLC37A4;GLRX;KDELR3;NT5E;GFPT1;IGFBP3;CD44;SRD5A3;PGLS;GALK1;AKR1A1"
"HALLMARK_KRAS_SIGNALING_DN",0.215851602023609,0.568030531641076,0.119348440591015,0.324035097828109,1.14527348612223,102,"AKR1B10;GPRC5C;SLC6A3;CNTFR;FGFR3;EPHA5;MYOT;EGF;TEX15;THRB;TGFB2;HTR1B;ARHGDIG;KCNMB1;NUDT11;ITIH3;PKP1;PTPRJ;HTR1D;SLC29A3;TENM2;KCND1"
"HALLMARK_TGF_BETA_SIGNALING",0.252707581227437,0.601684717208183,0.11331290842208,0.361366873202702,1.13906073977277,52,"CDH1;PMEPA1;CDKN1C;SMAD6;TGIF1;JUNB;RAB31;SMAD3;HIPK2;TGFBR1;ID3;ARID4B;WWTR1;MAP3K7"
