"gene_symbol","category","mean_CTRL","mean_shBKCa","median_CTRL","median_shBKCa","delta_sh_minus_ctrl","wilcox_p","rank_biserial","log2FoldChange","pvalue","padj","rho_all","rho_pvalue","rho_n","rho_CTRL","rho_CTRL_pvalue","rho_shBKCa","rho_shBKCa_pvalue","wilcox_padj","rho_padj"
"OAS2","ifCAF",8.53036655809089,6.71653909152249,8.5589894151517,6.74063935876341,-1.8138274665684,0.0303828219765775,-1,-1.81979678614604,4.31843875050192e-35,3.63032696086795e-33,0.690476190476191,0.0693948412698413,8,0.2,0.916666666666667,-0.8,0.333333333333333,0.0522071025513022,0.148529309384573
"IRF7","ifCAF",8.55820759873604,7.76155032884268,8.55987117942694,7.73945367885238,-0.796657269893366,0.0303828219765775,-1,-0.790083758177903,1.26786199174184e-14,2.90311212584774e-13,0.690476190476191,0.0693948412698413,8,-0.8,0.333333333333333,0.2,0.916666666666667,0.0522071025513022,0.148529309384573
"IRF9","ifCAF",7.39306963560137,7.04837640979589,7.43733104970704,7.06893524534391,-0.344693225805477,0.0606019697120061,-0.875,-0.348969740764467,0.0145316069512337,0.0402603982777023,0.690476190476191,0.0693948412698413,8,-0.4,0.75,0.2,0.916666666666667,0.0960187052579837,0.148529309384573
"ACTA2","myCAF",12.9698853677801,14.3381254859108,12.9428633764352,14.340950720721,1.36824011813065,0.0303828219765775,1,1.36696021018315,4.72981085549318e-186,8.46919931784608e-183,-0.690476190476191,0.0693948412698413,8,-0.2,0.916666666666667,0.8,0.333333333333333,0.0522071025513022,0.148529309384573
"NUAK1","myCAF",11.6985625661945,12.0677640146428,11.696404462993,12.0881597896549,0.369201448448326,0.0303828219765775,1,0.369789324775852,1.20206699101785e-12,2.22817924856788e-11,-0.690476190476191,0.0693948412698413,8,0.2,0.916666666666667,0.4,0.75,0.0522071025513022,0.148529309384573
"CXCL5","apCAF",3.5218115895992,4.13480163369628,3.63619375577557,4.20296371380484,0.612990044097077,0.193930852282411,0.625,0.701592950167395,0.128931210982448,0.239138415563675,-0.666666666666667,0.0830853174603175,8,-0.4,0.75,-0.4,0.75,0.275111209051792,0.15838138640873
"HMGA1","iCAF",14.0315225331134,13.5136288038144,14.0116045831858,13.5131266916761,-0.517893729299006,0.0303828219765775,-1,-0.52557075300644,2.45044181589791e-14,5.45741432281939e-13,0.666666666666667,0.0830853174603175,8,-0.6,0.416666666666667,-0.2,0.916666666666667,0.0522071025513022,0.15838138640873
"LIF","iCAF",10.286245291194,10.6486315814619,10.2864099808804,10.6685426592676,0.362386290267811,0.0303828219765775,1,0.362339534347962,2.93197575773215e-08,3.00514927979118e-07,-0.666666666666667,0.0830853174603175,8,0.6,0.416666666666667,0.2,0.916666666666667,0.0522071025513022,0.15838138640873
"IFI44","ifCAF",9.62411724263543,8.45920919362569,9.62684446952172,8.41594080074293,-1.16490804900974,0.0303828219765775,-1,-1.16520526428049,1.35373743289855e-38,1.3318693666748e-36,0.666666666666667,0.0830853174603175,8,-0.2,0.916666666666667,-0.6,0.416666666666667,0.0522071025513022,0.15838138640873
"DDX58","ifCAF",9.51201829441029,9.11589368525035,9.48167686563511,9.10878230251421,-0.396124609159946,0.0303828219765775,-1,-0.396537660856672,2.43234503263799e-05,0.000143931163762114,0.666666666666667,0.0830853174603175,8,-0.4,0.75,-0.4,0.75,0.0522071025513022,0.15838138640873
"ITGA11","myCAF",13.2144186916911,13.687273501081,13.2335639549944,13.6811697536914,0.47285480938983,0.0303828219765775,1,0.472822970221173,3.46279378876184e-16,9.19952308331891e-15,-0.666666666666667,0.0830853174603175,8,0,1,0.8,0.333333333333333,0.0522071025513022,0.15838138640873
"POSTN","myCAF",16.383360034134,16.1878299383535,16.3862649026915,16.1893288430885,-0.195530095780438,0.0303828219765775,-1,-0.194218213201915,1.16608716437787e-05,7.43323487552512e-05,0.666666666666667,0.0830853174603175,8,-0.4,0.75,-0.4,0.75,0.0522071025513022,0.15838138640873
"KRT19","apCAF",10.2329317561611,5.97849947305377,10.2409388242823,5.80776814668853,-4.25443228310733,0.0303828219765775,-1,-4.26058098235461,4.29194027766898e-271,2.56171608706469e-267,0.642857142857143,0.0961805555555556,8,-0.8,0.333333333333333,-0.2,0.916666666666667,0.0522071025513022,0.16526799687011
"ABCA8","csCAF",5.71030605366348,6.3668346835393,5.65956671249682,6.39744462579045,0.656528629875817,0.0303828219765775,1,0.661418148688494,0.00153021159492402,0.00577692785551537,-0.642857142857143,0.0961805555555556,8,0.8,0.333333333333333,0.2,0.916666666666667,0.0522071025513022,0.16526799687011
"FOSL1","iCAF",12.5492929066315,12.1636211043483,12.5838066350398,12.1506422770427,-0.3856718022832,0.0303828219765775,-1,-0.391125113684576,4.63801497857679e-10,6.30586911210297e-09,0.642857142857143,0.0961805555555556,8,-0.6,0.416666666666667,-0.4,0.75,0.0522071025513022,0.16526799687011
"GPRC5A","iCAF",12.1251085179755,12.046290480539,12.1078620739609,12.0800553640876,-0.0788180374365748,0.665005542102029,-0.25,-0.0830495097750006,0.268828923051067,0.412980998150493,0.642857142857143,0.0961805555555556,8,1,0.0833333333333333,1,0.0833333333333333,0.787676467344151,0.16526799687011
"COL11A1","myCAF",12.7996446526106,13.2839568551802,12.7665147225598,13.3227526148999,0.484312202569603,0.0303828219765775,1,0.483930137104688,8.78124565351851e-14,1.83046547930038e-12,-0.642857142857143,0.0961805555555556,8,0.6,0.416666666666667,0.4,0.75,0.0522071025513022,0.16526799687011
"KIF26B","myCAF",9.47874692832924,9.04906684966691,9.47497115154477,9.05335680620496,-0.429680078662328,0.0303828219765775,-1,-0.440183058286052,4.48087478732276e-06,3.09069891917571e-05,0.642857142857143,0.0961805555555556,8,-0.6,0.416666666666667,-0.4,0.75,0.0522071025513022,0.16526799687011
"WNT5A","myCAF",12.8799457400996,13.138173777036,12.8714178136623,13.1415333916229,0.258228036936391,0.0303828219765775,1,0.258578405874865,5.07973729436838e-06,3.47465416272078e-05,-0.642857142857143,0.0961805555555556,8,0.8,0.333333333333333,0.2,0.916666666666667,0.0522071025513022,0.16526799687011
"DCN","apCAF",10.07116716658,10.5382061869679,10.0594857486497,10.532538673083,0.467039020387888,0.0303828219765775,1,0.466100787828853,3.16900902863603e-10,4.41246311561094e-09,-0.619047619047619,0.114980158730159,8,0.4,0.75,0.8,0.333333333333333,0.0522071025513022,0.175344742063492
"CLU","apCAF",10.0001218749617,9.92017929989568,10.0199443347216,9.90753747029529,-0.0799425750659744,0.47048642205879,-0.375,-0.0773169716741466,0.31852652645303,0.466672480695714,0.619047619047619,0.114980158730159,8,0.6,0.416666666666667,1,0.0833333333333333,0.585707586644616,0.175344742063492
"CCL2","csCAF",10.3685972195274,9.50629525290614,10.3767658186763,9.50026501292423,-0.862301966621217,0.0303828219765775,-1,-0.867674950141357,2.58853688760592e-30,1.71034470514656e-28,0.619047619047619,0.114980158730159,8,-0.4,0.75,-0.8,0.333333333333333,0.0522071025513022,0.175344742063492
"MGP","csCAF",5.38310977914305,6.15058524551897,5.36642649951766,6.15938616072323,0.767475466375923,0.0606019697120061,0.875,0.775368298364218,0.00137040594600414,0.00524668855653625,-0.619047619047619,0.114980158730159,8,-0.6,0.416666666666667,0.8,0.333333333333333,0.0960187052579837,0.175344742063492
"TMEM88","iCAF",3.09938770139732,3.86485511902703,3.08096094612859,3.94200453954823,0.765467417629709,0.112351197690464,0.75,0.738536547099587,0.148753309738562,0.266517586970051,-0.619047619047619,0.114980158730159,8,0,1,-0.4,0.75,0.173504381243501,0.175344742063492
"RUNX2","myCAF",10.3886033770188,11.0936041152111,10.4000860039205,11.0796220763792,0.705000738192371,0.0303828219765775,1,0.704583465651606,9.38513098878784e-32,6.77621594698529e-30,-0.619047619047619,0.114980158730159,8,0.8,0.333333333333333,0.4,0.75,0.0522071025513022,0.175344742063492
"COL12A1","myCAF",13.3723219569175,13.8286437068496,13.4075602654531,13.8728657681795,0.45632174993205,0.0303828219765775,1,0.454926062711878,2.62193910027016e-10,3.67646370629895e-09,-0.619047619047619,0.114980158730159,8,0.8,0.333333333333333,0.4,0.75,0.0522071025513022,0.175344742063492
"SDC1","myCAF",12.3281297856166,12.1203738580891,12.3229756458534,12.0966723765779,-0.207755927527449,0.0606019697120061,-0.875,-0.201749953084848,0.00161292997486314,0.00604334047497372,0.619047619047619,0.114980158730159,8,0,1,-0.2,0.916666666666667,0.0960187052579837,0.175344742063492
"COL1A1","myCAF",18.1704084974395,18.0884578793524,18.1975098416842,18.101332846045,-0.0819506180871272,0.312321421676216,-0.5,-0.086104838397465,0.15237449775557,0.27119131687628,0.619047619047619,0.114980158730159,8,0.8,0.333333333333333,0.8,0.333333333333333,0.409711972521488,0.175344742063492
"SERPINB2","apCAF",6.82394879901633,7.08781200748453,6.8355127827548,7.0983963728858,0.263863208468197,0.193930852282411,0.625,0.288655822537923,0.0739623312248513,0.154951386792113,-0.595238095238095,0.132291666666667,8,-0.6,0.416666666666667,0,1,0.275111209051792,0.19445281124498
"HAS2","iCAF",12.9912769622751,11.1204292219576,13.0208302314334,11.078149708806,-1.87084774031753,0.0303828219765775,-1,-1.87343821140236,1.6959296426117e-158,1.59827979897922e-155,0.595238095238095,0.132291666666667,8,-0.8,0.333333333333333,-0.6,0.416666666666667,0.0522071025513022,0.19445281124498
"ISG15","ifCAF",11.0495317218405,10.3070129389139,11.0093593165248,10.3072306012209,-0.742518782926608,0.0303828219765775,-1,-0.747408075893345,1.66736564194278e-23,7.55844283155126e-22,0.595238095238095,0.132291666666667,8,-0.6,0.416666666666667,-0.8,0.333333333333333,0.0522071025513022,0.19445281124498
