gene	Origin	cc_ischia_10	n_positive	n_spots	pct_detected
KCNJ15	Normal Pancreas	CC8	0	0	0
KCNJ15	Normal Pancreas	CC9	0	0	0
KCNJ15	Normal Pancreas	CC10	3574	9707	36.8187905635109
KCNJ15	Pancreas	CC1	581	8639	6.72531543002662
KCNJ15	Pancreas	CC2	436	5063	8.61149516097176
KCNJ15	Pancreas	CC3	318	3317	9.58697618329816
KCNJ15	Pancreas	CC4	644	7976	8.07422266800401
KCNJ15	Pancreas	CC5	626	7164	8.73813512004467
KCNJ15	Pancreas	CC6	0	0	0
KCNJ15	Pancreas	CC7	73	2572	2.83825816485226
KCNJ15	Pancreas	CC8	0	0	0
KCNJ15	Pancreas	CC9	13	726	1.79063360881543
KCNJ15	Pancreas	CC10	0	1	0
KCNJ16	Normal Pancreas	CC1	0	0	0
KCNJ16	Normal Pancreas	CC2	22	53	41.5094339622642
KCNJ16	Normal Pancreas	CC3	12	36	33.3333333333333
KCNJ16	Normal Pancreas	CC4	1	3	33.3333333333333
KCNJ16	Normal Pancreas	CC5	0	0	0
KCNJ16	Normal Pancreas	CC6	0	0	0
KCNJ16	Normal Pancreas	CC7	2	21	9.52380952380952
KCNJ16	Normal Pancreas	CC8	0	0	0
KCNJ16	Normal Pancreas	CC9	0	0	0
KCNJ16	Normal Pancreas	CC10	5223	9707	53.8065313691151
KCNJ16	Pancreas	CC1	19	8639	0.219932862599838
KCNJ16	Pancreas	CC2	142	5063	2.80466126802291
KCNJ16	Pancreas	CC3	137	3317	4.13023816701839
KCNJ16	Pancreas	CC4	82	7976	1.02808425275827
KCNJ16	Pancreas	CC5	39	7164	0.544388609715243
KCNJ16	Pancreas	CC6	0	0	0
KCNJ16	Pancreas	CC7	13	2572	0.505443234836703
KCNJ16	Pancreas	CC8	0	0	0
KCNJ16	Pancreas	CC9	1	726	0.137741046831956
KCNJ16	Pancreas	CC10	0	1	0
KCNJ8	Normal Pancreas	CC1	0	0	0
KCNJ8	Normal Pancreas	CC2	3	53	5.66037735849057
KCNJ8	Normal Pancreas	CC3	2	36	5.55555555555556
KCNJ8	Normal Pancreas	CC4	1	3	33.3333333333333
KCNJ8	Normal Pancreas	CC5	0	0	0
KCNJ8	Normal Pancreas	CC6	0	0	0
KCNJ8	Normal Pancreas	CC7	1	21	4.76190476190476
KCNJ8	Normal Pancreas	CC8	0	0	0
KCNJ8	Normal Pancreas	CC9	0	0	0
KCNJ8	Normal Pancreas	CC10	5406	9707	55.69176882662
KCNJ8	Pancreas	CC1	924	8639	10.6956823706448
KCNJ8	Pancreas	CC2	353	5063	6.97215089867667
KCNJ8	Pancreas	CC3	215	3317	6.48176062707266
KCNJ8	Pancreas	CC4	568	7976	7.12136409227683
KCNJ8	Pancreas	CC5	753	7164	10.5108877721943
KCNJ8	Pancreas	CC6	0	0	0
KCNJ8	Pancreas	CC7	352	2572	13.6858475894246
KCNJ8	Pancreas	CC8	0	0	0
KCNJ8	Pancreas	CC9	56	726	7.71349862258953
KCNJ8	Pancreas	CC10	0	1	0
KCNK1	Normal Pancreas	CC1	0	0	0
KCNK1	Normal Pancreas	CC2	11	53	20.7547169811321
KCNK1	Normal Pancreas	CC3	12	36	33.3333333333333
KCNK1	Normal Pancreas	CC4	0	3	0
KCNK1	Normal Pancreas	CC5	0	0	0
KCNK1	Normal Pancreas	CC6	0	0	0
KCNK1	Normal Pancreas	CC7	0	21	0
KCNK1	Normal Pancreas	CC8	0	0	0
KCNK1	Normal Pancreas	CC9	0	0	0
KCNK1	Normal Pancreas	CC10	543	9707	5.59390130833419
KCNK1	Pancreas	CC1	656	8639	7.59347146660493
KCNK1	Pancreas	CC2	1670	5063	32.9843966028047
KCNK1	Pancreas	CC3	1550	3317	46.7289719626168
KCNK1	Pancreas	CC4	1490	7976	18.6810431293882
KCNK1	Pancreas	CC5	1085	7164	15.1451702959241
KCNK1	Pancreas	CC6	0	0	0
KCNK1	Pancreas	CC7	184	2572	7.15396578538103
KCNK1	Pancreas	CC8	0	0	0
KCNK1	Pancreas	CC9	22	726	3.03030303030303
KCNK1	Pancreas	CC10	0	1	0
KCNK15	Normal Pancreas	CC1	0	0	0
KCNK15	Normal Pancreas	CC2	3	53	5.66037735849057
KCNK15	Normal Pancreas	CC3	2	36	5.55555555555556
KCNK15	Normal Pancreas	CC4	0	3	0
KCNK15	Normal Pancreas	CC5	0	0	0
KCNK15	Normal Pancreas	CC6	0	0	0
KCNK15	Normal Pancreas	CC7	0	21	0
KCNK15	Normal Pancreas	CC8	0	0	0
KCNK15	Normal Pancreas	CC9	0	0	0
KCNK15	Normal Pancreas	CC10	81	9707	0.834449366436592
KCNK15	Pancreas	CC1	43	8639	0.497742794304896
KCNK15	Pancreas	CC2	40	5063	0.790045427612088
KCNK15	Pancreas	CC3	50	3317	1.50738619234248
KCNK15	Pancreas	CC4	42	7976	0.526579739217653
KCNK15	Pancreas	CC5	38	7164	0.530429927414852
KCNK15	Pancreas	CC6	0	0	0
KCNK15	Pancreas	CC7	23	2572	0.894245723172628
KCNK15	Pancreas	CC8	0	0	0
KCNK15	Pancreas	CC9	8	726	1.10192837465565
KCNK15	Pancreas	CC10	0	1	0
KCNK17	Normal Pancreas	CC1	0	0	0
KCNK17	Normal Pancreas	CC2	2	53	3.77358490566038
KCNK17	Normal Pancreas	CC3	2	36	5.55555555555556
KCNK17	Normal Pancreas	CC4	0	3	0
KCNK17	Normal Pancreas	CC5	0	0	0
KCNK17	Normal Pancreas	CC6	0	0	0
KCNK17	Normal Pancreas	CC7	2	21	9.52380952380952
KCNK17	Normal Pancreas	CC8	0	0	0
KCNK17	Normal Pancreas	CC9	0	0	0
KCNK17	Normal Pancreas	CC10	248	9707	2.55485731946018
KCNK17	Pancreas	CC1	224	8639	2.59289269591388
KCNK17	Pancreas	CC2	64	5063	1.26407268417934
KCNK17	Pancreas	CC3	40	3317	1.20590895387398
KCNK17	Pancreas	CC4	155	7976	1.94332998996991
KCNK17	Pancreas	CC5	168	7164	2.34505862646566
KCNK17	Pancreas	CC6	0	0	0
KCNK17	Pancreas	CC7	95	2572	3.69362363919129
KCNK17	Pancreas	CC8	0	0	0
KCNK17	Pancreas	CC9	11	726	1.51515151515152
KCNK17	Pancreas	CC10	0	1	0
KCNK3	Normal Pancreas	CC1	0	0	0
KCNK3	Normal Pancreas	CC2	4	53	7.54716981132075
KCNK3	Normal Pancreas	CC3	0	36	0
KCNK3	Normal Pancreas	CC4	0	3	0
KCNK3	Normal Pancreas	CC5	0	0	0
KCNK3	Normal Pancreas	CC6	0	0	0
KCNK3	Normal Pancreas	CC7	0	21	0
KCNK3	Normal Pancreas	CC8	0	0	0
KCNK3	Normal Pancreas	CC9	0	0	0
KCNK3	Normal Pancreas	CC10	4741	9707	48.8410425466158
KCNK3	Pancreas	CC1	159	8639	1.84049079754601
KCNK3	Pancreas	CC2	109	5063	2.15287379024294
KCNK3	Pancreas	CC3	51	3317	1.53753391618933
KCNK3	Pancreas	CC4	165	7976	2.06870611835507
KCNK3	Pancreas	CC5	177	7164	2.47068676716918
KCNK3	Pancreas	CC6	0	0	0
KCNK3	Pancreas	CC7	408	2572	15.8631415241058
KCNK3	Pancreas	CC8	0	0	0
KCNK3	Pancreas	CC9	25	726	3.4435261707989
KCNK3	Pancreas	CC10	1	1	100
KCNK6	Normal Pancreas	CC1	0	0	0
KCNK6	Normal Pancreas	CC2	2	53	3.77358490566038
