gene	Origin	cc_ischia_10	n_positive	n_spots	pct_detected
KCNMB1	Pancreas	CC7	225	2572	8.74805598755832
KCNMB1	Pancreas	CC8	0	0	0
KCNMB1	Pancreas	CC9	44	726	6.06060606060606
KCNMB1	Pancreas	CC10	0	1	0
KCNMB4	Normal Pancreas	CC1	0	0	0
KCNMB4	Normal Pancreas	CC2	1	53	1.88679245283019
KCNMB4	Normal Pancreas	CC3	0	36	0
KCNMB4	Normal Pancreas	CC4	0	3	0
KCNMB4	Normal Pancreas	CC5	0	0	0
KCNMB4	Normal Pancreas	CC6	0	0	0
KCNMB4	Normal Pancreas	CC7	1	21	4.76190476190476
KCNMB4	Normal Pancreas	CC8	0	0	0
KCNMB4	Normal Pancreas	CC9	0	0	0
KCNMB4	Normal Pancreas	CC10	175	9707	1.80282270526424
KCNMB4	Pancreas	CC1	601	8639	6.95682370644751
KCNMB4	Pancreas	CC2	238	5063	4.70077029429192
KCNMB4	Pancreas	CC3	154	3317	4.64274947241483
KCNMB4	Pancreas	CC4	426	7976	5.34102306920762
KCNMB4	Pancreas	CC5	553	7164	7.71915131211614
KCNMB4	Pancreas	CC6	0	0	0
KCNMB4	Pancreas	CC7	186	2572	7.23172628304821
KCNMB4	Pancreas	CC8	0	0	0
KCNMB4	Pancreas	CC9	49	726	6.74931129476584
KCNMB4	Pancreas	CC10	0	1	0
KCNN3	Normal Pancreas	CC1	0	0	0
KCNN3	Normal Pancreas	CC2	2	53	3.77358490566038
KCNN3	Normal Pancreas	CC3	1	36	2.77777777777778
KCNN3	Normal Pancreas	CC4	0	3	0
KCNN3	Normal Pancreas	CC5	0	0	0
KCNN3	Normal Pancreas	CC6	0	0	0
KCNN3	Normal Pancreas	CC7	1	21	4.76190476190476
KCNN3	Normal Pancreas	CC8	0	0	0
KCNN3	Normal Pancreas	CC9	0	0	0
KCNN3	Normal Pancreas	CC10	159	9707	1.63799320078294
KCNN3	Pancreas	CC1	272	8639	3.148512559324
KCNN3	Pancreas	CC2	82	5063	1.61959312660478
KCNN3	Pancreas	CC3	69	3317	2.08019294543262
KCNN3	Pancreas	CC4	137	7976	1.71765295887663
KCNN3	Pancreas	CC5	216	7164	3.01507537688442
KCNN3	Pancreas	CC6	0	0	0
KCNN3	Pancreas	CC7	107	2572	4.1601866251944
KCNN3	Pancreas	CC8	0	0	0
KCNN3	Pancreas	CC9	16	726	2.20385674931129
KCNN3	Pancreas	CC10	0	1	0
KCNN4	Normal Pancreas	CC1	0	0	0
KCNN4	Normal Pancreas	CC2	3	53	5.66037735849057
KCNN4	Normal Pancreas	CC3	6	36	16.6666666666667
KCNN4	Normal Pancreas	CC4	0	3	0
