target_gene	gene	n_sections	mean_delta	median_delta
SIGMAR1	EBLN2	10	0.0280426991204061	0.0261594171747739
SIGMAR1	ETNK1	10	0.0280162173289619	0.0342590829926603
SIGMAR1	USP42	10	0.0279658660191074	0.0356487925840586
SIGMAR1	NUP210	10	0.0279639685805786	0.0252354176896921
SIGMAR1	UFC1	10	0.0279606460107846	-0.00551015614736391
SIGMAR1	PSMB3	10	0.0279525640963313	0.0417471409717433
SIGMAR1	LAMA4	10	0.027929357823696	0.0320709673185938
SIGMAR1	HARS	10	0.0278947397662933	0.0165896944496514
SIGMAR1	CSDE1	10	0.0278675710440387	0.0140827301241234
SIGMAR1	PPP3CB	10	0.0278164134518979	0.033684736795306
SIGMAR1	NFE2L2	10	0.0277255677278557	0.00250873737651423
SIGMAR1	KRT13	10	0.0275167533773408	0.0124378635226644
SIGMAR1	PFN1	10	0.0274874064268845	0.0377084413856997
SIGMAR1	ITGA1	10	0.0273722822631341	0.0241728796033076
SIGMAR1	LRRC27	10	0.0272790519875095	0.0174558251960337
SIGMAR1	EDC4	10	0.0272554392493801	0.00807050565390946
SIGMAR1	GOLM1	10	0.0272291641282045	0.0288502390882718
SIGMAR1	BCL7B	10	0.0272205632111051	0.0206537970198156
SIGMAR1	C1R	10	0.0270105132516089	0.0279428510466078
SIGMAR1	PARVA	10	0.0267947014370607	0.0231168700391125
SIGMAR1	SZRD1	10	0.0267927127513161	0.0194765040937614
SIGMAR1	IFITM2	10	0.0267832869199277	0.0405586776307024
SIGMAR1	MARVELD1	10	0.0267525990836831	0.00204928724655405
SIGMAR1	CYFIP1	10	0.0267217324635573	0.0253932239781569
SIGMAR1	CTDSP1	10	0.0266647229794866	0.0162088254453803
SIGMAR1	STAT6	10	0.026663313003158	0.00455563773055959
SIGMAR1	TOMM22	10	0.0265119667702358	0.0125075576764726
SIGMAR1	NR4A2	10	0.026497288286737	0.00415579961737454
SIGMAR1	LENG8	10	0.0264727278874498	0.0246470910602938
SIGMAR1	FBXO11	10	0.0264242572984117	0.0195789911312546
SIGMAR1	MTREX	10	0.0263741548349619	0.0254564543592786
SIGMAR1	SP110	10	0.0263050038115378	0.0171804651130195
SIGMAR1	HIST1H2AG	10	0.0263024336628999	0.0118379685847186
SIGMAR1	BCLAF1	10	0.0261894046916568	0.0311257176057887
SIGMAR1	TMX4	10	0.0261816637571173	0.0214719028105097
SIGMAR1	ZNF268	10	0.0261700971537369	0.0249447184574411
SIGMAR1	RHOA	10	0.0260155337668313	0.031662711402285
SIGMAR1	FAM83H	10	0.0259686105459831	0.0278833147230866
SIGMAR1	ANTKMT	10	0.0259214973794513	0.0298252742024963
SIGMAR1	SLC8B1	10	0.025915256682464	0.0229782311457952
SIGMAR1	CENPW	10	0.0259032839096364	0.00511087547153386
SIGMAR1	ZSCAN18	10	0.0258388997009178	0.021480820261816
SIGMAR1	MGP	10	0.0258048808229073	0.02257244225485
SIGMAR1	TRIM38	10	0.0256990325885639	0.0307252902354771
SIGMAR1	ZNF142	10	0.0256679500966047	0.00781371663702882
SIGMAR1	PRR13	10	0.0256571688256055	0.0306083337850368
SIGMAR1	DDB2	10	0.0256278608861706	0.0246146440285774
SIGMAR1	KARS	10	0.0256138225946695	0.0291983600414987
SIGMAR1	SH3BP5L	10	0.0255296065461689	0.0213676660939782
SIGMAR1	ZNF598	10	0.0253512325987041	0.00555356296643447
SIGMAR1	PRUNE1	10	0.0253187302853624	0.0341740027364387
SIGMAR1	F2R	10	0.0253156971216999	-0.0015549364045357
SIGMAR1	AASDHPPT	10	0.0252918579520573	0.0150979970100466
SIGMAR1	CDC42SE1	10	0.0252899193011035	0.00468212387379793
SIGMAR1	CISD3	10	0.0252277588907893	0.0239983098369597
SIGMAR1	PROS1	10	0.0251694703003955	0.0254356702754112
SIGMAR1	UPRT	10	0.0251437392221109	0.0265324845735971
SIGMAR1	MTA1	10	0.0251301562184932	0.00331246408221836
SIGMAR1	DMBT1	10	0.0251101097254393	0.00200228337875927
SIGMAR1	UBE2L6	10	0.0251015689972106	0.020021125930899
SIGMAR1	HOXB5	10	0.0249873267666952	0.0100853435925158
SIGMAR1	RAVER1	10	0.0248735277541559	0.0116955249125102
SIGMAR1	PLXDC2	10	0.0248696445017164	0.014770601376325
SIGMAR1	PPFIBP2	10	0.0248235970909338	0.0078992574459607
SIGMAR1	VCP	10	0.0246802018809235	0.0180334420338021
SIGMAR1	TTC1	10	0.0246648018457578	0.013168374970532
