target_gene	orig.ident	n_spots	n_positive	n_high	min_expression_in_high	mean_expression_in_high	mean_expression_in_rest	used_for_gsea
KCNJ8	IU_PDA_T10	2714	114	20	0.693147180559945	0.8697173274258	0.0241855363669766	TRUE
KCNJ8	IU_PDA_T11	2777	196	20	1.09861228866811	1.18168998434677	0.0445429212893604	TRUE
KCNJ8	IU_PDA_T12	3642	697	70	1.09861228866811	1.20849205193156	0.128934224280517	TRUE
KCNJ8	IU_PDA_T2	4118	259	26	0.693147180559945	1.00051330081021	0.0394680579351093	TRUE
KCNJ8	IU_PDA_T3	4354	445	45	1.09861228866811	1.15093897964884	0.0650969118331036	TRUE
KCNJ8	IU_PDA_T4	3621	93	20	0.693147180559945	0.814786712992395	0.0140515812776662	TRUE
KCNJ8	IU_PDA_T6	3397	467	47	1.09861228866811	1.18881225800897	0.0892016874296215	TRUE
KCNJ8	IU_PDA_T8	3779	159	20	1.09861228866811	1.1129963922907	0.0257390059074064	TRUE
KCNJ8	IU_PDA_T9	3526	332	34	0.693147180559945	0.99628031995699	0.0591517353398808	TRUE
KCNK1	IU_PDA_T1	3530	131	20	0.693147180559945	0.814786712992395	0.0219200390433487	TRUE
KCNK1	IU_PDA_T10	2714	346	35	1.09861228866811	1.09861228866811	0.081979628307288	TRUE
KCNK1	IU_PDA_T11	2777	416	42	1.09861228866811	1.16403475729294	0.0973052842293449	TRUE
KCNK1	IU_PDA_T12	3642	745	75	1.09861228866811	1.18410266328624	0.139744233264998	TRUE
KCNK1	IU_PDA_T2	4118	490	49	0.693147180559945	1.03828496637396	0.0751235946490381	TRUE
KCNK1	IU_PDA_T3	4354	495	50	1.09861228866811	1.11587321301522	0.0727964862096825	TRUE
KCNK1	IU_PDA_T4	3621	666	67	1.09861228866811	1.12866862459591	0.12230092468897	TRUE
KCNK1	IU_PDA_T6	3397	1545	155	1.38629436111989	1.48528914118965	0.349272973140808	TRUE
KCNK1	IU_PDA_T8	3779	648	65	1.09861228866811	1.13483845934708	0.11317270075142	TRUE
KCNK1	IU_PDA_T9	3526	280	28	1.09861228866811	1.11916100812895	0.0499351313610938	TRUE
KCNK15	IU_PDA_T1	3530	6	0	NA	NA	0.00152274175855075	FALSE
KCNK15	IU_PDA_T10	2714	19	0	NA	NA	0.00485254105771517	FALSE
KCNK15	IU_PDA_T11	2777	26	0	NA	NA	0.00707370800395795	FALSE
KCNK15	IU_PDA_T12	3642	36	20	0.693147180559945	0.713420435965354	0.0030619422664161	TRUE
KCNK15	IU_PDA_T2	4118	6	0	NA	NA	0.00110838955596596	FALSE
KCNK15	IU_PDA_T3	4354	59	20	0.693147180559945	0.774240202181578	0.00623736503041944	TRUE
KCNK15	IU_PDA_T4	3621	12	0	NA	NA	0.00229709090492111	FALSE
KCNK15	IU_PDA_T6	3397	52	20	0.693147180559945	0.693147180559945	0.0065681699075861	TRUE
KCNK15	IU_PDA_T8	3779	10	0	NA	NA	0.00183420794008983	FALSE
KCNK15	IU_PDA_T9	3526	12	0	NA	NA	0.00235898076197372	FALSE
KCNK17	IU_PDA_T1	3530	19	0	NA	NA	0.00384568315545244	FALSE
KCNK17	IU_PDA_T10	2714	16	0	NA	NA	0.00408635036439172	FALSE
KCNK17	IU_PDA_T11	2777	7	0	NA	NA	0.00174722011664372	FALSE
KCNK17	IU_PDA_T12	3642	367	37	1.09861228866811	1.18383414786678	0.0646875688693403	TRUE
KCNK17	IU_PDA_T2	4118	148	20	0.693147180559945	0.823281664832164	0.0216502779677094	TRUE
KCNK17	IU_PDA_T3	4354	67	20	0.693147180559945	0.788624305804167	0.00751682452383882	TRUE
KCNK17	IU_PDA_T4	3621	17	0	NA	NA	0.00325421211530491	FALSE
KCNK17	IU_PDA_T6	3397	24	0	NA	NA	0.00501648438079095	FALSE
KCNK17	IU_PDA_T8	3779	23	0	NA	NA	0.00432597254855435	FALSE
KCNK17	IU_PDA_T9	3526	28	0	NA	NA	0.00573427432555156	FALSE
KCNK3	IU_PDA_T1	3530	8	0	NA	NA	0.00180059707101867	FALSE
KCNK3	IU_PDA_T10	2714	7	0	NA	NA	0.00178777828442138	FALSE
KCNK3	IU_PDA_T11	2777	39	20	0.693147180559945	0.75396694677617	0.00477685760995247	TRUE
KCNK3	IU_PDA_T12	3642	239	24	1.09861228866811	1.12258579470576	0.0411903382588138	TRUE
KCNK3	IU_PDA_T2	4118	125	20	0.693147180559945	0.916152990019436	0.0177599936453866	TRUE
KCNK3	IU_PDA_T3	4354	498	50	1.6094379124341	1.87739344704308	0.0996012119430549	TRUE
KCNK3	IU_PDA_T4	3621	39	20	0.693147180559945	0.713420435965354	0.00365726088048846	TRUE
KCNK3	IU_PDA_T6	3397	73	20	0.693147180559945	0.713420435965354	0.0108785314094395	TRUE
KCNK3	IU_PDA_T8	3779	13	0	NA	NA	0.00259905889481228	FALSE
KCNK3	IU_PDA_T9	3526	16	0	NA	NA	0.00337529356357784	FALSE
KCNK6	IU_PDA_T1	3530	151	20	1.09861228866811	1.1129963922907	0.025985112752553	TRUE
KCNK6	IU_PDA_T10	2714	163	20	0.693147180559945	0.895879734614027	0.0367928904306133	TRUE
KCNK6	IU_PDA_T11	2777	247	25	0.693147180559945	1.05204111574069	0.0559152158736584	TRUE
KCNK6	IU_PDA_T12	3642	1008	101	1.09861228866811	1.21336531243535	0.187277330403012	TRUE
KCNK6	IU_PDA_T2	4118	308	31	0.693147180559945	1.05725543838289	0.0469786564754355	TRUE
KCNK6	IU_PDA_T3	4354	345	35	0.693147180559945	1.03395824261515	0.0497512447264605	TRUE
KCNK6	IU_PDA_T4	3621	389	39	0.693147180559945	1.05098596805925	0.0677279489659355	TRUE
KCNK6	IU_PDA_T6	3397	406	41	1.09861228866811	1.18123780935796	0.0763535285367239	TRUE
KCNK6	IU_PDA_T8	3779	206	21	0.693147180559945	0.977156398939283	0.0341224663128233	TRUE
KCNK6	IU_PDA_T9	3526	321	33	0.693147180559945	1.03360899848032	0.0571504116808658	TRUE
KCNMA1	IU_PDA_T1	3530	339	34	1.09861228866811	1.14748152142026	0.0653430848430567	TRUE
KCNMA1	IU_PDA_T10	2714	144	20	0.693147180559945	1.05217662607447	0.0319043245692031	TRUE
KCNMA1	IU_PDA_T11	2777	1025	103	1.38629436111989	1.46911157689581	0.289608929500046	TRUE
KCNMA1	IU_PDA_T12	3642	1388	139	1.38629436111989	1.46727094726241	0.289685566152727	TRUE
KCNMA1	IU_PDA_T2	4118	381	39	1.09861228866811	1.10598875206431	0.0583150933973321	TRUE
KCNMA1	IU_PDA_T3	4354	664	67	1.09861228866811	1.18063448813804	0.1007825511218	TRUE
KCNMA1	IU_PDA_T4	3621	139	20	0.693147180559945	0.971083604452841	0.0229060023567435	TRUE
