target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNK17	BCAM	3	3	0	0.183178818428131	0.153658882127611	0.18144920772142	0.675556862081094
KCNK17	GNAS	3	2	1	0.179470502412606	0.119777115777452	0.422678074170635	0.829093543339545
KCNK17	SEC11C	3	3	0	0.178253130059325	0.0830880568110411	0.18144920772142	0.675556862081094
KCNK3	KCNK3	6	6	0	0.986512642788003	0.823791542770133	0.0360316862182336	0.517970845604588
KCNK3	CLU	6	5	1	0.835489891968689	0.755023121356652	0.0591720678258594	0.517970845604588
KCNK3	STAR	6	2	2	0.491556606368	0	0.583882420770365	0.922255170492836
KCNK3	CYP11B1	6	1	3	0.486034425680589	-0.000481218536906377	0.855132140584706	1
KCNK3	SCARB1	6	3	3	0.470926899914765	0.036669531131445	0.529368106184798	0.849775117822965
KCNK3	CYP21A2	6	3	3	0.457658797975556	0.0119776974297347	0.401678166469773	0.74764507545414
KCNK3	FDX1	6	3	3	0.456016030919303	0.0327862703188735	0.401678166469773	0.74764507545414
KCNK3	CTRB1	6	2	3	0.42747225807015	-0.000563665225827093	0.787406490666269	1
KCNK3	DLK1	6	3	2	0.421679825806878	0.0136640256156653	0.280712665268496	0.74764507545414
KCNK3	CTRB2	6	3	2	0.416305074667145	0.00596518856132444	0.280712665268496	0.74764507545414
KCNK3	C7	6	5	1	0.408975823122695	0.19196505084839	0.0934924836898357	0.605560535379151
KCNK3	TTR	6	3	3	0.406959957995402	0.0073181422194649	0.529368106184798	0.849775117822965
KCNK3	INS	6	3	3	0.392312747896497	0.013307240244947	0.674986713970489	0.939584952679259
KCNK3	CYP17A1	6	1	4	0.387747688023331	-0.001472647324047	0.589638551626567	0.922255170492836
KCNK3	GCG	6	2	4	0.377360141393323	-0.00738284322142602	1	1
KCNK3	CELA3A	6	3	2	0.351679672903478	0.00130087391549058	0.589638551626567	0.922255170492836
