gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
FMR1	10	6	4	0.0202359153955831	0.0233937309322824	0.22127181567247	0.690320734028443
MOV10	10	7	3	0.0202238277946288	0.0341589850084657	0.308063229907199	0.77534119209603
VASP	10	5	5	0.0202234245654814	0.00370067948689029	0.759765825978067	0.972318037896177
TMEM69	10	5	5	0.0202220166994514	-4.9101893424313e-05	0.475532659596901	0.847532852165475
C1GALT1C1	10	6	4	0.0202015576081402	0.0123599551600673	0.308063229907199	0.77534119209603
AZIN1	10	7	3	0.0201890601155283	0.0234100075652325	0.358951435852626	0.801438715296161
SELENOW	10	7	3	0.0201787195388334	0.0194066265179714	0.540817904242618	0.885858208708872
FAM110C	10	6	4	0.0201619117469909	0.0149014432113055	0.308063229907199	0.77534119209603
ILDR1	10	6	4	0.0201462586887458	0.00606663679326725	0.475532659596901	0.847532852165475
ANKS3	10	6	4	0.0201456871701838	0.0132720749804922	0.185143724157873	0.639760209321045
ANAPC5	10	6	4	0.0201353759652517	0.0143198970350671	0.414823067184775	0.801438715296161
CARD10	10	6	4	0.0201282500048511	0.0103890851972456	0.262192602406773	0.745071428368784
ANKRD9	10	7	3	0.0201233635845656	0.0238017374310513	0.153576396549984	0.639760209321045
ZNRF3	10	8	2	0.0200784611142761	0.0179393633733752	0.0665457213437161	0.559405962996023
CARD19	10	7	3	0.0200724097325096	0.031967296872912	0.185143724157873	0.639760209321045
MSRA	10	6	4	0.0200433132968697	0.0094110736599074	0.308063229907199	0.77534119209603
SEC22B	10	7	3	0.0200427092884244	0.0240545062337574	0.262192602406773	0.745071428368784
AP1M2	10	6	4	0.0200371680658509	0.00186863024021004	0.683480902201426	0.943844307269161
GRPEL1	10	4	6	0.0200308583003301	-0.00984237464245902	0.838463781922464	1
SLC2A12	10	9	1	0.0200277598738595	0.0135121586358118	0.00804523748656169	0.435522904444153
WIPF2	10	6	4	0.0200246709784433	0.0174520000075487	0.358951435852626	0.801438715296161
MGST1	10	3	7	0.0200052725408869	-0.0123019485137651	0.358951435852626	0.801438715296161
SPTY2D1	10	6	4	0.0200050316633761	0.00659796513082083	0.358951435852626	0.801438715296161
MAP3K11	10	4	6	0.0199919544062601	-0.0270429677483523	0.683480902201426	0.943844307269161
ZNF623	10	7	3	0.0199883020295516	0.0278609141777773	0.262192602406773	0.745071428368784
CATSPERG	10	5	5	0.0199872377522245	0.0109354282361457	0.358951435852626	0.801438715296161
RNF103	10	6	4	0.019974573365611	0.00820428497966858	0.759765825978067	0.972318037896177
GHITM	10	5	5	0.0199304050787219	0.0014037112815834	0.683480902201426	0.943844307269161
CDS1	10	5	5	0.0199276053242168	0.00372947740832099	0.610298655976554	0.906590313775391
GRB7	10	7	3	0.0199150985208413	0.0159930932278833	0.308063229907199	0.77534119209603
CYP2C18	10	4	6	0.0199110166571098	-0.00179705847888809	0.683480902201426	0.943844307269161
VPS9D1	10	5	5	0.0198897817574416	0.00382254709569114	0.683480902201426	0.943844307269161
TM9SF2	10	4	6	0.0198750320229824	-0.0169894634401832	0.918812683274642	1
ERICH5	10	2	8	0.0198635501697356	-0.00814237951095362	0.262192602406773	0.745071428368784
AIMP2	10	6	4	0.019862258636799	0.0104523769534	0.185143724157873	0.639760209321045
LZTS2	10	6	4	0.0198522010057356	0.0188587526738946	0.262192602406773	0.745071428368784
PPFIBP2	10	6	4	0.0198467762055809	0.00988890332603692	0.610298655976554	0.906590313775391
CMC2	10	6	4	0.0198333178256195	0.0105799955259934	0.22127181567247	0.690320734028443
RBM7	10	7	3	0.0198312037465347	0.0216396370095037	0.126278928554698	0.5991146130562
PSMB4	10	6	4	0.0198158902659855	0.0171920210690396	0.610298655976554	0.906590313775391
ZG16B	10	5	5	0.0197818999981497	-0.00305264945062613	0.759765825978067	0.972318037896177
XAF1	10	5	5	0.0197613944994068	0.00375790169204007	0.759765825978067	0.972318037896177
MAP3K10	10	6	4	0.0197607197757775	0.0235455928587285	0.22127181567247	0.690320734028443
CHDH	10	6	4	0.0197475452962635	0.0153329877771365	0.102917539402853	0.563775516315722
PIGT	10	6	4	0.0197456404472748	0.022330913942773	0.683480902201426	0.943844307269161
BAIAP2	10	5	5	0.0197391272763124	0.00897043014470139	0.540817904242618	0.885858208708872
DEF8	10	5	5	0.0197272226530988	0.00367973214360264	0.540817904242618	0.885858208708872
TRAF4	10	5	5	0.0197193429001686	0.00708852511659452	0.918812683274642	1
SLC35B1	10	8	2	0.0197143493177848	0.0291291373420075	0.102917539402853	0.563775516315722
CAMTA1	10	6	4	0.0197038908942103	0.0328910188647151	0.358951435852626	0.801438715296161
SYTL1	10	5	5	0.0197005545623767	0.00218555634751684	0.475532659596901	0.847532852165475
ELF1	10	7	3	0.0196979471709248	0.0179555368276857	0.358951435852626	0.801438715296161
PDE7A	10	6	4	0.01969323256111	0.00589575991020533	0.759765825978067	0.972318037896177
PRIMPOL	10	6	4	0.0196804397981105	0.0236897757126736	0.22127181567247	0.690320734028443
CMBL	10	5	5	0.0196802702339829	0.000130180719583596	0.610298655976554	0.906590313775391
ZFP36L2	10	7	3	0.01967443663163	0.00931103563669441	0.358951435852626	0.801438715296161
CEPT1	10	8	2	0.0196665244934309	0.0234599791375239	0.0414910873877316	0.522805623801352
TENT5A	10	6	4	0.0196624312297562	0.0193449831884247	0.153576396549984	0.639760209321045
TMEM147	10	6	4	0.019626199876146	0.0265151966054081	0.262192602406773	0.745071428368784
SERINC1	10	5	5	0.0196136495462758	0.00820175852138785	0.358951435852626	0.801438715296161
H3F3B	10	6	4	0.0196115969283295	0.0206249034748835	0.475532659596901	0.847532852165475
PGGHG	10	4	6	0.0195874769852816	-0.00577964893474406	0.838463781922464	1
CCN6	10	5	5	0.01958063525836	0.00123085378051987	0.358951435852626	0.801438715296161
PARP12	10	7	3	0.0195508089130751	0.0171841005137912	0.262192602406773	0.745071428368784
LEMD2	10	8	2	0.0195366552908517	0.0218250987340913	0.0831311427008039	0.563775516315722
ASRGL1	10	7	3	0.0195194236027284	0.0204767569699384	0.0665457213437161	0.559405962996023
NET1	10	7	3	0.0195121049873742	0.0332006102042426	0.475532659596901	0.847532852165475
SND1	10	7	3	0.0195050752290745	0.0232738439945967	0.262192602406773	0.745071428368784
SERINC3	10	7	3	0.0195013374181827	0.0136276194644218	0.126278928554698	0.5991146130562
FGFRL1	10	5	5	0.0194879280041767	0.0105418640662534	1	1
DOK4	10	6	4	0.0194820506889075	0.00612753383139386	0.610298655976554	0.906590313775391
ATP2C1	10	5	5	0.0194787215370066	8.98266086770683e-05	0.683480902201426	0.943844307269161
KLK6	10	7	3	0.0194717383328674	0.0179489667406438	0.540817904242618	0.885858208708872
ABCA13	10	5	5	0.0194674988379699	0.00418355935853658	0.358951435852626	0.801438715296161
SNTB1	10	6	4	0.0194624752782542	0.0162725129403455	0.475532659596901	0.847532852165475
PTPRN2	10	5	5	0.0194564974170687	0.00531964582586307	0.683480902201426	0.943844307269161
SLC4A4	10	4	6	0.0194550283112556	-0.0049397197700139	0.918812683274642	1
OBSCN	10	6	4	0.0194399480367014	0.00860816765463299	0.414823067184775	0.801438715296161
QTRT2	10	5	5	0.0194374732248608	0.00259666889190386	0.540817904242618	0.885858208708872
TNK2	10	6	4	0.0194085205920105	0.0307437744633135	0.308063229907199	0.77534119209603
PGAP3	10	5	5	0.0194025944113379	-0.0014196961836655	0.683480902201426	0.943844307269161
MBNL2	10	5	5	0.0193956317681823	0.00518500925988637	0.683480902201426	0.943844307269161
SMIM29	10	5	5	0.0193927642218346	0.00260321365832444	0.610298655976554	0.906590313775391
PLEKHG6	10	5	5	0.0193846711264795	0.00641071431243706	0.683480902201426	0.943844307269161
FERMT1	10	5	5	0.0193635725583493	-0.00820966108997878	0.683480902201426	0.943844307269161
KCNK5	10	6	4	0.0193406235759955	0.00709366837332287	0.475532659596901	0.847532852165475
DHRS12	10	6	4	0.01933822928015	0.0283461661339374	0.0831311427008039	0.563775516315722
UBR2	10	7	3	0.0193363172205229	0.0276627008639794	0.102917539402853	0.563775516315722
PISD	10	4	6	0.0193233777602283	-0.00646467896424149	0.759765825978067	0.972318037896177
POGK	10	6	4	0.0193084945020043	0.0160462675767623	0.475532659596901	0.847532852165475
ZBTB38	10	6	4	0.0192909162357322	0.0283173780258385	0.262192602406773	0.745071428368784
FASTKD1	10	7	3	0.0192888620230014	0.0118724374320161	0.22127181567247	0.690320734028443
HTATIP2	10	7	3	0.0192734868599612	0.0117706301226354	0.414823067184775	0.801438715296161
TMEM175	10	5	5	0.0192662210461567	-0.000542670887464132	0.683480902201426	0.943844307269161
DNAJC7	10	5	5	0.0192592063313307	0.00203644240629319	0.918812683274642	1
FAM221A	10	5	5	0.0192540700575563	-0.00170201687915992	0.918812683274642	1
FUT6	10	4	6	0.0192435274506461	-0.00291991961248209	1	1
HNRNPA3	10	6	4	0.019229970924842	0.00426062784838233	0.540817904242618	0.885858208708872
C7orf25	10	7	3	0.0191853552188203	0.0123265505598758	0.126278928554698	0.5991146130562
ANKMY1	10	5	5	0.0191583234398356	0.0132790807021426	0.22127181567247	0.690320734028443
MTMR1	10	7	3	0.019147508514987	0.0110472748207328	0.126278928554698	0.5991146130562
EGFR	10	8	2	0.0191276024199172	0.019771770357638	0.153576396549984	0.639760209321045
JAK2	10	9	1	0.0191219959525087	0.0205385312708883	0.0665457213437161	0.559405962996023
RALBP1	10	6	4	0.0191207153808191	0.00783595038446144	0.610298655976554	0.906590313775391
PEMT	10	6	4	0.0191183021793514	0.0115228013308769	0.308063229907199	0.77534119209603
PHF6	10	5	5	0.0191140864076493	0.00136258461568783	0.475532659596901	0.847532852165475
NMI	10	6	4	0.0191098127490408	0.0323078450891533	0.308063229907199	0.77534119209603
UBA2	10	5	5	0.0190591034418306	0.0231492952090749	0.610298655976554	0.906590313775391
PHF13	10	6	4	0.0190477055781823	0.00694267908743449	0.308063229907199	0.77534119209603
ZSCAN31	10	6	4	0.0190429773236838	0.0137329090107645	0.0831311427008039	0.563775516315722
DENND11	10	5	5	0.0190177499600801	-0.0071255180891336	0.610298655976554	0.906590313775391
LIN7C	10	5	5	0.0189845221431506	0.0024419800720439	0.540817904242618	0.885858208708872
SCFD2	10	6	4	0.0189824987359784	0.0264751565457113	0.262192602406773	0.745071428368784
TOP1	10	5	5	0.0189669186750022	0.0277336308325032	0.610298655976554	0.906590313775391
STK31	10	5	5	0.0189659743691961	0.00559953940086521	0.22127181567247	0.690320734028443
ZNF146	10	6	4	0.0189553906874544	0.00729722912577065	0.838463781922464	1
TRAFD1	10	6	4	0.0189545689464355	0.0120273183681542	0.308063229907199	0.77534119209603
KIF16B	10	6	4	0.018939714957142	0.0180912098440928	0.0831311427008039	0.563775516315722
INTS11	10	6	4	0.0189384582675209	0.0282708583266515	0.308063229907199	0.77534119209603
ARHGEF11	10	7	3	0.0189262454139754	0.0484028950550485	0.358951435852626	0.801438715296161
MCFD2	10	7	3	0.0188796607131508	0.0323228779773506	0.308063229907199	0.77534119209603
TSKU	10	6	4	0.0188667345987255	0.0195640312135925	0.414823067184775	0.801438715296161
TOR4A	10	6	4	0.0188493942624045	0.0110954369588871	0.262192602406773	0.745071428368784
CSTF3	10	5	5	0.0188481167309886	0.00150649257463344	0.414823067184775	0.801438715296161
PAN2	10	5	5	0.0188456374743086	-0.00442049940504998	0.759765825978067	0.972318037896177
DNAJB6	10	9	1	0.018845486272908	0.0372590371389017	0.0831311427008039	0.563775516315722
HIST1H3I	10	6	4	0.0188277460874844	0.00845764345423708	0.610298655976554	0.906590313775391
ASH1L	10	7	3	0.0188266731795384	0.0079676612893114	0.414823067184775	0.801438715296161
SPAST	10	8	2	0.0188145140107742	0.0193793941297467	0.153576396549984	0.639760209321045
GSK3B	10	5	5	0.0188116693742283	0.000716690489732448	0.759765825978067	0.972318037896177
TRIAP1	10	6	4	0.0187996671818585	0.0112438970700361	0.358951435852626	0.801438715296161
POLDIP3	10	5	5	0.0187953610496981	-0.00851724665491639	1	1
BAHD1	10	6	4	0.0187941189647351	0.0159959185486003	0.540817904242618	0.885858208708872
C12orf66	10	7	3	0.0187929694512537	0.0116818736065088	0.0831311427008039	0.563775516315722
HMOX2	10	6	4	0.0187909513345149	0.020716722246304	0.358951435852626	0.801438715296161
PEX1	10	5	5	0.018779166092475	0.00270265701332565	0.610298655976554	0.906590313775391
GTF2A1	10	5	5	0.0187750395393729	0.00244851476333267	0.414823067184775	0.801438715296161
KIAA0100	10	6	4	0.0187546569319749	0.0363749557217137	0.308063229907199	0.77534119209603
SEC24C	10	6	4	0.0187537440454179	0.012603548167176	0.475532659596901	0.847532852165475
HPCAL1	10	4	6	0.0187217908445247	-0.0153574823894885	1	1
CHIC2	10	6	4	0.0187174004969665	0.0315906242379499	0.475532659596901	0.847532852165475
HK2	10	7	3	0.0187168297658324	0.0257594226188733	0.22127181567247	0.690320734028443
PDLIM7	10	5	5	0.0187159856586769	-0.00134144063026645	0.759765825978067	0.972318037896177
USP10	10	7	3	0.018709389307811	0.01439536454251	0.0831311427008039	0.563775516315722
PRSS16	10	5	5	0.0186960350873307	0.00620286196400903	0.22127181567247	0.690320734028443
IKBKE	10	6	4	0.018695027520623	0.0095938968787436	0.358951435852626	0.801438715296161
DNAJA4	10	6	4	0.0186815032739409	0.0165550211394865	0.540817904242618	0.885858208708872
MFSD6	10	7	3	0.0186599009797607	0.0143148361503649	0.126278928554698	0.5991146130562
SLC45A4	10	7	3	0.0186506253932242	0.0183012319317129	0.262192602406773	0.745071428368784
CRIP1	10	7	3	0.0186216023110664	0.0349258002886719	0.414823067184775	0.801438715296161
MYO7B	10	7	3	0.0186194200457782	0.0126223799903513	0.0323129112432441	0.513958086545659
RAI2	10	7	3	0.0186192879067951	0.0166678860886818	0.0831311427008039	0.563775516315722
TM9SF4	10	5	5	0.0186173907672727	0.00285348803835593	0.759765825978067	0.972318037896177
RAB3IL1	10	5	5	0.0186155642201816	0.010742932238334	0.22127181567247	0.690320734028443
TEX9	10	6	4	0.0186102764290895	0.0160374449269172	0.22127181567247	0.690320734028443
CHD4	10	5	5	0.0186018576419517	0.00795891800546179	0.414823067184775	0.801438715296161
CCDC186	10	6	4	0.0185714196264783	0.00448219542687209	0.358951435852626	0.801438715296161
MARCH5	10	6	4	0.0185626954105226	0.010642032604169	0.358951435852626	0.801438715296161
SAA1	10	6	4	0.018533888732898	0.00830804660569937	0.540817904242618	0.885858208708872
BTN3A1	10	6	4	0.0185280266975563	0.015726687827314	0.22127181567247	0.690320734028443
CCNK	10	6	4	0.0185241830091324	0.0206518497849629	0.540817904242618	0.885858208708872
IER5L	10	5	5	0.0185146095036782	0.00531603986446187	0.475532659596901	0.847532852165475
INPP4B	10	4	6	0.0185106566217639	-0.0111999125733762	0.838463781922464	1
KIF13B	10	4	6	0.0185091451014644	-0.0200329110362477	0.610298655976554	0.906590313775391
PIK3C2G	10	4	6	0.0185061695501672	-0.00655363984855686	1	1
SMPD4	10	5	5	0.0184835491130042	0.00384452718483702	0.610298655976554	0.906590313775391
TP53BP1	10	7	3	0.0184820424787527	0.0195684631119143	0.358951435852626	0.801438715296161
COPS6	10	6	4	0.0184810479100543	0.0320467663918205	0.358951435852626	0.801438715296161
FAM126B	10	7	3	0.0184671754882952	0.0104752515587281	0.475532659596901	0.847532852165475
PHLDB3	10	7	3	0.0184356261236274	0.00757891088444727	0.358951435852626	0.801438715296161
USP5	10	6	4	0.0183698522375373	0.0189613750291804	0.683480902201426	0.943844307269161
ANKEF1	10	7	3	0.0183627256946478	0.0167766216077944	0.102917539402853	0.563775516315722
RAB2B	10	6	4	0.0183580981684997	0.0131751905226723	0.358951435852626	0.801438715296161
ATP6V0A1	10	5	5	0.0183355148449779	0.00574517668594356	0.475532659596901	0.847532852165475
TAOK3	10	6	4	0.0183296523567217	0.0211946729334389	0.475532659596901	0.847532852165475
PTDSS1	10	5	5	0.0183251213680036	0.0129056468273294	0.308063229907199	0.77534119209603
ANKRD49	10	6	4	0.0183186373743901	0.00426614427709819	0.308063229907199	0.77534119209603
PPTC7	10	7	3	0.018317629044322	0.0151759022276722	0.0665457213437161	0.559405962996023
DEDD2	10	5	5	0.0183152640560244	0.00742900367815823	0.414823067184775	0.801438715296161
THTPA	10	7	3	0.0182959930525242	0.021080013416829	0.153576396549984	0.639760209321045
LYPLAL1	10	4	6	0.018273911972628	-0.0132413675060822	0.759765825978067	0.972318037896177
RFX2	10	7	3	0.0182708807482645	0.0177377944000936	0.126278928554698	0.5991146130562
ATG3	10	5	5	0.0182707798599958	0.00466524121962082	0.358951435852626	0.801438715296161
BRMS1	10	5	5	0.0182185275917029	0.0112479918484517	0.414823067184775	0.801438715296161
TTLL5	10	7	3	0.0182062968933108	0.0263959482498546	0.414823067184775	0.801438715296161
MTIF3	10	6	4	0.0182018403098252	0.00901288903950653	0.759765825978067	0.972318037896177
UPP1	10	8	2	0.0181935341460111	0.0209680624613393	0.22127181567247	0.690320734028443
UXT	10	6	4	0.018190365956668	0.00531358989567819	0.358951435852626	0.801438715296161
FAM174B	10	5	5	0.0181750872228741	0.000594262208953859	0.540817904242618	0.885858208708872
FAM8A1	10	5	5	0.0181416083502912	0.00200317368460186	0.414823067184775	0.801438715296161
MMUT	10	6	4	0.0181414778016988	0.0166861968721177	0.358951435852626	0.801438715296161
C12orf43	10	5	5	0.0181411561502042	0.000615653462527101	0.540817904242618	0.885858208708872
STX3	10	5	5	0.0181398112702224	0.00594909974719738	0.540817904242618	0.885858208708872
TMED4	10	4	6	0.0181245178057352	-0.00371235169491565	0.838463781922464	1
SH3GLB2	10	7	3	0.0181182113918822	0.0053375716220823	0.308063229907199	0.77534119209603
MOAP1	10	5	5	0.0180993669837393	0.0162304271227446	0.262192602406773	0.745071428368784
CITED4	10	5	5	0.0180849591069036	0.000910324477485847	0.683480902201426	0.943844307269161
CCDC125	10	5	5	0.0180800039093055	0.00643315008859566	0.358951435852626	0.801438715296161
CMTM6	10	6	4	0.0180781623337446	0.024886861133475	0.414823067184775	0.801438715296161
AMD1	10	5	5	0.0180716418160204	-0.00651455253421623	1	1
MAD2L1BP	10	7	3	0.0180702817189689	0.0147241072603521	0.153576396549984	0.639760209321045
SLC35F2	10	4	6	0.0180662445124762	-0.00433040734943827	0.918812683274642	1
MAPKAPK5	10	6	4	0.0180605732522823	0.0226781291790765	0.262192602406773	0.745071428368784
RASSF7	10	5	5	0.0180448877037421	0.00316339457308002	0.683480902201426	0.943844307269161
SUPT6H	10	6	4	0.0180437869917427	0.0274556591252781	0.475532659596901	0.847532852165475
SARM1	10	6	4	0.0180261042260226	0.00235362966093313	0.358951435852626	0.801438715296161
CIR1	10	7	3	0.0180255793391857	0.0171470925219564	0.262192602406773	0.745071428368784
ANKRD52	10	5	5	0.0179854684082423	0.0011253468071088	0.475532659596901	0.847532852165475
BAG5	10	6	4	0.0179834547399786	0.00640462697541537	0.358951435852626	0.801438715296161
PSMD2	10	6	4	0.0179713174701139	0.0288932299015078	0.683480902201426	0.943844307269161
BICRAL	10	5	5	0.017953630785244	-0.00274498202632749	0.475532659596901	0.847532852165475
GALM	10	5	5	0.0179468138050646	0.0101172085740793	0.475532659596901	0.847532852165475
TSHZ1	10	6	4	0.0179466686494914	0.0105725257910877	0.358951435852626	0.801438715296161
COPS5	10	7	3	0.0179348796447348	0.0288405059301662	0.358951435852626	0.801438715296161
MPPE1	10	4	6	0.0179108709568695	-0.00485848196056395	0.759765825978067	0.972318037896177
KIF3A	10	4	6	0.0178836214928227	-0.00903979476936004	0.540817904242618	0.885858208708872
THAP4	10	6	4	0.0178719421389868	0.0199628540392485	0.358951435852626	0.801438715296161
ARID2	10	6	4	0.0178513681795361	0.0177239009653659	0.414823067184775	0.801438715296161
SS18	10	5	5	0.0178372773808894	-2.73469265062234e-05	0.838463781922464	1
CX3CL1	10	7	3	0.0178264895936345	0.0230536482042185	0.185143724157873	0.639760209321045
UCHL5	10	5	5	0.0178088872282958	0.00941980100744067	0.475532659596901	0.847532852165475
EXOC6	10	5	5	0.0177926150021816	0.00890116257900498	0.308063229907199	0.77534119209603
KDM2A	10	6	4	0.0177918654506082	0.0106834156010898	0.308063229907199	0.77534119209603
PPP1R15B	10	6	4	0.0177881110968862	0.0150593072096128	0.475532659596901	0.847532852165475
ECT2	10	6	4	0.0177878931689637	0.00895780247917432	0.540817904242618	0.885858208708872
KIF20B	10	7	3	0.0177759458454563	0.00859408183296157	0.22127181567247	0.690320734028443
ADNP	10	5	5	0.0177723314981355	-0.00893757935178435	0.759765825978067	0.972318037896177
ZNF10	10	7	3	0.0177713582161802	0.0106081286373269	0.22127181567247	0.690320734028443
DNAJC30	10	6	4	0.0177701140060489	0.0250429018314256	0.262192602406773	0.745071428368784
ZNF644	10	5	5	0.0177643305939794	0.00104534120063709	0.759765825978067	0.972318037896177
TTC7A	10	5	5	0.0177619079780491	0.0041791339730722	0.683480902201426	0.943844307269161
CCDC66	10	6	4	0.0177544130258518	0.00766771165086717	0.185143724157873	0.639760209321045
ACYP2	10	7	3	0.0177534442635321	0.00422304425268272	0.308063229907199	0.77534119209603
TRAPPC2	10	5	5	0.0177519915648243	0.0027034735489076	0.475532659596901	0.847532852165475
EHBP1	10	4	6	0.0177388343585653	-0.009134139393067	0.838463781922464	1
FAAH	10	5	5	0.0177358050773316	-0.00469543253524955	0.838463781922464	1
ANG	10	4	6	0.0177341191527319	-0.00546983322938664	0.610298655976554	0.906590313775391
STX4	10	5	5	0.0177125889665101	-0.000875570857807616	0.683480902201426	0.943844307269161
UBE2H	10	6	4	0.0176988594487155	0.0112575342185385	0.475532659596901	0.847532852165475
DNAJC17	10	6	4	0.0176880982350819	0.00798797585365654	0.414823067184775	0.801438715296161
RPAIN	10	5	5	0.0176831943668791	0.000582205671060876	0.475532659596901	0.847532852165475
C6orf226	10	4	6	0.0176810087665796	-0.00207691906738508	0.918812683274642	1
MORN1	10	7	3	0.0176803729620509	0.0128986364297735	0.153576396549984	0.639760209321045
TMBIM1	10	4	6	0.0176612599822721	-0.0175021499877317	0.918812683274642	1
PPP4R2	10	6	4	0.0176401809357359	0.0167385983912441	0.308063229907199	0.77534119209603
SPEN	10	6	4	0.0176342078905054	0.00910504933802684	0.414823067184775	0.801438715296161
B3GALNT1	10	6	4	0.0176183030619752	0.00821984356858049	0.358951435852626	0.801438715296161
ABHD17C	10	4	6	0.0176169110766919	-0.0151735937489382	1	1
DVL3	10	7	3	0.0176137422089823	0.0215007248725852	0.308063229907199	0.77534119209603
FGFR4	10	5	5	0.0176134164851928	0.000556445653758468	0.759765825978067	0.972318037896177
ASPHD1	10	6	4	0.0176018093612242	0.0060451319537849	0.262192602406773	0.745071428368784
GOLPH3L	10	4	6	0.0175927472763325	-0.0200471176047191	1	1
FCF1	10	8	2	0.0175885844348363	0.0132997164416913	0.0831311427008039	0.563775516315722
SLC35C1	10	7	3	0.017565552982769	0.0267387447462573	0.262192602406773	0.745071428368784
ISOC2	10	6	4	0.0175652659904625	0.0031238760796632	0.683480902201426	0.943844307269161
IDUA	10	5	5	0.0175588039936431	0.00548179251416173	0.540817904242618	0.885858208708872
ABHD4	10	6	4	0.0175571513612652	0.0119842135303293	0.540817904242618	0.885858208708872
WFDC3	10	7	3	0.017552250318941	0.0244419916361194	0.0527870006322246	0.559405962996023
NIPSNAP1	10	4	6	0.0175479211664804	-0.00813441833823504	0.838463781922464	1
SLC9A3	10	5	5	0.0175207587675853	0.00230633969547273	0.22127181567247	0.690320734028443
SUSD1	10	6	4	0.0174985347717492	0.0309852308283697	0.185143724157873	0.639760209321045
IGFBP3	10	6	4	0.0174975610921988	0.071668765887585	0.683480902201426	0.943844307269161
SLC44A3	10	6	4	0.017487171900968	0.0178766533021658	0.22127181567247	0.690320734028443
ZDHHC13	10	6	4	0.0174847852701614	0.011985956844099	0.683480902201426	0.943844307269161
NFATC2IP	10	6	4	0.0174820797202122	0.0260223448833195	0.153576396549984	0.639760209321045
DHFR	10	6	4	0.0174754469491739	0.00829568576351544	0.358951435852626	0.801438715296161
CHMP2B	10	5	5	0.0174556745201121	0.000441862139321954	0.838463781922464	1
C4BPB	10	7	3	0.0174337411124613	0.0112979727893121	0.185143724157873	0.639760209321045
CEP131	10	6	4	0.0174302798954618	0.00460032296974707	0.610298655976554	0.906590313775391
INTS8	10	5	5	0.0174288639185327	0.0106411503398555	0.358951435852626	0.801438715296161
SAR1B	10	7	3	0.017426692028029	0.0235397394055472	0.475532659596901	0.847532852165475
DEGS2	10	5	5	0.0174246207947189	0.00193781368390131	0.475532659596901	0.847532852165475
RSRP1	10	4	6	0.017420867848025	-0.0248894174061761	1	1
TMEM168	10	5	5	0.0174152799685743	0.00727704346095709	0.414823067184775	0.801438715296161
SRD5A1	10	7	3	0.017404059989171	0.0139910986412225	0.153576396549984	0.639760209321045
GNPAT	10	6	4	0.0174037058607855	0.0133837946373876	0.22127181567247	0.690320734028443
TASOR2	10	6	4	0.017399913211362	0.0294363549159439	0.308063229907199	0.77534119209603
GRB10	10	6	4	0.0173972222290496	0.00700958779591111	0.475532659596901	0.847532852165475
CLUAP1	10	5	5	0.0173960933771576	0.00303596336820449	0.358951435852626	0.801438715296161
DYNLT3	10	7	3	0.017391148063936	0.00468047758148201	0.475532659596901	0.847532852165475
RAB11FIP1	10	5	5	0.0173889676649327	0.00952563451129648	0.610298655976554	0.906590313775391
RBPJ	10	7	3	0.0173881016393941	0.0203809421855566	0.610298655976554	0.906590313775391
LRRC45	10	5	5	0.0173864701923113	0.00920241511755989	0.358951435852626	0.801438715296161
BICC1	10	5	5	0.0173848169981399	0.00259848929403908	0.414823067184775	0.801438715296161
ANK3	10	7	3	0.0173824292375909	0.0180730763511206	0.414823067184775	0.801438715296161
LRP8	10	5	5	0.017375989344927	0.0173534999580825	0.22127181567247	0.690320734028443
RRP12	10	7	3	0.0173758379381579	0.00912979735921984	0.262192602406773	0.745071428368784
C20orf194	10	5	5	0.0173756721373211	-0.00198326166863934	0.475532659596901	0.847532852165475
KLHL20	10	9	1	0.0173527460756464	0.0164724955463228	0.0190588916017305	0.476904740941323
EIF3B	10	4	6	0.0173346657349257	-0.00818127640168517	0.918812683274642	1
ZFP30	10	7	3	0.0173286843141253	0.0178902698174763	0.308063229907199	0.77534119209603
ARHGAP26	10	6	4	0.0173219815161148	0.0136433721866995	0.414823067184775	0.801438715296161
CLUH	10	5	5	0.017321455343949	-0.00344663593348358	0.838463781922464	1
VIPAS39	10	6	4	0.0173167046349162	0.0116177966534354	0.262192602406773	0.745071428368784
PUS1	10	6	4	0.0173145529652605	0.0133717147375861	0.185143724157873	0.639760209321045
STK11	10	6	4	0.0173121943514961	0.0140898127106954	0.262192602406773	0.745071428368784
MOSPD3	10	5	5	0.0173089568558492	0.00782577353748835	0.262192602406773	0.745071428368784
STYK1	10	8	2	0.0173021500268287	0.0122334975938465	0.0527870006322246	0.559405962996023
TLK1	10	5	5	0.017300928839804	0.00131111257984175	0.610298655976554	0.906590313775391
TSPAN6	10	4	6	0.0172842034435035	-0.0111569182059643	1	1
TMEM170A	10	6	4	0.0172718717033762	0.0129332253728905	0.540817904242618	0.885858208708872
SS18L1	10	6	4	0.0172700280770065	0.00906709208297049	0.414823067184775	0.801438715296161
AC007906.2	10	6	4	0.0172610840694775	0.00802232644929592	0.308063229907199	0.77534119209603
PI4KA	10	6	4	0.0172535704081651	0.0183657639641112	0.475532659596901	0.847532852165475
RBBP5	10	5	5	0.0172324296491145	0.0045691867212515	0.414823067184775	0.801438715296161
TINAGL1	10	4	6	0.0172278597694139	-0.0148069312602343	0.838463781922464	1
TRDMT1	10	6	4	0.0172247093010205	0.0177968929475012	0.185143724157873	0.639760209321045
