gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
PRAMEF2	10	0	2	-0.000281435330995684	0	0.371093369522698	0.801438715296161
WNT8B	10	0	2	-0.000281703075149663	0	0.371093369522698	0.801438715296161
NUDT7	10	3	7	-0.000281753441281847	-0.00609043731211686	0.610298655976554	0.906590313775391
BPIFB4	10	0	1	-0.000282086720148744	0	1	1
CCL1	10	0	1	-0.000282231313119693	0	1	1
PKLR	10	0	2	-0.000282750772887177	0	0.371093369522698	0.801438715296161
MANSC4	10	0	2	-0.000282767160775816	0	0.371093369522698	0.801438715296161
OR4D11	10	0	2	-0.000283961216197296	0	0.371093369522698	0.801438715296161
SLC5A5	10	0	2	-0.000285432474994218	0	0.371093369522698	0.801438715296161
CSNK1A1L	10	0	3	-0.000285532772717413	0	0.18144920772142	0.639760209321045
UGT1A9	10	3	6	-0.000285616934104686	-0.00438972527758699	0.635586122278767	0.941676823171334
C1orf127	10	0	3	-0.000285939644932756	0	0.18144920772142	0.639760209321045
OR13D1	10	0	2	-0.000285994511925755	0	0.371093369522698	0.801438715296161
KRT38	10	0	2	-0.000286578102995813	0	0.371093369522698	0.801438715296161
UCP1	10	0	2	-0.00028686964626296	0	0.371093369522698	0.801438715296161
OR10H3	10	0	2	-0.00028686964626296	0	0.371093369522698	0.801438715296161
TEX19	10	0	2	-0.00028694341106158	0	0.371093369522698	0.801438715296161
DEFB118	10	0	2	-0.00028694341106158	0	0.371093369522698	0.801438715296161
GFI1B	10	0	2	-0.000287147724097292	0	0.371093369522698	0.801438715296161
ERC2	10	1	6	-0.000287959969019388	-0.0015697351040036	0.271898710819648	0.759459182375596
FAM71A	10	0	2	-0.000288042615245243	0	0.371093369522698	0.801438715296161
ESYT3	10	3	7	-0.000288186267650502	-0.00364296903967566	0.308063229907199	0.77534119209603
GABRG3	10	0	2	-0.000288533125250287	0	0.371093369522698	0.801438715296161
ASCL3	10	0	3	-0.000288758946887932	0	0.18144920772142	0.639760209321045
PCDHB5	10	2	8	-0.000290181863958157	-0.0102799497228255	0.414823067184775	0.801438715296161
OR2G2	10	0	2	-0.000291076382856123	0	0.371093369522698	0.801438715296161
TRHR	10	0	2	-0.000291265446512127	0	0.371093369522698	0.801438715296161
KRTAP19-5	10	0	2	-0.000291265446512127	0	0.371093369522698	0.801438715296161
NR0B1	10	0	1	-0.000291483255071466	0	1	1
TERT	10	0	2	-0.000291694605241699	0	0.371093369522698	0.801438715296161
XAGE5	10	0	1	-0.000291790846448676	0	1	1
C3orf85	10	0	2	-0.000292109982174877	0	0.371093369522698	0.801438715296161
KRTAP6-3	10	0	2	-0.00029241429461144	0	0.371093369522698	0.801438715296161
OR10A2	10	0	2	-0.00029241429461144	0	0.371093369522698	0.801438715296161
PRAMEF4	10	1	7	-0.000292675695456866	-0.00184382198996216	0.183430618982178	0.639760209321045
SLC22A7	10	0	2	-0.000293727900970158	0	0.371093369522698	0.801438715296161
HS3ST4	10	0	2	-0.000293961188783483	0	0.371093369522698	0.801438715296161
RHO	10	0	2	-0.000294661217042237	0	0.371093369522698	0.801438715296161
RNF224	10	0	2	-0.000295107253043357	0	0.371093369522698	0.801438715296161
PITPNM3	10	4	6	-0.000295311485441885	-0.00436763695230079	1	1
OR10Q1	10	0	2	-0.000295761196698617	0	0.371093369522698	0.801438715296161
SYCP1	10	0	2	-0.000295761196698617	0	0.371093369522698	0.801438715296161
OR5AC2	10	0	2	-0.000295786196236262	0	0.371093369522698	0.801438715296161
OR2M4	10	0	2	-0.000295786196236262	0	0.371093369522698	0.801438715296161
GRXCR1	10	0	2	-0.000295786196236262	0	0.371093369522698	0.801438715296161
KCNH5	10	0	2	-0.000295786196236262	0	0.371093369522698	0.801438715296161
KLF18	10	0	2	-0.000295786196236262	0	0.371093369522698	0.801438715296161
MYH4	10	0	2	-0.000296839847882901	0	0.371093369522698	0.801438715296161
SLC34A1	10	0	3	-0.000296986361564084	0	0.18144920772142	0.639760209321045
KRTAP16-1	10	0	2	-0.000297897620251764	0	0.371093369522698	0.801438715296161
BRSK2	10	2	5	-0.000298077655196124	-0.000768779186895125	0.672603817441517	0.943844307269161
ATP2B3	10	0	1	-0.000298128080494959	0	1	1
KRT74	10	0	2	-0.000298468838929704	0	0.371093369522698	0.801438715296161
KRT84	10	0	3	-0.000298848422272839	0	0.18144920772142	0.639760209321045
DBH	10	0	2	-0.000298887659762011	0	0.371093369522698	0.801438715296161
ASCL1	10	0	2	-0.000299201524695399	0	0.371093369522698	0.801438715296161
SGCG	10	0	3	-0.00029933666893125	0	0.18144920772142	0.639760209321045
H1FOO	10	0	2	-0.000299470731665887	0	0.371093369522698	0.801438715296161
RXFP4	10	2	7	-0.000299513618887075	-0.00129538695555109	0.47719661998877	0.847994237287385
LGR6	10	2	8	-0.0002997092227051	-0.00630325400607905	0.414823067184775	0.801438715296161
OR1A1	10	0	2	-0.000300092753941881	0	0.371093369522698	0.801438715296161
GLYAT	10	0	2	-0.000300306945960397	0	0.371093369522698	0.801438715296161
OTOP3	10	0	2	-0.000300306945960397	0	0.371093369522698	0.801438715296161
NMS	10	0	2	-0.000300306945960397	0	0.371093369522698	0.801438715296161
ASB5	10	0	2	-0.000300306945960397	0	0.371093369522698	0.801438715296161
SERPINA9	10	0	2	-0.000302003725957192	0	0.371093369522698	0.801438715296161
FBN3	10	0	2	-0.000302045695854295	0	0.371093369522698	0.801438715296161
OR51S1	10	0	3	-0.000302128122229972	0	0.18144920772142	0.639760209321045
NPY5R	10	0	2	-0.000302390134694982	0	0.371093369522698	0.801438715296161
GCDH	10	4	6	-0.00030303318278012	-0.0112604832202581	0.610298655976554	0.906590313775391
TRAV27	10	1	3	-0.000303167489398712	0	0.855132140584706	1
SEC14L3	10	0	2	-0.000304827695684532	0	0.371093369522698	0.801438715296161
GFRAL	10	0	2	-0.000304827695684532	0	0.371093369522698	0.801438715296161
DPEP2NB	10	0	2	-0.000304827695684532	0	0.371093369522698	0.801438715296161
RAG2	10	0	2	-0.000304827695684532	0	0.371093369522698	0.801438715296161
CATSPER4	10	0	2	-0.000305622552778885	0	0.371093369522698	0.801438715296161
OR52I1	10	0	2	-0.000305928945557508	0	0.371093369522698	0.801438715296161
AC113348.1	10	0	2	-0.000305928945557508	0	0.371093369522698	0.801438715296161
RALYL	10	1	6	-0.000306020853453551	-0.000949595782160639	0.271898710819648	0.759459182375596
KRT9	10	0	2	-0.000306350173217854	0	0.371093369522698	0.801438715296161
MFRP	10	0	2	-0.000306890109326987	0	0.371093369522698	0.801438715296161
OR14I1	10	0	3	-0.000308136521338089	0	0.18144920772142	0.639760209321045
KDM6B	10	5	5	-0.000308362612330001	0.00151463662270412	1	1
TMEM130	10	4	6	-0.000308875788724304	-0.00617136155553003	0.838463781922464	1
PRR16	10	5	5	-0.000309164837742324	-0.00459809862519384	0.838463781922464	1
CA7	10	0	3	-0.000309473394883635	0	0.18144920772142	0.639760209321045
FGF19	10	2	7	-0.000310878023491738	-0.00196480122359672	0.155131568727114	0.639760209321045
KCNC2	10	0	1	-0.00031091547207623	0	1	1
NRSN1	10	1	3	-0.000310991290146216	0	0.583882420770365	0.906590313775391
KRTAP4-8	10	0	3	-0.000311499743777913	0	0.18144920772142	0.639760209321045
OR4S2	10	0	2	-0.000311765137173136	0	0.371093369522698	0.801438715296161
SLCO5A1	10	3	7	-0.000311920628925241	-0.0035935308564328	0.358951435852626	0.801438715296161
FREM3	10	0	2	-0.000311931730965315	0	0.371093369522698	0.801438715296161
DEFB116	10	0	2	-0.000311931730965315	0	0.371093369522698	0.801438715296161
KRT37	10	0	2	-0.000313024659470051	0	0.371093369522698	0.801438715296161
KIF19	10	0	3	-0.000313035239801299	0	0.18144920772142	0.639760209321045
F9	10	0	2	-0.000313493804602353	0	0.371093369522698	0.801438715296161
PGLYRP2	10	0	3	-0.000314713730795552	0	0.18144920772142	0.639760209321045
ATP8B3	10	3	7	-0.000314792658773653	-0.00753149744099114	0.918812683274642	1
