target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNE4	LAMB3	10	2	8	-0.112597554297818	-0.136080811705461	0.0144328239388418	0.161099033531638
KCNE4	TLE5	10	0	10	-0.111603244054078	-0.0965537613786764	0.00592153702414871	0.161099033531638
KCNE4	KRT18	10	3	7	-0.111451769608469	-0.113627566538255	0.0414910873877316	0.23089889076632
KCNE4	CTSE	10	2	8	-0.110929929945	-0.0780187414567685	0.0249324556028631	0.194807070518442
KCNJ15	TIMP3	9	1	8	-0.164435483725558	-0.188810419657876	0.0580240199462214	0.643209163374346
KCNJ15	CCN2	9	3	6	-0.157542732438899	-0.253231853565841	0.123534253752569	0.672084709100861
KCNJ15	IGKC	9	1	8	-0.14254401296133	-0.101249106573318	0.0178171887595787	0.604643067367298
KCNJ15	IGHG1	9	1	8	-0.136850886721501	-0.0496125857409035	0.0243902414330541	0.604643067367298
KCNJ15	THBS1	9	2	7	-0.135171527527133	-0.137206514553854	0.0329693812442201	0.630626572191524
KCNJ15	COL6A3	9	2	7	-0.132782499916785	-0.139191397750955	0.123534253752569	0.672084709100861
KCNJ15	DCN	9	3	6	-0.13220727149035	-0.0996445692484615	0.192517572436471	0.694300958743689
KCNJ15	RARRES2	9	2	7	-0.125037195263304	-0.132738505916891	0.0243902414330541	0.604643067367298
KCNJ15	CCN1	9	3	6	-0.122777271775654	-0.183983524479258	0.192517572436471	0.694300958743689
KCNJ15	CCDC80	9	1	8	-0.118034180312267	-0.0738515119438126	0.0178171887595787	0.604643067367298
KCNJ15	PCOLCE	9	1	8	-0.116546402779866	-0.0671265665931043	0.0329693812442201	0.630626572191524
KCNJ15	C1S	9	3	6	-0.108583877705259	-0.0373800454233722	0.155131568727114	0.694300958743689
KCNJ15	MMP2	9	2	7	-0.107513306339855	-0.118722980561843	0.155131568727114	0.694300958743689
KCNJ15	LUM	9	3	6	-0.105040323224258	-0.117665635806777	0.155131568727114	0.694300958743689
KCNJ15	COL6A2	9	4	5	-0.102352929049042	-0.0584235528359591	0.155131568727114	0.694300958743689
KCNJ15	IGLC1	9	1	8	-0.0981868064292639	-0.0725922340800948	0.0329693812442201	0.630626572191524
KCNJ15	INS	9	1	7	-0.0974043285786676	-0.0396226124232013	0.107327557761612	0.672084709100861
KCNJ15	FBN1	9	2	7	-0.0973158118151105	-0.105359463373971	0.192517572436471	0.694300958743689
KCNJ15	SPARC	9	2	7	-0.0946353752442068	-0.0479731391665399	0.192517572436471	0.694300958743689
KCNJ15	AEBP1	9	4	5	-0.0939528218800828	-0.0715820536061255	0.286320596793059	0.799231752005123
KCNJ15	CNBP	9	1	8	-0.0939101937661568	-0.055401847607344	0.0128512401874965	0.580666975927265
KCNJ15	COL5A1	9	4	5	-0.092565911351637	-0.134062015889038	0.286320596793059	0.799231752005123
KCNJ15	PTGDS	9	3	6	-0.0918731698834987	-0.0485514717519253	0.286320596793059	0.799231752005123
KCNJ15	COL1A1	9	4	5	-0.0911060612400935	-0.00626845181565994	0.47719661998877	0.880073260594674
KCNJ15	MYL9	9	2	7	-0.0900091858319192	-0.0551123185951715	0.155131568727114	0.694300958743689
KCNJ15	IGFBP4	9	3	6	-0.0847120307840968	-0.0450094222122433	0.192517572436471	0.694300958743689
KCNJ15	IGFBP7	9	3	6	-0.0846577724815613	-0.0757920219111519	0.236136970221653	0.75321109036256
KCNJ15	MORF4L1	9	1	8	-0.0845908389098494	-0.0551348382664285	0.0178171887595787	0.604643067367298
KCNJ15	PHLDA1	9	2	7	-0.0842740469679567	-0.0932301601958563	0.0755605675259413	0.672084709100861
KCNJ15	FBLN1	9	4	5	-0.0839401557701639	-0.00166181936286199	0.406941216918031	0.839001670220211
KCNJ16	FN1	3	0	3	-0.475020601663479	-0.163430888721866	0.18144920772142	0.618012745182369
KCNJ16	CCN2	3	0	3	-0.413208127129348	-0.144535039032224	0.18144920772142	0.618012745182369
KCNJ16	POSTN	3	0	3	-0.357605053740428	-0.181711869433776	0.18144920772142	0.618012745182369
KCNJ16	COL5A2	3	0	3	-0.309021818487923	-0.128951250778303	0.18144920772142	0.618012745182369
KCNJ16	CCN1	3	1	2	-0.302994500286551	-0.0437264607449698	0.422678074170635	0.763996210043241
KCNJ16	COL1A1	3	0	3	-0.297758993145447	-0.0808526306553876	0.18144920772142	0.618012745182369
KCNJ16	COL1A2	3	1	2	-0.291083449184517	-0.328614705165822	0.422678074170635	0.763996210043241
KCNJ16	SERPINE1	3	1	2	-0.275705071318516	-0.0882941326389804	0.422678074170635	0.763996210043241
KCNJ16	TIMP3	3	2	1	-0.27495737630508	0.00430180422445869	1	1
KCNJ16	ACTA2	3	0	3	-0.274731398471177	-0.0463836109068677	0.18144920772142	0.618012745182369
KCNJ16	TAGLN	3	1	2	-0.263168061536495	-0.070944852278003	0.789268026134281	1
KCNJ16	THBS1	3	1	2	-0.256078213433015	-0.172294448227053	0.422678074170635	0.763996210043241
KCNJ16	MMP1	3	1	2	-0.248705745955544	-0.0795332956334132	0.422678074170635	0.763996210043241
KCNJ16	GREM1	3	1	2	-0.24493382860223	-0.0440709908767905	0.789268026134281	1
KCNJ16	ECM1	3	0	3	-0.241726222462407	-0.133416574577236	0.18144920772142	0.618012745182369
KCNJ16	IGFBP3	3	0	3	-0.239640104257057	-0.132899382721668	0.18144920772142	0.618012745182369
KCNJ16	LGALS1	3	1	2	-0.238479149192836	-0.104629376542577	0.422678074170635	0.763996210043241
KCNJ16	AEBP1	3	2	1	-0.230711713062874	0.0172178936602549	1	1
KCNJ16	DUSP1	3	0	3	-0.229249771210904	-0.131488142713733	0.18144920772142	0.618012745182369
KCNJ16	NBL1	3	0	3	-0.226751498434384	-0.0658011117477665	0.18144920772142	0.618012745182369
KCNJ16	THBS2	3	2	1	-0.225434203418625	0.065492047067398	1	1
KCNJ16	H1F0	3	0	3	-0.219470336569498	-0.105900957620985	0.18144920772142	0.618012745182369
KCNJ16	CSTB	3	1	2	-0.218803496265772	-0.303501379998036	0.422678074170635	0.763996210043241
KCNJ16	COL6A2	3	1	2	-0.210788242358527	-0.0439629176697544	0.789268026134281	1
KCNJ16	MMP2	3	2	1	-0.205058012983783	0.0185466450663601	1	1
KCNJ16	COL3A1	3	0	3	-0.203352425450263	-0.107499944797292	0.18144920772142	0.618012745182369
KCNJ16	SCD	3	0	3	-0.199470705167495	-0.128800123787333	0.18144920772142	0.618012745182369
KCNJ16	MYL9	3	1	2	-0.197925153835064	-0.0347311980373004	0.422678074170635	0.763996210043241
KCNJ16	COL11A1	3	1	2	-0.197865700337421	-0.098615917936038	0.422678074170635	0.763996210043241
KCNJ16	IFI27	3	1	2	-0.197662572136528	-0.270994416969159	0.422678074170635	0.763996210043241
KCNJ8	S100A6	10	0	10	-0.210966389030653	-0.169449165736565	0.00592153702414871	0.261494083413674
KCNJ8	LCN2	10	0	10	-0.196754618446692	-0.0980726409417421	0.00592153702414871	0.261494083413674
KCNJ8	KRT8	10	0	10	-0.1913096083689	-0.137029571123131	0.00592153702414871	0.261494083413674
KCNJ8	KRT7	10	1	9	-0.183101647829841	-0.20139196947964	0.00804523748656169	0.261494083413674
KCNJ8	MUC1	10	0	10	-0.17451692320152	-0.12334652420133	0.00592153702414871	0.261494083413674
KCNJ8	S100A11	10	0	10	-0.154481623156694	-0.117583388425339	0.00592153702414871	0.261494083413674
KCNJ8	ITGA3	10	1	9	-0.141679166573048	-0.0977546662243575	0.0108269212771313	0.261494083413674
KCNJ8	SPINT2	10	2	8	-0.141404342227105	-0.102895311649813	0.0144328239388418	0.261494083413674
KCNJ8	PMEPA1	10	2	8	-0.141036725358091	-0.12395478036144	0.0144328239388418	0.261494083413674
KCNJ8	GPRC5A	10	0	10	-0.137829128050236	-0.121618170700039	0.00592153702414871	0.261494083413674
KCNJ8	LAMC2	10	1	9	-0.133964989297581	-0.14701502155588	0.0190588916017305	0.299086934860391
KCNJ8	LGALS4	10	1	9	-0.130929650549478	-0.0981447261097868	0.0108269212771313	0.261494083413674
KCNJ8	S100A10	10	2	8	-0.130654284965505	-0.167479404702112	0.0144328239388418	0.261494083413674
KCNJ8	WFDC2	10	0	10	-0.1304359243026	-0.0890845595844507	0.00592153702414871	0.261494083413674
KCNJ8	ENO1	10	2	8	-0.129919090791731	-0.114461644539004	0.0144328239388418	0.261494083413674
KCNJ8	ANXA2	10	1	9	-0.127046207213236	-0.133398671484906	0.0108269212771313	0.261494083413674
KCNJ8	ATP1B1	10	0	10	-0.125338072232114	-0.108237791643231	0.00592153702414871	0.261494083413674
KCNJ8	CTSE	10	0	10	-0.12490931289071	-0.0767208572437302	0.00592153702414871	0.261494083413674
KCNJ8	ELF3	10	1	9	-0.12463183862725	-0.125705930345676	0.0108269212771313	0.261494083413674
KCNJ8	EPCAM	10	1	9	-0.12425082996598	-0.148170437214399	0.0249324556028631	0.299086934860391
KCNJ8	SPINK1	10	1	9	-0.123637960817105	-0.0735670859339963	0.00804523748656169	0.261494083413674
KCNJ8	SLPI	10	1	9	-0.123037202275892	-0.0938893780353151	0.0144328239388418	0.261494083413674
KCNJ8	COX6B1	10	1	9	-0.119200367826358	-0.150939531848872	0.0108269212771313	0.261494083413674
KCNJ8	C19orf33	10	2	8	-0.118532882969546	-0.127406914866352	0.0249324556028631	0.299086934860391
KCNJ8	LAMB3	10	1	9	-0.112510699929464	-0.0999041484817254	0.0108269212771313	0.261494083413674
KCNJ8	S100A14	10	1	9	-0.111984705303908	-0.129883764957519	0.0190588916017305	0.299086934860391
KCNJ8	PSCA	10	1	9	-0.110096872605379	-0.0943147229143014	0.00804523748656169	0.261494083413674
KCNJ8	KRT18	10	2	8	-0.108628220320102	-0.0699106796396054	0.0144328239388418	0.261494083413674
KCNJ8	ACTN4	10	1	9	-0.108579636262662	-0.0883089148351791	0.0249324556028631	0.299086934860391
KCNJ8	CAPN2	10	2	8	-0.106440621877925	-0.122469878937142	0.0414910873877316	0.339018212633089
KCNK1	ACTA2	10	2	8	-0.145960905733196	-0.173134055996791	0.0190588916017305	0.444166072987332
KCNK1	FBN1	10	1	9	-0.14485804393901	-0.135308909905545	0.00804523748656169	0.405462736079629
KCNK1	COL1A2	10	2	8	-0.144558396356434	-0.148334997033244	0.0249324556028631	0.453604821165603
KCNK1	CCN2	10	0	10	-0.143630647690025	-0.169524368729819	0.00592153702414871	0.405462736079629
KCNK1	THBS1	10	1	9	-0.136538087827732	-0.126567627132344	0.0108269212771313	0.405462736079629
KCNK1	AEBP1	10	2	8	-0.135375456055165	-0.145919098775718	0.0144328239388418	0.405462736079629
KCNK1	COL1A1	10	2	8	-0.134874558138226	-0.157519046182652	0.0249324556028631	0.453604821165603
KCNK1	IGKC	10	2	8	-0.134414971640045	-0.104357034432458	0.0414910873877316	0.487694433485613
KCNK1	IGFBP5	10	0	10	-0.134178485228515	-0.11707690138535	0.00592153702414871	0.405462736079629
KCNK1	DCN	10	0	10	-0.134000717317383	-0.1023376745099	0.00592153702414871	0.405462736079629
KCNK1	CAVIN1	10	1	9	-0.12811382083936	-0.0973614062026289	0.0108269212771313	0.405462736079629
KCNK1	IGHG1	10	1	9	-0.122678573378531	-0.109807887757127	0.00804523748656169	0.405462736079629
KCNK1	A2M	10	0	10	-0.120126238205406	-0.109537402520202	0.00592153702414871	0.405462736079629
KCNK1	C1R	10	1	9	-0.119781387112297	-0.103208522972042	0.00804523748656169	0.405462736079629
KCNK1	COL3A1	10	3	7	-0.119208029815328	-0.106501062291785	0.0831311427008039	0.535108959010471
KCNK1	LUM	10	0	10	-0.118410915052017	-0.0860628915437518	0.00592153702414871	0.405462736079629
KCNK1	SPARC	10	2	8	-0.118336615953456	-0.125246383643762	0.0190588916017305	0.444166072987332
KCNK1	MXRA7	10	1	9	-0.117099156408664	-0.12192995834304	0.00804523748656169	0.405462736079629
KCNK1	THBS2	10	2	8	-0.11487510483704	-0.118178111873092	0.0144328239388418	0.405462736079629
KCNK1	MYL9	10	2	8	-0.11420970505517	-0.129973587517278	0.0190588916017305	0.444166072987332
KCNK1	CXCR4	10	1	9	-0.113857714240827	-0.074787575347123	0.00804523748656169	0.405462736079629
KCNK1	COL4A1	10	1	9	-0.111860689950967	-0.119027871446291	0.00804523748656169	0.405462736079629
KCNK1	FBLN1	10	1	9	-0.110696339471834	-0.0864021864443092	0.00804523748656169	0.405462736079629
KCNK1	VIM	10	2	8	-0.108110845025617	-0.124425435476471	0.0414910873877316	0.487694433485613
KCNK1	CCN1	10	2	8	-0.108099442746772	-0.085651525781256	0.0144328239388418	0.405462736079629
KCNK1	IGFBP7	10	1	9	-0.106864058301625	-0.11954592235215	0.0527870006322246	0.524868506064768
KCNK1	COL6A3	10	3	7	-0.104974986831254	-0.0807821857806423	0.0527870006322246	0.524868506064768
KCNK1	GREM1	10	1	9	-0.104237241437142	-0.116663852506603	0.00804523748656169	0.405462736079629
KCNK1	TIMP3	10	3	7	-0.104038114332073	-0.120246258001156	0.0323129112432441	0.487694433485613
KCNK1	SFRP4	10	1	9	-0.103994884666302	-0.0842635325406364	0.0108269212771313	0.405462736079629
KCNK15	VCAN	3	0	3	-0.244426434566987	-0.175785131277084	0.18144920772142	0.66735075620512
KCNK15	CCN1	3	0	3	-0.242287714854505	-0.190936290238194	0.18144920772142	0.66735075620512
KCNK15	MYC	3	0	3	-0.209807025131107	-0.204262797913298	0.18144920772142	0.66735075620512
KCNK15	C1R	3	0	3	-0.203829441886998	-0.223693071049034	0.18144920772142	0.66735075620512
KCNK15	C11orf96	3	0	3	-0.198716504249892	-0.169699705061841	0.18144920772142	0.66735075620512
KCNK15	NBL1	3	0	3	-0.196009767371761	-0.262484307093656	0.18144920772142	0.66735075620512
KCNK15	ITGA5	3	0	3	-0.195691764320166	-0.190265044082229	0.18144920772142	0.66735075620512
KCNK15	P4HB	3	0	3	-0.191512992991277	-0.163148544843283	0.18144920772142	0.66735075620512
KCNK15	SOD2	3	0	3	-0.186039132195547	-0.25612883716847	0.18144920772142	0.66735075620512
KCNK15	DCN	3	0	3	-0.182657506135777	-0.187464588256212	0.18144920772142	0.66735075620512
KCNK15	PTK7	3	0	3	-0.180876190570199	-0.240600402173181	0.18144920772142	0.66735075620512
KCNK15	ECM1	3	0	3	-0.18033376153263	-0.198222474954243	0.18144920772142	0.66735075620512
KCNK15	INHBA	3	0	3	-0.178106745685528	-0.15280079335418	0.18144920772142	0.66735075620512
KCNK15	EIF3A	3	0	3	-0.176411675817038	-0.20287932049467	0.18144920772142	0.66735075620512
KCNK15	NME2	3	0	3	-0.173786969322818	-0.214464786655924	0.18144920772142	0.66735075620512
KCNK15	C4orf3	3	0	3	-0.172632869601373	-0.143026858769882	0.18144920772142	0.66735075620512
KCNK15	MT2A	3	0	3	-0.171726808696689	-0.177878400535942	0.18144920772142	0.66735075620512
KCNK15	SPP1	3	1	2	-0.170897496102059	-0.22055423305089	0.422678074170635	0.801061705592496
KCNK15	NR4A1	3	0	3	-0.168836634905502	-0.213584869060716	0.18144920772142	0.66735075620512
KCNK15	C1S	3	0	3	-0.164413682249838	-0.178256136509866	0.18144920772142	0.66735075620512
KCNK15	DDIT4	3	1	2	-0.161980797789738	-0.144483114979446	0.422678074170635	0.801061705592496
KCNK15	MFAP5	3	0	3	-0.161054743897896	-0.145014661917022	0.18144920772142	0.66735075620512
KCNK15	TSC22D3	3	1	2	-0.159030184175892	-0.131296149569209	0.422678074170635	0.801061705592496
KCNK15	EGLN3	3	0	3	-0.158897622918695	-0.142630571282817	0.18144920772142	0.66735075620512
KCNK15	BST2	3	0	3	-0.158240294424161	-0.179422888867221	0.18144920772142	0.66735075620512
KCNK15	COL16A1	3	0	3	-0.156469691546299	-0.0708287367590436	0.18144920772142	0.66735075620512
KCNK15	PSMB4	3	0	3	-0.153768978807814	-0.11730903434635	0.18144920772142	0.66735075620512
KCNK15	MXRA7	3	0	3	-0.150112474439802	-0.177301271199549	0.18144920772142	0.66735075620512
KCNK15	TACC1	3	0	3	-0.149886489266339	-0.125547330883316	0.18144920772142	0.66735075620512
KCNK15	WIPF1	3	0	3	-0.148881318115832	-0.0720493907305359	0.18144920772142	0.66735075620512
KCNK17	C19orf33	3	0	3	-0.269529755660868	-0.312050724386278	0.18144920772142	0.675556862081094
