gene	baseMean	log2FC	lfcSE	stat	pvalue	padj
SCG5	12.2467767638528	1.41385739486407	0.18061197685185	7.82814860624558	4.95106520847705e-15	7.50990900612745e-14
CSGALNACT2	16.8357703624688	0.99510555738904	0.127129208469606	7.82751319990286	4.97614411606528e-15	7.53888820465112e-14
CD99	169.533216213576	0.669312487954073	0.0855334908452385	7.82515107637902	5.07047632544554e-15	7.67259127423533e-14
ANP32B	48.3479786540759	-0.678792300044618	0.08687106438242	-7.81379052818402	5.54932915465017e-15	8.38712981217786e-14
PLAGL1	18.707752706828	1.12287164595223	0.143707639720679	7.81358352370639	5.55845506651524e-15	8.39087355734717e-14
NDUFA1	130.35601418863	-0.599901828958926	0.0767783825569789	-7.8134210305059	5.56562902125339e-15	8.39166526263056e-14
ACYP1	11.6936315557345	-1.18578713034258	0.151779940747877	-7.81254179241183	5.60460510261885e-15	8.44034801850238e-14
CCT6A	36.6789245634458	-0.590884763022523	0.0756547471580804	-7.81028005800972	5.70610517047033e-15	8.58296153174441e-14
SELENOW	128.339305940316	-0.690532003866131	0.0884439229368643	-7.80756869365765	5.83017014543271e-15	8.75913657563819e-14
SEMA4F	7.71539493134084	1.6777242987159	0.214905523202578	7.80679934937928	5.86585436757906e-15	8.80226897964895e-14
EPOR	5.02725916560266	-1.5095906736277	0.193462920949897	-7.80299742304963	6.04537849003444e-15	9.06088795062169e-14
KRT18	62.8133572257682	-0.973249194396667	0.124772830345536	-7.80016924919812	6.18242014623675e-15	9.25529564003651e-14
C3orf70	4.45935278579491	-1.6770499932093	0.215298093664663	-7.78943261718511	6.73107672565896e-15	1.00647142509261e-13
COL15A1	61.4430696353855	1.98370504811621	0.254705958960599	7.78821609125788	6.79618785596366e-15	1.01500462416877e-13
C11orf58	85.0915227690175	-0.54198919707973	0.0696139673044083	-7.78563868813448	6.93619099073016e-15	1.03468948348717e-13
ACAT1	20.3432775248277	-0.760961674909161	0.0977492377932374	-7.78483487020916	6.98043182862081e-15	1.04005961838482e-13
NPC2	123.589548308486	0.888111883579621	0.11416116389582	7.77945715751536	7.28364062221559e-15	1.08395689448539e-13
XRCC6	50.5110279991611	-0.590303832559307	0.0759537478763241	-7.77188551011994	7.73263276787985e-15	1.14942079541394e-13
LGALSL	7.63217164912851	-1.97035510534667	0.2536993811696	-7.76649551237761	8.06874370081e-15	1.19797112357908e-13
PSMC4	27.4198032283787	-0.712082351774189	0.0917631458326741	-7.76000370641868	8.49269035192618e-15	1.25943304631385e-13
YWHAB	90.7419644809752	-0.508654394225459	0.0655958817145996	-7.75436477001037	8.87867795604516e-15	1.3151281197804e-13
HDAC1	15.7398512024054	-1.02389082523113	0.132167816646377	-7.74689974618109	9.4163241025458e-15	1.39313024823128e-13
SSRP1	19.5865117310765	-0.936200397536605	0.120976523167141	-7.73869485605193	1.00442522246878e-14	1.48429113671615e-13
ZBTB20	113.158826309393	0.548078009685491	0.0708253646326134	7.73844247083642	1.00642069104983e-14	1.48550048199402e-13
TSPAN15	5.4547507400084	-2.05062772498603	0.265424795400188	-7.72583330767666	1.11123968191776e-14	1.63829962450959e-13
COX14	49.897840976657	-0.70281868750795	0.0910459356086609	-7.71938563549775	1.16891747079893e-14	1.72132304334685e-13
QSOX1	29.0323171873122	1.1264929878235	0.145944393565697	7.71864516547126	1.17572705994724e-14	1.72933280845387e-13
TRAM2	12.206083614407	1.14883107363286	0.149138982506542	7.70309046182785	1.3281426679049e-14	1.95124103247495e-13
FKBP14	11.9753919593294	1.16636265210309	0.151421063478032	7.70277678225591	1.33140820323673e-14	1.95376413079622e-13
GOLGA8A	11.4402307947574	0.942173159393648	0.122325913240462	7.70215512343304	1.3379032909717e-14	1.96101504437431e-13
PRDX3	36.2778809126973	-0.620735334368956	0.0806569020570334	-7.6959977204434	1.40394313308356e-14	2.05542486537291e-13
COL5A3	16.1234824202302	-1.41050370426809	0.183310265965112	-7.69462472187202	1.41910061419994e-14	2.07520854591e-13
SYNE2	30.1278020550972	-0.933465597920116	0.121437484110768	-7.68679954756529	1.50861217093255e-14	2.20298620313241e-13
POR	19.6417650680923	-0.739024286930365	0.096143441667772	-7.68668433447698	1.50997073352578e-14	2.20298620313241e-13
GLT8D2	20.4142699123375	1.25108432324278	0.162916448382893	7.67930025274326	1.599599206852e-14	2.33105565709842e-13
ZNF827	6.75540989310454	1.28536197798819	0.167438716015354	7.67661153033639	1.63351837233022e-14	2.37773954542184e-13
PDXK	12.3039468983189	0.965352078933167	0.125859623966284	7.67006962607617	1.71903010903449e-14	2.49932718617688e-13
SUCLG1	27.345521087498	-0.6819174591219	0.0889089447970599	-7.66984087684786	1.72209853387087e-14	2.50090719188152e-13
FNDC3B	30.6627520286036	0.893424625338447	0.116490349210877	7.66951624225217	1.72646240941865e-14	2.50436271343257e-13
C1QBP	44.9218729399601	-0.765023337908448	0.0997594740072897	-7.66867854428088	1.73777341917885e-14	2.5178760677425e-13
EPS8L1	7.3763690177883	-1.98939076453917	0.259437378060298	-7.6680961679963	1.74567987755273e-14	2.52643119893526e-13
WDFY1	8.69588130139618	1.06290251993777	0.138619283079037	7.66778255036662	1.74995226333782e-14	2.52971335204161e-13
COPA	28.4502481695917	0.675525689965367	0.088109767457049	7.66686497379154	1.76251149390142e-14	2.54495366739542e-13
HNRNPK	130.429124190526	-0.46175178312541	0.0602965602015294	-7.65801202559641	1.88833209124323e-14	2.72351439902739e-13
NFIC	51.5040200571072	0.814309231232688	0.106341995176338	7.65745677314393	1.89651150291098e-14	2.73218894597449e-13
ATP5PD	85.6441327299175	-0.496265987926303	0.0648099499161127	-7.65724998350792	1.89956661541473e-14	2.73346986163442e-13
CCT5	33.993749734963	-0.75864833653873	0.099080830635514	-7.65686290347675	1.90529835920715e-14	2.73859513589912e-13
SLC36A1	3.34671678460005	1.9978558748749	0.261009535322512	7.65434056808034	1.94306708760496e-14	2.78970496536684e-13
PSMD8	62.3427454895679	-0.770564441324033	0.100755034961617	-7.6479000937033	2.04287829081332e-14	2.92967318523456e-13
SCARA3	3.62593064949199	2.10395052150233	0.275221114429719	7.6445825236261	2.09624333015559e-14	3.00279124024557e-13
CCDC8	7.09080706112574	1.41318252530008	0.185002697936101	7.63871306238026	2.19403649515801e-14	3.13931298967054e-13
SSH1	7.78963055744741	1.15980706793346	0.151855668714877	7.63756188852655	2.21373638871683e-14	3.16391316258283e-13
CEBPD	155.252910732155	-0.96557547846111	0.126475429272698	-7.6344906201441	2.26714994757398e-14	3.23658736859543e-13
MYH11	33.6712067362627	-2.4935090092426	0.326732884225826	-7.63164385840997	2.317790042904e-14	3.3051424114631e-13
ADRM1	30.6812420262088	-0.617045646992593	0.0808582754508019	-7.63119969542305	2.32579081104691e-14	3.31280813040767e-13
MDFIC	7.41973603712865	1.69255475898988	0.221869079072247	7.62861939152293	2.3728103474564e-14	3.37597143009017e-13
MYLIP	22.1248170482447	-1.75987726048321	0.230832003997481	-7.62406091879017	2.45817268568969e-14	3.4934841546626e-13
PPP1CA	32.3293698962785	-0.676624414209273	0.0887741924515667	-7.62185941120697	2.50047293730181e-14	3.54960275239019e-13
DEPTOR	3.81992874830049	2.16924979318194	0.284693728186866	7.61959108476776	2.54480587170095e-14	3.60847753942314e-13
PHLDA2	32.0731715585778	-1.26409569601642	0.166027115365374	-7.61379063434631	2.66171835199933e-14	3.77002083077795e-13
TMEM59	162.550728039451	-0.521787907317155	0.0685955495095483	-7.6067312099384	2.81115103330771e-14	3.97721143950037e-13
ID3	274.387886760409	-1.66349012573521	0.218758054557318	-7.6042462943889	2.86569044929201e-14	4.04983353528165e-13
SOX13	5.49622205963194	-1.75457359438282	0.231072205811935	-7.59318321395537	3.12140705120506e-14	4.40628154208142e-13
STAT2	19.8511464471696	0.871996575382712	0.114911610240405	7.58841141951122	3.2385124230023e-14	4.56648343891498e-13
WNT6	4.4206313456982	-4.44266309827753	0.585528829816558	-7.58743698353739	3.26295212350521e-14	4.59068626517679e-13
IRS1	8.39792664223446	1.48548002713726	0.195779954449541	7.58749807309882	3.26141462931802e-14	4.59068626517679e-13
ARPC2	160.781965862504	-0.58893630952772	0.0776298511914818	-7.58646706761101	3.28745855914154e-14	4.62001414436149e-13
SMDT1	56.84081323016	-0.498639874878228	0.0657570919697077	-7.58305849516484	3.37502586046781e-14	4.73780048488362e-13
CGNL1	2.58987843503535	3.07402325498179	0.405408385220742	7.58253496238862	3.38867725716696e-14	4.75167855393856e-13
SEMA6D	5.29686005871023	-1.95768441245831	0.25820381908934	-7.58193437789911	3.4044047065321e-14	4.76843367330023e-13
IK	34.8158380748381	-0.729739704632485	0.0963134685598042	-7.57671502796481	3.54414077286065e-14	4.95865371990037e-13
ARHGAP17	9.23715515059932	-1.20593977434828	0.159202285852304	-7.57488981952847	3.59432550237094e-14	5.02329876411088e-13
PDE3A	12.0908510864955	-1.40003063143093	0.185115533003319	-7.56301002253458	3.93847243605976e-14	5.49817722821617e-13
ID2	45.7382230084206	1.301684955673	0.172345810662111	7.55275077863651	4.26159998228738e-14	5.94269522391897e-13
ACO2	13.1964673208855	-0.908495270555344	0.120322128424758	-7.55052526454818	4.33506292122741e-14	6.03846512868542e-13
F3	42.3203362944984	1.64830002560401	0.218411417042316	7.54676677586256	4.46196572410848e-14	6.20838009241996e-13
P4HA2	17.6562182350354	0.8865491318334	0.117594892157135	7.5390105434916	4.73550687871423e-14	6.5817287234993e-13
CCDC102B	47.772896772507	-2.50048600466432	0.331852089448232	-7.53494127103993	4.88554655445085e-14	6.7827940062893e-13
MYC	50.6382143759125	-1.40897845272272	0.187036885700501	-7.53315821874242	4.95275381102399e-14	6.86854429616733e-13
BAG1	25.1317033476283	-0.853650875109542	0.113421366450814	-7.5263674016812	5.21714089213024e-14	7.2272577451903e-13
DMPK	8.22262456669161	-1.35420362326773	0.179942814144502	-7.52574438554821	5.2420805526273e-14	7.25384392260488e-13
DDX46	34.5948140143865	-0.544515716921496	0.0723590762922257	-7.5251888888471	5.26441620141169e-14	7.27677244926785e-13
PSMC3	42.1159937104377	-0.648527304542345	0.0862428896218922	-7.51977707826849	5.48697167134485e-14	7.57610311732735e-13
ITPR1	15.5859690287703	-1.22630474808231	0.163085041186533	-7.51941894339463	5.50202166399707e-14	7.58858069941453e-13
ARHGAP10	15.4877331259115	-1.30991132777662	0.174246910845151	-7.51755839700773	5.58086337760337e-14	7.68891875822648e-13
DIP2C	6.66657356632985	1.41790003466125	0.188679511597808	7.51485957671793	5.69720521961124e-14	7.84064665992299e-13
SYPL1	37.0539591150446	-0.76072215260613	0.101292176371582	-7.51017679603888	5.90475639690847e-14	8.11743199662144e-13
PGM2L1	6.59069326129307	1.40447339959287	0.187058954696388	7.50818586510571	5.99523463007497e-14	8.23284668460785e-13
UCHL1	8.4618515361275	1.98588029083589	0.264512482653554	7.50769971577068	6.01753400379386e-14	8.25448686172592e-13
KNOP1	20.485677745587	-0.746476773104178	0.099439505981595	-7.5068431378002	6.05702329681721e-14	8.29963452832065e-13
DDIT4	100.406071719143	1.12629334004852	0.150195941920656	7.49882670361029	6.43915899721952e-14	8.81368617623756e-13
COMMD7	21.079696358469	-0.771549674212066	0.102981345713138	-7.49213043264435	6.77645279779308e-14	9.26531249275717e-13
OSTM1	14.0871671164955	-1.05617276395845	0.140977770962053	-7.4917680762788	6.79519206773772e-14	9.28087920939936e-13
WEE1	7.6727375602336	1.28763208083043	0.171926215699046	7.48944583928028	6.91650179189127e-14	9.43635163391004e-13
PDE8A	9.28755764147889	-1.21542466342916	0.162391415092364	-7.48453766929645	7.17994389104792e-14	9.78519351026186e-13
ABTB1	15.3433398685053	-1.21288203578946	0.16209596997198	-7.48249346358902	7.29255228014611e-14	9.92794064460021e-13
B4GALT3	13.409971418548	-1.21934526222148	0.163009817678274	-7.48019523970057	7.42122755675532e-14	1.0092229716191e-12
SLC49A3	2.87079874825095	2.19607937488604	0.293815841565069	7.47433958355747	7.75925344352858e-14	1.05405574227482e-12
HMGB1	306.244660606295	-0.337993504956741	0.0452578177560502	-7.46817945970354	8.13119029599977e-14	1.1033937799518e-12
JAM2	5.84061421876805	2.20895987323293	0.296057769805706	7.4612460760027	8.57080082057259e-14	1.16179920897558e-12
NAPA	19.4982957154624	-1.05372246599268	0.14128027068865	-7.45838368553841	8.75902932621221e-14	1.18604023709011e-12
CLIC3	5.90244066643866	1.61384946397577	0.216461685059747	7.45558948933764	8.9466904327662e-14	1.21015255371393e-12
PKD2	16.2580071965514	0.834098924576452	0.111891051502914	7.45456328609739	9.01659885891872e-14	1.21830275802521e-12
STK38	7.53474964124165	1.26608912346004	0.169878358375986	7.45291593092656	9.12994656255788e-14	1.23229866972706e-12
HEYL	48.9258273135946	-2.11359745148846	0.283627143358677	-7.45202813263746	9.19161186011857e-14	1.23929638541342e-12
MTHFR	8.49822372441727	-1.48110361769807	0.198811055868332	-7.44980509876154	9.3478224202197e-14	1.25901300899864e-12
SLC1A5	8.76710309387223	1.1043930121944	0.148259600096143	7.44904890798455	9.40155171203563e-14	1.26489960134211e-12
ZNF704	11.1483843511275	1.11777738803119	0.15011748320451	7.44601737366194	9.6200142900274e-14	1.29291352864905e-12
