gene	orig.ident	Origin	n_spots	n_detected	pct_detected	mean_expression	median_expression	q99_expression
KCNN3	IU_PDA_T8	Pancreas	3779	56	1.48	0.0150833553850225	0	1
KCNN3	IU_PDA_T9	Pancreas	3526	115	3.26	0.0340328984685196	0	1
KCNN4	IU_PDA_NP10	Normal Pancreas	2966	16	0.54	0.00539447066756575	0	0
KCNN4	IU_PDA_NP11	Normal Pancreas	3859	9	0.23	0.00233221041720653	0	0
KCNN4	IU_PDA_NP2	Normal Pancreas	2995	6	0.2	0.00233722871452421	0	0
KCNN4	IU_PDA_T1	Pancreas	3530	123	3.48	0.0368271954674221	0	1
KCNN4	IU_PDA_T10	Pancreas	2714	163	6.01	0.0677966101694915	0	1
KCNN4	IU_PDA_T11	Pancreas	2777	296	10.66	0.123514584083543	0	2
KCNN4	IU_PDA_T12	Pancreas	3642	832	22.84	0.320428336079077	0	3
KCNN4	IU_PDA_T2	Pancreas	4118	730	17.73	0.210781932977173	0	2
KCNN4	IU_PDA_T3	Pancreas	4354	324	7.44	0.0803858520900322	0	1
KCNN4	IU_PDA_T4	Pancreas	3621	531	14.66	0.188621927644297	0	2
KCNN4	IU_PDA_T6	Pancreas	3397	506	14.9	0.172505151604357	0	2
KCNN4	IU_PDA_T8	Pancreas	3779	772	20.43	0.270706536120667	0	3
KCNN4	IU_PDA_T9	Pancreas	3526	269	7.63	0.0828133862733976	0	1
KCNQ4	IU_PDA_NP10	Normal Pancreas	2966	83	2.8	0.0283209710047202	0	1
KCNQ4	IU_PDA_NP11	Normal Pancreas	3859	81	2.1	0.0220264317180617	0	1
KCNQ4	IU_PDA_NP2	Normal Pancreas	2995	35	1.17	0.011686143572621	0	1
KCNQ4	IU_PDA_T1	Pancreas	3530	26	0.74	0.00821529745042493	0	0
KCNQ4	IU_PDA_T10	Pancreas	2714	16	0.59	0.00589535740604274	0	0
KCNQ4	IU_PDA_T11	Pancreas	2777	52	1.87	0.019085343896291	0	1
KCNQ4	IU_PDA_T12	Pancreas	3642	189	5.19	0.0557386051619989	0	1
KCNQ4	IU_PDA_T2	Pancreas	4118	48	1.17	0.0118989800874211	0	1
KCNQ4	IU_PDA_T3	Pancreas	4354	72	1.65	0.0169958658704639	0	1
KCNQ4	IU_PDA_T4	Pancreas	3621	258	7.13	0.0811930405965203	0	1
KCNQ4	IU_PDA_T6	Pancreas	3397	129	3.8	0.0409184574624669	0	1
KCNQ4	IU_PDA_T8	Pancreas	3779	78	2.06	0.0209050013231014	0	1
KCNQ4	IU_PDA_T9	Pancreas	3526	30	0.85	0.00879183210436756	0	0
KCNS3	IU_PDA_NP10	Normal Pancreas	2966	202	6.81	0.071813890761969	0	1
KCNS3	IU_PDA_NP11	Normal Pancreas	3859	288	7.46	0.0782586162218191	0	1
KCNS3	IU_PDA_NP2	Normal Pancreas	2995	594	19.83	0.236393989983306	0	2
KCNS3	IU_PDA_T1	Pancreas	3530	371	10.51	0.118413597733711	0	2
KCNS3	IU_PDA_T10	Pancreas	2714	145	5.34	0.0552689756816507	0	1
KCNS3	IU_PDA_T11	Pancreas	2777	370	13.32	0.150882247029168	0	2
KCNS3	IU_PDA_T12	Pancreas	3642	1074	29.49	0.388797364085667	0	3
KCNS3	IU_PDA_T2	Pancreas	4118	489	11.87	0.130160271976688	0	2
KCNS3	IU_PDA_T3	Pancreas	4354	559	12.84	0.146531924666973	0	2
KCNS3	IU_PDA_T4	Pancreas	3621	691	19.08	0.243026788180061	0	2
KCNS3	IU_PDA_T6	Pancreas	3397	517	15.22	0.173682661171622	0	2
KCNS3	IU_PDA_T8	Pancreas	3779	178	4.71	0.0481608891241069	0	1
KCNS3	IU_PDA_T9	Pancreas	3526	353	10.01	0.107203630175837	0	1
KCNT2	IU_PDA_NP10	Normal Pancreas	2966	8	0.27	0.00269723533378287	0	0
KCNT2	IU_PDA_NP11	Normal Pancreas	3859	21	0.54	0.00570095879761596	0	0
KCNT2	IU_PDA_NP2	Normal Pancreas	2995	4	0.13	0.0013355592654424	0	0
