orig.ident	gene	positive_spots	combinedPval	adjustedPval	best_kernel	best_kernel_stat	best_kernel_pval	available_in_section	n_spots	n_genes_tested
IU_PDA_T1	KCND2	115	1.7374444198692274e-5	3.380568109337309e-4	gaus1	26.854673653534928	3.30160216388542e-6	TRUE	3530	17893
IU_PDA_T10	KCND2	28	0.24710079975583765	1	cos4	5.556821384387372	0.06043081010526141	TRUE	2714	17893
IU_PDA_T11	KCND2	74	6.175982662891544e-4	0.010979858555184574	gaus3	16.535219444604362	2.0401749054566043e-4	TRUE	2777	17893
IU_PDA_T12	KCND2	552	4.060877010745109e-24	8.017278608147796e-23	gaus4	95.78521888796767	8.526539993758667e-25	TRUE	3642	17893
IU_PDA_T2	KCND2	93	0.21968683361713626	1	projection	7.204718165978813	0.025152067913577048	TRUE	4118	17893
IU_PDA_T3	KCND2	88	3.073186993773902e-8	8.011064250951373e-7	projection	38.612091262990425	2.793845039887108e-9	TRUE	4354	17893
IU_PDA_T4	KCND2	41	1.1277583974611538e-4	0.001879456730632619	projection	22.95653244030953	1.025291900613734e-5	TRUE	3621	17893
IU_PDA_T6	KCND2	275	8.9977274181474165e-05	0.001415169797936934	cos5	20.1639733956023	2.429498709388689e-5	TRUE	3397	17893
IU_PDA_T8	KCND2	60	0.8706540611379878	1	projection	9.768510154121826	0.007011975293175432	TRUE	3779	17893
IU_PDA_T9	KCND2	67	0.06797702791239324	1	gaus3	7.210402625552428	0.025382851384660343	TRUE	3526	17893
IU_PDA_T1	KCND3	78	2.747193780083812e-5	5.207607380421378e-4	projection	25.23026227642972	2.4976068253344337e-6	TRUE	3530	17893
IU_PDA_T10	KCND3	50	0.19009931968181326	1	gaus1	6.254347601996166	0.04139908685628535	TRUE	2714	17893
IU_PDA_T11	KCND3	82	0.025785874350240157	0.39344275897051334	projection	11.79959624743576	0.002301062452456981	TRUE	2777	17893
IU_PDA_T12	KCND3	547	4.387251232510372e-28	9.430480494409817e-27	gaus3	112.76213145362235	6.474333983902135e-29	TRUE	3642	17893
