gene	contrast	contrast_labels	n_sections_tested	n_sections_log2fc_positive	n_sections_auc_gt_0_5	n_sections_fdr_lt_0_05	median_log2fc_mean_expression	median_auc	median_delta_pct_positive	median_pct_inside_positive	median_pct_outside_positive	median_mean_expression_inside	median_mean_expression_outside
KCNK6	CC1_CC5	CC1,CC5	10	1	1	6	-0.0631897090095644	0.479193770622226	-4.13242510333008	7.76593062828725	11.1054986289508	0.0809853672474181	0.125276615192187
KCNN4	CC1_CC5	CC1,CC5	10	1	1	8	-0.107831209936569	0.467407989889524	-6.43410025505322	7.38411653804641	16.5385405707686	0.078723379177645	0.203719565084042
KCNK1	CC1_CC5	CC1,CC5	10	0	0	8	-0.270922738910792	0.430120435851703	-13.5292998617537	9.87640499753706	21.8744049106179	0.107111937068052	0.295148751790904
KCNK1	CC2_CC3	CC2,CC3	10	10	10	10	0.414444431492068	0.609636429683182	21.0413260712001	33.2587412587413	10.6587915455513	0.498531468531469	0.116632294870932
KCNN4	CC2_CC3	CC2,CC3	10	10	10	10	0.257205874590662	0.580789169857005	15.9049192635701	24.4367575122292	8.8583498533601	0.340679400574579	0.0970450144378733
KCNK6	CC2_CC3	CC2,CC3	10	10	10	8	0.106048923617851	0.536872831982484	7.37614365081797	15.1757399577167	8.37664962527856	0.187566067653277	0.0890672659120855
KCNS3	CC2_CC3	CC2,CC3	10	8	8	3	0.0657431994836046	0.517749574835601	3.37528638957734	18.3157089091113	10.9368128969812	0.212540257648953	0.118495201477653
KCNC4	CC2_CC3	CC2,CC3	10	9	9	8	0.0505828413799102	0.517025585635431	3.39823890217712	7.78573308450569	4.23403207048153	0.0845643123743899	0.0435438767192221
KCNJ15	CC2_CC3	CC2,CC3	10	9	9	5	0.0415856749907906	0.512596971362998	2.51346009450608	4.91684136967156	3.8690156243233	0.0748663101604278	0.0395588581543772
KCNQ4	CC2_CC3	CC2,CC3	10	9	9	6	0.024874856629724	0.507977270566486	1.59263801563997	3.20512820512821	1.3008654482636	0.0339031339031339	0.0132568550286772
KCNAB2	CC2_CC3	CC2,CC3	10	8	8	3	0.013701139059698	0.505551644720298	1.10267124994718	9.01957433233069	7.13290651543261	0.0998947224500957	0.0787493865714529
KCNK15	CC2_CC3	CC2,CC3	10	6	6	5	0.008908973658871	0.503149058091872	0.629811618374478	0.87693835459476	0.431434935312159	0.0087693835459476	0.00431434935312159
KCND3	CC2_CC3	CC2,CC3	10	6	6	5	0.0086244048917872	0.503280068294843	0.657638738375933	2.4358719731113	2.56749657204292	0.0251409365212742	0.0260738488476729
KCNJ16	CC2_CC3	CC2,CC3	10	6	6	2	0.00536103543732008	0.501863202386743	0.372640477348578	0.482603996967595	0.350549365834084	0.00482603996967595	0.00350549365834084
KCNMB4	CC2_CC3	CC2,CC3	10	6	6	2	0.00149517272037035	0.500232082247228	0.0456883133630426	5.39772727272727	4.78094780987151	0.0561575052854123	0.0505314841625162
KCND2	CC2_CC3	CC2,CC3	10	5	6	1	0.000809488623840969	0.500982440583347	0.197343817942325	3.05447889750215	2.20645581921738	0.031271533161068	0.0226043039277194
KCNK17	CC2_CC3	CC2,CC3	10	5	5	0	-0.000143894981040725	0.499906211399641	-0.0181163167174206	0.767177140174852	0.798126195647338	0.00767177140174852	0.00842413175275327
KCNB1	CC2_CC3	CC2,CC3	10	3	3	0	-0.000624813828968733	0.499783362218371	-0.0433275563258232	0.0411522633744856	0.203187117834602	0.000411522633744856	0.00203187117834602
KCNK3	CC2_CC3	CC2,CC3	10	5	5	3	-0.0010893715148643	0.499622675364813	-0.0754649270374023	1.21399176954733	1.05913418636063	0.0125514403292181	0.0110069694612788
KCNT2	CC2_CC3	CC2,CC3	10	4	4	2	-0.00147155619040873	0.499557017230191	-0.0883615752685795	0.507065923153311	0.657236888342797	0.00507065923153311	0.00657236888342797
KCNA5	CC2_CC3	CC2,CC3	10	3	3	2	-0.00200906080132575	0.499302474367063	-0.139505126587417	0.172884236893899	0.330363485420358	0.00172884236893899	0.00330363485420358
KCNAB1	CC2_CC3	CC2,CC3	10	3	3	1	-0.00324669625472732	0.49887069169875	-0.22586166024999	0.442425654165696	0.479269465471541	0.00442425654165696	0.00489205752063128
KCNMB1	CC2_CC3	CC2,CC3	10	3	4	2	-0.00953376549382797	0.497324432071031	-0.553675022636215	3.3210281651627	5.37174200245127	0.0352481542247744	0.0598652946420088
KCNN3	CC2_CC3	CC2,CC3	10	2	2	0	-0.00954543106187319	0.496869266893079	-0.626206414580819	1.37680355160932	2.06006453214197	0.0139567147613762	0.0218630446504224
KCNJ8	CC2_CC3	CC2,CC3	10	1	2	3	-0.0263456853473304	0.493862103555525	-1.18727717392634	6.10961163592743	7.50195080596487	0.0619058329584645	0.0821152667574523
KCNE4	CC2_CC3	CC2,CC3	10	1	1	3	-0.0283383482336513	0.491825643246026	-1.60513843547034	5.12640052725732	7.03905460837726	0.0528834384709538	0.0742242891410628
KCNMA1	CC2_CC3	CC2,CC3	10	1	1	3	-0.0645907444530676	0.484270639363568	-2.60508378558591	9.48868778280543	11.8232962390387	0.101580267558528	0.140248719916673
