orig.ident	contrast	contrast_labels	gene	n_inside	n_outside	n_inside_positive	n_outside_positive	pct_inside_positive	pct_outside_positive	delta_pct_positive	mean_expression_inside	mean_expression_outside	mean_positive_expression_inside	mean_positive_expression_outside	log2fc_mean_expression	auc	wilcoxon_p	wilcoxon_fdr
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNAB1	582	2132	1	2	0.171821305841924	0.0938086303939962	0.0780126754479282	0.00171821305841924	0.000938086303939962	1	1	0.00112399222696366	0.50039006337724	0.615735767950546	0.733104867109242
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNMA1	582	2132	40	134	6.87285223367698	6.28517823639775	0.587673997279229	0.0687285223367698	0.0712945590994371	1	1.13432835820896	-0.00345978538134828	0.50272883180854	0.633900741248036	0.733104867109242
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNMB4	582	2132	5	23	0.859106529209622	1.07879924953096	-0.219692720321335	0.00859106529209622	0.0112570356472795	1	1.04347826086957	-0.00380838979156151	0.498899521608222	0.641466758720586	0.733104867109242
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNQ4	582	2132	4	12	0.687285223367698	0.562851782363977	0.12443344100372	0.00687285223367698	0.00562851782363977	1	1	0.00178404381536738	0.500622167205019	0.728226940859023	0.786020324870128
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNMB1	582	2132	9	37	1.54639175257732	1.73545966228893	-0.189067909711611	0.0154639175257732	0.0178236397748593	1	1.02702702702703	-0.00334862730341718	0.499051033829133	0.753269478000539	0.786020324870128
IU_PDA_T10	CC1_CC5	CC1,CC5	KCNS3	582	2132	31	114	5.32646048109966	5.34709193245779	-0.0206314513581303	0.0549828178694158	0.0553470919324578	1.03225806451613	1.03508771929825	-0.000498060883327913	0.499892813162866	0.983741757684564	0.983741757684564
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNK1	1956	821	196	270	10.0204498977505	32.8867235079172	-22.8662736101667	0.10838445807771	0.48721071863581	1.08163265306122	1.48148148148148	-0.424150686807961	0.381512956168471	3.42208190787929e-52	8.2129965789103e-51
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNN4	1956	821	125	171	6.39059304703476	20.8282582216809	-14.4376651746461	0.0679959100204499	0.2557856272838	1.064	1.2280701754386	-0.233684083475429	0.427050096022358	6.66788583811551e-30	8.00146300573861e-29
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNC4	1956	821	91	115	4.65235173824131	14.0073081607795	-9.35495642253823	0.0501022494887526	0.160779537149817	1.07692307692308	1.14782608695652	-0.144564180766176	0.453011627298745	6.71169018059578e-18	5.36935214447663e-17
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNK6	1956	821	143	139	7.31083844580777	16.9305724725944	-9.61973402678662	0.07719836400818	0.187576126674787	1.05594405594406	1.10791366906475	-0.140736052994096	0.451541090345705	1.24495830455711e-14	7.46974982734268e-14
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNJ15	1956	821	26	30	1.32924335378323	3.65408038976857	-2.32483703598534	0.0132924335378323	0.0377588306942753	1	1.03333333333333	-0.0344206162137789	0.488367719549953	6.91343337612916e-05	0.0003318448020542
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNK15	1956	821	10	16	0.511247443762781	1.94884287454324	-1.43759543078046	0.00511247443762781	0.0207064555420219	1	1.0625	-0.0222110705332	0.492808909280667	0.000330014005491587	0.00132005602196635
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNMB4	1956	821	113	78	5.77709611451943	9.50060901339829	-3.72351289887887	0.0603271983640082	0.101096224116931	1.04424778761062	1.06410256410256	-0.0544310267763911	0.481327948110564	0.000389150574482305	0.00133423054108219
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNS3	1956	821	236	134	12.0654396728016	16.3215590742996	-4.256119401498	0.1359918200409	0.186358099878197	1.1271186440678	1.14179104477612	-0.062587103867679	0.478559988442445	0.00244090512560244	0.00732271537680733
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNAB2	1956	821	124	77	6.33946830265849	9.37880633373934	-3.03933803108086	0.0695296523517382	0.0986601705237515	1.09677419354839	1.05194805194805	-0.0387687301828687	0.484913841417395	0.0051244936490079	0.0136653163973544
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNMB1	1956	821	337	174	17.2290388548057	21.1936662606577	-3.96462740585201	0.238752556237219	0.264311814859927	1.38575667655786	1.24712643678161	-0.0294642820809632	0.481321720979702	0.0209321333139371	0.0502371199534491
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNAB1	1956	821	42	8	2.14723926380368	0.97442143727162	1.17281782653206	0.0219836400817996	0.0097442143727162	1.02380952380952	1	0.0173822220744484	0.505866579985005	0.0338761695550478	0.0712860779127397
IU_PDA_T11	CC1_CC5	CC1,CC5	KCND2	1956	821	44	30	2.24948875255624	3.65408038976857	-1.40459163721234	0.0224948875255624	0.0377588306942753	1	1.03333333333333	-0.0213775787381802	0.492963342126042	0.0356430389563699	0.0712860779127397
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNK3	1956	821	23	17	1.1758691206544	2.07064555420219	-0.894776433547796	0.0127811860940695	0.0207064555420219	1.08695652173913	1	-0.0112455119842943	0.495536703954726	0.0716583457373054	0.132292330591948
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNT2	1956	821	17	3	0.869120654396728	0.365408038976857	0.503712615419871	0.00869120654396728	0.00365408038976857	1	1	0.00722247036591125	0.502518563077099	0.152075729944008	0.260701251332586
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNMA1	1956	821	799	366	40.8486707566462	44.5797807551766	-3.7311099985304	0.657464212678937	0.655298416565164	1.60951188986233	1.46994535519126	0.00188639157572154	0.486592987254309	0.207659737269043	0.332255579630468
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNN3	1956	821	55	29	2.8118609406953	3.53227771010962	-0.720416769414326	0.028118609406953	0.0353227771010962	1	1	-0.0100739078941411	0.496397916152928	0.311859806612674	0.467789709919011
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNB1	1956	821	34	17	1.73824130879346	2.07064555420219	-0.332404245408736	0.0178936605316973	0.0219244823386114	1.02941176470588	1.05882352941176	-0.00570173789374975	0.498332685711724	0.550426568573028	0.777072802691334
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNA5	1956	821	6	3	0.306748466257669	0.365408038976857	-0.0586595727191888	0.00306748466257669	0.00365408038976857	1	1	-0.00084344413840881	0.499706702136404	0.804024516415351	0.954652350031921
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNJ16	1956	821	4	2	0.204498977505113	0.243605359317905	-0.0391063818127925	0.00204498977505112	0.00243605359317905	1	1	-0.000562924593484061	0.499804468090936	0.839527879375101	0.954652350031921
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNQ4	1956	821	36	16	1.84049079754601	1.94884287454324	-0.108352076997227	0.0184049079754601	0.0207064555420219	1	1.0625	-0.00325674480569992	0.499447030779462	0.844484989196904	0.954652350031921
IU_PDA_T11	CC1_CC5	CC1,CC5	KCND3	1956	821	57	25	2.91411042944785	3.04506699147381	-0.13095656202596	0.0296523517382413	0.0316686967113276	1.01754385964912	1.04	-0.00282243449984292	0.499335253780491	0.850229581891846	0.954652350031921
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNE4	1956	821	131	54	6.69734151329243	6.57734470158343	0.119996811708998	0.0725971370143149	0.0706455542021924	1.08396946564885	1.07407407407407	0.00262736425943481	0.500575075535097	0.911711228038179	0.954652350031921
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNK17	1956	821	5	2	0.255623721881391	0.243605359317905	0.0120183625634856	0.00255623721881391	0.00243605359317905	1	1	0.000172956596094322	0.500060091812817	0.95404615258341	0.954652350031921
IU_PDA_T11	CC1_CC5	CC1,CC5	KCNJ8	1956	821	154	65	7.87321063394683	7.91717417783191	-0.0439635438850825	0.0889570552147239	0.0901339829476248	1.12987012987013	1.13846153846154	-0.00155840021284729	0.49968117089987	0.954652350031921	0.954652350031921
