target_gene	orig.ident	view	value	p_value	abs_fraction
KCND3	IU_PDA_T10	juxta_ct	-0.0842645988296821	0.198151818351515	0.423566018641769
KCND3	IU_PDA_T10	para_ct	-0.0637302952286334	0.240508552066926	0.320347901630883
KCND3	IU_PDA_T11	intra	0.0846580409167364	0.0987460471546642	0.361015379840894
KCND3	IU_PDA_T11	juxta_ct	-0.0240347238000999	0.627853790292215	0.102493571172974
KCND3	IU_PDA_T11	para_ct	0.125807053418465	0.00186966272499123	0.536491048986132
KCND3	IU_PDA_T12	intra	0.196223531155037	0.000160977736908263	0.311293598774286
KCND3	IU_PDA_T12	juxta_ct	0.144891260633323	0.00541281329222265	0.229858884344781
KCND3	IU_PDA_T12	para_ct	0.289233959126095	3.31445981771594e-12	0.458847516880932
KCND3	IU_PDA_T2	intra	0.169953679552523	0.00107612001684676	0.434692299874538
KCND3	IU_PDA_T2	juxta_ct	0.123939993659426	0.0199868855036103	0.317002615254362
KCND3	IU_PDA_T2	para_ct	0.0970809992208853	0.0196067814948495	0.2483050848711
KCND3	IU_PDA_T3	intra	0.0489248926574054	0.342300834238388	0.140542235538624
KCND3	IU_PDA_T3	juxta_ct	0.202860997413141	2.40329062337619e-05	0.582740942932296
KCND3	IU_PDA_T3	para_ct	0.0963293399875377	0.0238396662934506	0.276716821529081
KCND3	IU_PDA_T4	intra	-0.00833250021997838	0.877555712758591	0.014972628426276
KCND3	IU_PDA_T4	juxta_ct	-0.110130326588511	0.0755535068266531	0.197892639056957
KCND3	IU_PDA_T4	para_ct	0.438052701577654	0	0.787134732516767
KCND3	IU_PDA_T6	intra	0.252805144443258	0.00599814593277626	0.628622230255432
KCND3	IU_PDA_T6	juxta_ct	0.0794456151042907	0.326702685623545	0.197548510576624
KCND3	IU_PDA_T6	para_ct	0.0699067402604587	0.103632345829697	0.173829259167944
KCND3	IU_PDA_T8	intra	-0.0209525210411969	0.174119622363611	0.463022066952584
KCND3	IU_PDA_T8	juxta_ct	0.012874040795188	0.222130487307269	0.284498699096847
KCND3	IU_PDA_T8	para_ct	-0.0114251065756577	0.17917696758272	0.25247923395057
KCND3	IU_PDA_T9	intra	0.225215352109452	0.00107098004852468	0.386762967901265
KCND3	IU_PDA_T9	juxta_ct	0.233692182597659	3.06386245259027e-05	0.401320253127636
KCND3	IU_PDA_T9	para_ct	0.123400935339965	0.00644258885083349	0.211916778971099
KCNE4	IU_PDA_T1	intra	0.107732929339525	0.116373484801229	0.302385479652498
KCNE4	IU_PDA_T1	juxta_ct	0.155057735150812	0.00155309892145361	0.435217049279717
KCNE4	IU_PDA_T1	para_ct	0.0934861298297206	0.038487440616928	0.262397471067785
KCNE4	IU_PDA_T10	intra	-0.00111100669264977	0.592948489982854	0.275554944392895
KCNE4	IU_PDA_T10	juxta_ct	-0.0015031734604733	0.38420023941486	0.372821227859307
KCNE4	IU_PDA_T10	para_ct	0.00141770791587003	0.295135589004784	0.351623827747798
KCNE4	IU_PDA_T11	intra	0.0812867801559415	0.306905086877135	0.341032723926496
KCNE4	IU_PDA_T11	juxta_ct	-0.0067736007233288	0.903010557353329	0.0284181450050763
KCNE4	IU_PDA_T11	para_ct	0.150294399917254	0.000980435922819378	0.630549131068428
KCNE4	IU_PDA_T12	intra	0.23658133167997	1.91383134540146e-06	0.519206796760599
KCNE4	IU_PDA_T12	juxta_ct	-0.0103414592881998	0.845779036869296	0.0226956028725024
KCNE4	IU_PDA_T12	para_ct	0.208736366723973	1.12262204199354e-06	0.458097600366899
KCNE4	IU_PDA_T2	intra	0.20216563170798	0.00202356619169453	0.717343893207137
KCNE4	IU_PDA_T2	juxta_ct	0.0611987246931455	0.286854953218578	0.217151308359401
KCNE4	IU_PDA_T2	para_ct	0.0184609070776333	0.640096454614149	0.0655047984334616
KCNE4	IU_PDA_T3	intra	0.326853037475399	6.89948791432471e-08	0.776796161371401
KCNE4	IU_PDA_T3	juxta_ct	0.067490790521709	0.246533199929941	0.160398041303596
KCNE4	IU_PDA_T3	para_ct	0.0264268371132263	0.532031069479095	0.0628057973250028
KCNE4	IU_PDA_T4	intra	0.107790556275254	0.0314964943945435	0.460101793035181
KCNE4	IU_PDA_T4	juxta_ct	0.0576232395676629	0.233485725743612	0.245963623917804
KCNE4	IU_PDA_T4	para_ct	0.0688616577783038	0.0731381543163563	0.293934583047015
KCNE4	IU_PDA_T6	intra	0.408661142311499	0.000342134334144983	0.507430840703396
KCNE4	IU_PDA_T6	juxta_ct	0.178072226957873	0.062410020968982	0.221110672084119
KCNE4	IU_PDA_T6	para_ct	0.21862001001088	3.16900010233212e-07	0.271458487212485
KCNE4	IU_PDA_T8	intra	0.112594630608113	0.164858287572735	0.288399711383848
KCNE4	IU_PDA_T8	juxta_ct	0.0930905829257328	0.13612813375565	0.238442074043281
KCNE4	IU_PDA_T8	para_ct	0.184726517697931	0.00013071873065873	0.473158214572871
KCNE4	IU_PDA_T9	intra	0.17510253007577	0.0183605713904738	0.394992240106519
KCNE4	IU_PDA_T9	juxta_ct	0.163143561273034	0.00533965193647723	0.368015474695347
KCNE4	IU_PDA_T9	para_ct	0.105060162031135	0.0267617410492924	0.236992285198135
KCNJ15	IU_PDA_T1	intra	-0.00304719072549104	0.943561074049303	0.0363551491194435
KCNJ15	IU_PDA_T1	juxta_ct	-0.00256338079454485	0.94739258385538	0.0305829530970951
KCNJ15	IU_PDA_T1	para_ct	0.0782067363248476	0.0196346881326228	0.933061897783461
KCNJ15	IU_PDA_T10	intra	-0.0240497254591632	0.570270049189556	0.245762139533878
KCNJ15	IU_PDA_T10	juxta_ct	-0.0262614629550561	0.605739799771571	0.268363700620341
KCNJ15	IU_PDA_T10	para_ct	-0.0475465430686563	0.28674539120789	0.485874159845782
KCNJ15	IU_PDA_T11	intra	0.00917476351681967	0.906925504324051	0.0327358112454644
KCNJ15	IU_PDA_T11	juxta_ct	0.172719217274559	0.00600884586158879	0.616266968058513
KCNJ15	IU_PDA_T11	para_ct	0.0983728941616849	0.0522541143835222	0.350997220696022
KCNJ15	IU_PDA_T12	intra	0.524149554454348	0	0.507619307710753
KCNJ15	IU_PDA_T12	juxta_ct	0.172316393522976	0.00015969734103094	0.16688200465687
KCNJ15	IU_PDA_T12	para_ct	0.336098311286458	0	0.325498687632376
KCNJ15	IU_PDA_T2	intra	0.0241220765690171	0.798495785112911	0.0514745622540395
KCNJ15	IU_PDA_T2	juxta_ct	0.309676712692191	1.29766213352589e-06	0.660825081973862
KCNJ15	IU_PDA_T2	para_ct	0.134822516345409	0.00076466919712459	0.287700355772098
KCNJ15	IU_PDA_T3	intra	0.247683042722654	0.000219102216441058	0.552825507822424
KCNJ15	IU_PDA_T3	juxta_ct	0.0470873121284894	0.422539799855506	0.105098302060887
KCNJ15	IU_PDA_T3	para_ct	0.153260785568328	0.000207381552338681	0.342076190116689
