target_gene	measure	mean	sd	cv
KCNJ16	intra.R2	1.7256671506234	4.96895430514502	2.87943958564082
KCNJ16	intra.RMSE	0.0568880313492717	0.0418688532428905	0.735987030133475
KCNJ16	multi.R2	2.28665406826451	5.27069696607582	2.30498221800384
KCNJ16	multi.RMSE	0.0565759474167062	0.0413670300390667	0.731176974101391
KCNJ16	p.R2	0.451876079956063	0.370645866875735	0.820237855723131
KCNJ16	p.RMSE	0.48909130816398	0.0205430085846554	0.0420023996373452
KCNJ8	gain.R2	0.34103701402353	0.598135615115337	1.75387301237064
KCNJ8	gain.RMSE	-0.000532170875046006	0.000952572203077363	-1.78997432543638
KCNJ8	intra.R2	0.460671525125661	0.420397112106896	0.912574555139307
KCNJ8	intra.RMSE	0.197296121315472	0.0614416651615676	0.311418515234386
KCNJ8	multi.R2	0.80170853914919	0.86769429423855	1.08230641419809
KCNJ8	multi.RMSE	0.196763950440426	0.0607050882203877	0.308517327917582
KCNJ8	p.R2	0.333809383434549	0.221918057878189	0.664804732553905
KCNJ8	p.RMSE	0.470172260931218	0.0531233818594287	0.11298706085768
KCNK1	gain.R2	0.66066266593726	0.556639996340013	0.84254798256282
KCNK1	gain.RMSE	-0.00116887419207421	0.0013042652763008	-1.11583033071021
KCNK1	intra.R2	3.35256056306491	2.50471882757643	0.747106213433059
KCNK1	intra.RMSE	0.269845322191135	0.0858757107119615	0.318240501686868
KCNK1	multi.R2	4.01322322900217	2.97019507618943	0.740102134046486
KCNK1	multi.RMSE	0.268676447999061	0.0846734330885826	0.315150187964665
KCNK1	p.R2	0.254054910746624	0.170032176027696	0.669273329643581
KCNK1	p.RMSE	0.426014384318257	0.110350257826602	0.259029417523526
KCNK15	gain.R2	0.0829465034555998	0.276238006022513	3.33031525759708
KCNK15	gain.RMSE	9.60162109819914e-05	0.000264122799254918	2.75081464425269
KCNK15	intra.R2	0.00408135670595922	0.011005969524061	2.69664484557087
