target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCNJ8	juxta_ct	Monocytes	Monocytes	9.05324935609642	10
KCNJ8	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	27.5604711293606	3
KCNJ8	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	17.0365050644864	10
KCNJ8	para_ct	Fibroblasts	Fibroblasts	16.6266306115178	10
KCNJ8	para_ct	Monocytes	Monocytes	16.6114447763671	10
KCNJ8	para_ct	PVL	PVL	16.2650448951088	10
KCNK1	intra	Fibroblasts	Fibroblasts	27.5276689004146	10
KCNK1	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	26.0901568027299	10
KCNK1	intra	TAM	TAM	14.4353080158496	10
KCNK1	intra	B_cells	B cells	10.9578890381848	9
KCNK1	intra	Monocytes	Monocytes	4.17279954846874	10
KCNK1	juxta_ct	Fibroblasts	Fibroblasts	38.2663301025584	10
KCNK1	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	37.9932957638335	10
KCNK1	juxta_ct	TAM	TAM	28.7128310019302	10
KCNK1	juxta_ct	B_cells	B cells	18.1377480443649	9
KCNK1	juxta_ct	Monocytes	Monocytes	11.376915688356	10
KCNK1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	54.316854981987	3
KCNK1	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	35.2438489746463	10
KCNK1	para_ct	TAM	TAM	33.1283651496219	10
KCNK1	para_ct	Fibroblasts	Fibroblasts	32.5728454425632	10
KCNK1	para_ct	Monocytes	Monocytes	32.179451180444	10
KCNK15	intra	Fibroblasts	Fibroblasts	1.95384045822848	10
KCNK15	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.46541895580706	10
KCNK15	intra	TAM	TAM	0.971638940476655	10
KCNK15	intra	B_cells	B cells	0.928941241321905	9
KCNK15	intra	Monocytes	Monocytes	0.434954280003673	10
KCNK15	juxta_ct	Fibroblasts	Fibroblasts	2.23996269897555	10
KCNK15	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.85460162398086	10
KCNK15	juxta_ct	TAM	TAM	1.5761875846035	10
KCNK15	juxta_ct	B_cells	B cells	1.18755423626936	9
KCNK15	juxta_ct	Monocytes	Monocytes	0.704469933408916	10
KCNK15	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	1.7653953283293	3
KCNK15	para_ct	Fibroblasts	Fibroblasts	1.42888669108459	10
KCNK15	para_ct	PVL	PVL	1.41938694772468	10
KCNK15	para_ct	TAM	TAM	1.39697488958477	10
KCNK15	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.38322326848158	10
