target_gene	orig.ident	view	value	p_value
KCNB1	IU_PDA_T3	intra	-0.0358278245793941	0.494031797473122
KCNB1	IU_PDA_T3	juxta_ct	0.650394014619448	0
KCNB1	IU_PDA_T3	para_ct	-0.139588363475669	0.027149827800238
KCNB1	IU_PDA_T4	intercept	0.00115090281622191	NA
KCNB1	IU_PDA_T4	intra	-0.000524644791563469	0.827686455316424
KCNB1	IU_PDA_T4	juxta_ct	-0.000270065868091413	0.933832175921667
KCNB1	IU_PDA_T4	para_ct	-0.00150055492340963	0.720824378502307
KCNB1	IU_PDA_T9	intercept	0.00220628549390979	NA
KCNB1	IU_PDA_T9	intra	-0.013984257304004	0.645314049410964
KCNB1	IU_PDA_T9	juxta_ct	0.101653936383984	0.0422201341698654
KCNB1	IU_PDA_T9	para_ct	0.033577429183628	0.461824304403897
KCNC4	IU_PDA_T1	intercept	0.0222278817021351	NA
KCNC4	IU_PDA_T1	intra	0.0284240022021827	0.215185436971453
KCNC4	IU_PDA_T1	juxta_ct	0.0418420839071611	0.0440854936159352
KCNC4	IU_PDA_T1	para_ct	-0.0270515161011609	0.14582435815809
KCNC4	IU_PDA_T10	intercept	0.0173932666947832	NA
KCNC4	IU_PDA_T10	intra	-0.0428693196632652	0.218457453769469
KCNC4	IU_PDA_T10	juxta_ct	-0.00173865630236289	0.954261461678826
KCNC4	IU_PDA_T10	para_ct	-0.00704347299824338	0.752105060732589
KCNC4	IU_PDA_T11	intercept	0.0267901187125376	NA
KCNC4	IU_PDA_T11	intra	0.307531495792263	1.60528260115811e-05
KCNC4	IU_PDA_T11	juxta_ct	0.0201715614396796	0.758229137092006
KCNC4	IU_PDA_T11	para_ct	0.0967619670201311	0.0440783756190575
KCNC4	IU_PDA_T12	intercept	0.0384070775491918	NA
KCNC4	IU_PDA_T12	intra	0.20107500860819	0.000106973648667852
KCNC4	IU_PDA_T12	juxta_ct	0.239890572299936	2.88717510943393e-06
KCNC4	IU_PDA_T12	para_ct	0.144066385376741	0.000996657005279955
KCNC4	IU_PDA_T2	intercept	0.0297288772109308	NA
KCNC4	IU_PDA_T2	intra	0.0463774938231358	0.474523297810026
KCNC4	IU_PDA_T2	juxta_ct	0.0448421146054354	0.396734951355614
KCNC4	IU_PDA_T2	para_ct	0.09841690404954	0.00771230610290652
KCNC4	IU_PDA_T3	intercept	0.0238315735991941	NA
KCNC4	IU_PDA_T3	intra	0.0375012994734933	0.46282693461725
KCNC4	IU_PDA_T3	juxta_ct	0.0887481452966718	0.066764290331699
KCNC4	IU_PDA_T3	para_ct	0.0630832335727187	0.0885612162005314
KCNC4	IU_PDA_T4	intercept	0.0163509049277562	NA
KCNC4	IU_PDA_T4	intra	0.149924930794368	0.0212455802692075
KCNC4	IU_PDA_T4	juxta_ct	0.0779678652031912	0.173202515150444
KCNC4	IU_PDA_T4	para_ct	0.180936496673898	5.25257225438835e-05
KCNC4	IU_PDA_T6	intercept	0.0349917612551948	NA
