target_gene	orig.ident	intra.RMSE	intra.R2	multi.RMSE	multi.R2	p.RMSE	p.R2	gain.RMSE	gain.R2
KCNE4	IU_PDA_T6	0.234570912886958	1.19808369799188	0.233694575499674	1.93633433263205	0.281109965656108	0.0966833217698883	-0.000876337387283987	0.73825063464017
KCNE4	IU_PDA_T8	0.129777064531566	0.107500110741783	0.129619428648843	0.373213392486027	0.490640682706757	0.105876328371239	-0.000157635882723023	0.265713281744244
KCNE4	IU_PDA_T9	0.226633256280264	0.239326674985652	0.226374706573939	0.470780709600125	0.484127289282812	0.191943734099279	-0.000258549706325023	0.231454034614473
KCNJ15	IU_PDA_T1	0.0838292400689441	0	0.0838498644299362	0	0.50176296352302	1	2.06243609920942e-05	0
KCNJ15	IU_PDA_T10	0.0730022976008883	0	0.0729878657311068	0.00204319048476842	0.499580762085575	0.186950483150029	-1.4431869781506e-05	0.00204319048476842
KCNJ15	IU_PDA_T11	0.100180567857683	0	0.100201442040812	0.138681561300091	0.501305588548625	0.186950483150029	2.08741831289883e-05	0.138681561300091
KCNJ15	IU_PDA_T12	0.326871073811	12.2683727655026	0.322024623975829	14.832481430081	0.0196166631335312	0.102245686102122	-0.00484644983517102	2.5641086645784
KCNJ15	IU_PDA_T2	0.231810404702352	0.0218549567481463	0.230845379629426	0.616007991541945	0.461952917670396	0.0201824276918708	-0.000965025072926007	0.594153034793799
KCNJ15	IU_PDA_T3	0.159000814577981	0.351638183785257	0.158785698276605	0.68788977127195	0.491575532494314	0.106101089394558	-0.000215116301375995	0.336251587486693
KCNJ15	IU_PDA_T4	0.0904145315973761	0	0.0904199855763002	0	0.500209744543777	1	5.45397892409705e-06	0
KCNJ15	IU_PDA_T6	0.233067885990476	2.50311957222314	0.231763469577579	3.47723552083171	0.373781836362547	0.286373858191256	-0.001304416412897	0.97411594860857
KCNJ15	IU_PDA_T8	0.13097100316704	0.17405119056572	0.130789060501024	0.364499351836256	0.487153082211161	0.0270397123746423	-0.000181942666015983	0.190448161270536
KCNJ15	IU_PDA_T9	0.203140656069647	0.262110405745044	0.200975548798799	2.07500380606144	0.342530239701087	0.000678314497722949	-0.00216510727084801	1.8128934003164
