target_gene	view	mean	abs_fraction	p.mean	p.sd
KCNK1	intra	0.438500152330966	0.577843838842685	3.97203369597587e-05	0.000124935998398438
KCNK1	juxta_ct	0.186175400572079	0.224808025437158	0.0832979232853462	0.178911191288415
KCNK1	para_ct	0.154083914440179	0.197348135720158	0.0365005250831527	0.0843500211638428
KCNK15	intra	0.00850113730201516	0.334085040722737	0.57206945158891	0.236173467680763
KCNK15	juxta_ct	0.0233788712199108	0.417001439920026	0.48419751363295	0.302142158994913
KCNK15	para_ct	0.0303686688319801	0.248913519357237	0.621257429481845	0.379742681273688
KCNK17	intra	0.0301426784525938	0.336001006808242	0.413515604923882	0.312194648105276
KCNK17	juxta_ct	0.0034354845266603	0.255151611231338	0.462367044137229	0.289801597856389
KCNK17	para_ct	0.0823983053698158	0.40884738196042	0.35030388809686	0.332541421176092
KCNK3	intra	0.0631900219383123	0.21310675933885	0.364264820518297	0.385037626395128
KCNK3	juxta_ct	0.108497778142937	0.277581174468613	0.346213606932057	0.376575177193555
KCNK3	para_ct	0.251587277709027	0.509312066192536	0.197598725937043	0.314320622508104
KCNK6	intra	0.192274199732368	0.392621147619141	0.224892691244525	0.287883251275704
KCNK6	juxta_ct	0.0722102846004936	0.256802635453086	0.302484278147975	0.377820159633953
KCNK6	para_ct	0.138539658177224	0.350576216927773	0.133756694657802	0.213214110330008
KCNMA1	intra	0.273391176838449	0.439256793456781	0.0672012343305525	0.169700574797966
KCNMA1	juxta_ct	0.136420947029803	0.223640129844976	0.173373718626075	0.299899047297339
KCNMA1	para_ct	0.205321424303537	0.337103076698243	0.109751181382545	0.237138116368279
KCNMB1	intra	0.228058727952125	0.347017849828424	0.309119409935738	0.402755289761686
KCNMB1	juxta_ct	0.138062709804182	0.425313498528605	0.101450314878767	0.222271031175462
KCNMB1	para_ct	0.111304659332527	0.227668651642971	0.311959361103022	0.339262551294057
KCNMB4	intra	0.0624613202795184	0.287523620616506	0.384476193441531	0.345493721415314
KCNMB4	juxta_ct	0.0520393313703311	0.370537630589877	0.188071542890829	0.181994889596715
KCNMB4	para_ct	0.0680136623044361	0.341938748793617	0.260896026743057	0.353343744425249
KCNN3	intra	0.120261190884411	0.423483857804831	0.347677209248933	0.378818683555904
KCNN3	juxta_ct	0.0614612401062028	0.372132135070894	0.404556701566863	0.369087999758389
KCNN3	para_ct	0.0544961891346835	0.204384007124275	0.412168712731678	0.364808156417532
KCNN4	intra	0.355355874656351	0.486234289483931	0.00176872223115483	0.00260724473401885
KCNN4	juxta_ct	0.22491037071056	0.311084834151613	0.060534473974057	0.187308019432534
KCNN4	para_ct	0.147550870397164	0.202680876364457	0.114029150896922	0.258778341286426
KCNQ4	intra	0.0725093946925835	0.323158011625734	0.435055936426464	0.320077285914517
KCNQ4	juxta_ct	0.0401132271964517	0.343597185377125	0.374633615469387	0.313490686916922
KCNQ4	para_ct	0.0637331515153986	0.333244802997142	0.341360958545197	0.401453021713939
KCNS3	intra	0.134236299807745	0.293443763648418	0.321648482734205	0.361825791726209
KCNS3	juxta_ct	0.123825471386402	0.328368897280118	0.188476664079639	0.304304953576763
KCNS3	para_ct	0.139560426181861	0.378187339071464	0.0962512328941806	0.182017554751019
KCNT2	intra	-0.00934996307172531	0.247147522379825	0.656757268269727	0.162416342256923
KCNT2	juxta_ct	-0.0175752579785857	0.275351975131932	0.60200774873435	0.269822385353814
KCNT2	para_ct	0.0406150343206588	0.477500502488243	0.404186052431786	0.302021074969451
