target_gene	view	Predictor	Predictor_original	Importance	nsamples	importance_rank	normalized_importance
KCND2	para_ct	Hepatocytes	Hepatocytes	3.49272181160032	4	10	0.228429109626804
KCND2	para_ct	Monocytes	Monocytes	7.21465133441869	10	2	0.471848738458213
KCND2	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	15.2901782846615	3	1	1
KCND2	para_ct	PVL	PVL	6.7374016003193	10	6	0.440635908547776
KCND2	para_ct	TAM	TAM	7.02251403329723	10	5	0.459282678236783
KCND2	para_ct	T_NK_cells	T-NK cells	6.38818808328677	7	8	0.417796834304748
KCND2	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	7.08124760829002	10	4	0.463123939855799
KCND3	intra	B_cells	B cells	5.8509333173338	9	4	0.60759167000166
KCND3	intra	Endothelial_cells	Endothelial cells	1.5793686101657	10	6	0.164009938133436
KCND3	intra	Fibroblasts	Fibroblasts	9.62971285850219	10	1	1
KCND3	intra	Hepatocytes	Hepatocytes	0.000307650516918923	4	10	3.19480467838971e-05
KCND3	intra	Monocytes	Monocytes	2.41952453809857	10	5	0.251256145811486
KCND3	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.339338105114008	3	9	0.0352386525019178
KCND3	intra	PVL	PVL	0.871533257879981	10	7	0.090504594548787
KCND3	intra	TAM	TAM	6.1500827458992	10	3	0.638656919086556
KCND3	intra	T_NK_cells	T-NK cells	0.651638419435749	7	8	0.0676695586889084
KCND3	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	6.50972220680559	10	2	0.676003771084211
KCND3	juxta_ct	B_cells	B cells	8.10650427221722	9	4	0.66482819754485
KCND3	juxta_ct	Endothelial_cells	Endothelial cells	3.34203278530393	10	6	0.274085790641507
KCND3	juxta_ct	Fibroblasts	Fibroblasts	12.1933821431669	10	1	1
KCND3	juxta_ct	Hepatocytes	Hepatocytes	0.0353223292294223	4	10	0.00289684427295807
KCND3	juxta_ct	Monocytes	Monocytes	6.00842989567728	10	5	0.492761550907708
KCND3	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.621158003854938	3	9	0.0509422239508036
KCND3	juxta_ct	PVL	PVL	1.80913066577828	10	7	0.148369881673241
KCND3	juxta_ct	TAM	TAM	10.1836896430749	10	2	0.835181701311786
KCND3	juxta_ct	T_NK_cells	T-NK cells	1.52464936266789	7	8	0.125039086347531
KCND3	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	9.97364462452721	10	3	0.81795555223506
KCND3	para_ct	B_cells	B cells	8.41460247440578	9	4	0.671941954850248
KCND3	para_ct	Endothelial_cells	Endothelial cells	8.38205038467605	10	5	0.669342531422465
KCND3	para_ct	Fibroblasts	Fibroblasts	7.97061087978653	10	9	0.636487329283209
KCND3	para_ct	Hepatocytes	Hepatocytes	3.04536898681084	4	10	0.243185723444708
KCND3	para_ct	Monocytes	Monocytes	8.36335750580312	10	6	0.667849825188289
KCND3	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	12.5228115519012	3	1	1
KCND3	para_ct	PVL	PVL	8.14141048265089	10	7	0.650126407229601
KCND3	para_ct	TAM	TAM	8.0781418435342	10	8	0.645074136111852
KCND3	para_ct	T_NK_cells	T-NK cells	9.42666773622681	7	2	0.752759689559941
KCND3	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	8.86313784028345	10	3	0.70775941996331
KCNE4	intra	B_cells	B cells	10.0916946963528	9	4	0.565527227943885
KCNE4	intra	Endothelial_cells	Endothelial cells	1.96562684452144	10	6	0.110151519046254
KCNE4	intra	Fibroblasts	Fibroblasts	17.8447547663509	10	1	1
KCNE4	intra	Hepatocytes	Hepatocytes	0.00586541894859919	4	10	0.000328691485279437
KCNE4	intra	Monocytes	Monocytes	3.45012345434593	10	5	0.193341040519743
KCNE4	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.0742866224350085	3	9	0.00416293882475133
KCNE4	intra	PVL	PVL	0.878093846254565	10	7	0.0492073921862098
KCNE4	intra	TAM	TAM	12.2455095798779	10	3	0.686224593176741
KCNE4	intra	T_NK_cells	T-NK cells	0.583925297967753	7	8	0.0327225173791033
KCNE4	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	12.6330075092976	10	2	0.707939541602392
KCNE4	juxta_ct	B_cells	B cells	15.3211101277139	9	4	0.63563969447315
KCNE4	juxta_ct	Endothelial_cells	Endothelial cells	4.78523450592587	10	6	0.198529021329015
KCNE4	juxta_ct	Fibroblasts	Fibroblasts	24.1034508400436	10	1	1
KCNE4	juxta_ct	Hepatocytes	Hepatocytes	0.0504602593134907	4	10	0.00209348693049628
KCNE4	juxta_ct	Monocytes	Monocytes	9.77375168576114	10	5	0.40549180076422
KCNE4	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.179574822414025	3	9	0.00745017066667041
KCNE4	juxta_ct	PVL	PVL	2.38733455588344	10	7	0.0990453429978296
KCNE4	juxta_ct	TAM	TAM	21.1916016552242	10	2	0.879193680434262
KCNE4	juxta_ct	T_NK_cells	T-NK cells	2.0586576388685	7	8	0.0854092491788938
KCNE4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	20.3450913494827	10	3	0.844073800241205
KCNE4	para_ct	B_cells	B cells	15.3328648596681	9	9	0.558938888471015
KCNE4	para_ct	Endothelial_cells	Endothelial cells	16.8561697913725	10	3	0.614468913232981
KCNE4	para_ct	Fibroblasts	Fibroblasts	16.8121445033985	10	4	0.61286403079581
KCNE4	para_ct	Hepatocytes	Hepatocytes	8.37783822530779	4	10	0.305402782082883
KCNE4	para_ct	Monocytes	Monocytes	16.5603631966919	10	6	0.603685683174778
KCNE4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	27.4320953076129	3	1	1
KCNE4	para_ct	PVL	PVL	16.306186469546	10	7	0.594420013735542
KCNE4	para_ct	TAM	TAM	16.2747635880741	10	8	0.593274535013645
KCNE4	para_ct	T_NK_cells	T-NK cells	16.956619402748	7	2	0.618130668204634
KCNE4	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	16.699091200969	10	5	0.608742825282277
KCNJ15	intra	B_cells	B cells	7.64199261358387	9	4	0.520478111552158
KCNJ15	intra	Endothelial_cells	Endothelial cells	0.755911927968976	10	7	0.0514833804039145
KCNJ15	intra	Fibroblasts	Fibroblasts	13.8362898165083	10	2	0.94235709961087
KCNJ15	intra	Hepatocytes	Hepatocytes	0.184936445655596	4	10	0.0125955855833852
KCNJ15	intra	Monocytes	Monocytes	1.91737789945852	10	5	0.130588091182936
KCNJ15	intra	Normal_Epithelial_cells	Normal Epithelial cells	1.54088461703019	3	6	0.104946020775533
KCNJ15	intra	PVL	PVL	0.349423660315865	10	8	0.0237984222242729
KCNJ15	intra	TAM	TAM	9.15751343642725	10	3	0.623696664065463
KCNJ15	intra	T_NK_cells	T-NK cells	0.255406901820939	7	9	0.0173951623168094
KCNJ15	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	14.6826397574993	10	1	1
