target_gene	orig.ident	view	Predictor	Importance	Predictor_original
KCNAB1	IU_PDA_T11	intra	Tumor_Epithelial_cells	3.06996096573687	Tumor Epithelial cells
KCNAB1	IU_PDA_T11	juxta_ct	Fibroblasts	6.38890955838841	Fibroblasts
KCNAB1	IU_PDA_T11	juxta_ct	Monocytes	0.760885761960867	Monocytes
KCNAB1	IU_PDA_T11	juxta_ct	B_cells	0.0241560085545699	B cells
KCNAB1	IU_PDA_T11	juxta_ct	TAM	4.0300006715869	TAM
KCNAB1	IU_PDA_T11	juxta_ct	Endothelial_cells	0.559225741004252	Endothelial cells
KCNAB1	IU_PDA_T11	juxta_ct	PVL	1.21939840691606	PVL
KCNAB1	IU_PDA_T11	juxta_ct	Tumor_Epithelial_cells	5.51394529741077	Tumor Epithelial cells
KCNAB1	IU_PDA_T11	para_ct	Fibroblasts	3.63903969474878	Fibroblasts
KCNAB1	IU_PDA_T11	para_ct	Monocytes	3.13681839248919	Monocytes
KCNAB1	IU_PDA_T11	para_ct	B_cells	4.78397876195057	B cells
KCNAB1	IU_PDA_T11	para_ct	TAM	3.95351387740354	TAM
KCNAB1	IU_PDA_T11	para_ct	Endothelial_cells	3.59766937422029	Endothelial cells
KCNAB1	IU_PDA_T11	para_ct	PVL	3.89972365670838	PVL
KCNAB1	IU_PDA_T11	para_ct	Tumor_Epithelial_cells	3.76534612453854	Tumor Epithelial cells
KCNAB1	IU_PDA_T12	intra	Fibroblasts	16.5629152605619	Fibroblasts
KCNAB1	IU_PDA_T12	intra	Monocytes	2.8080722041176	Monocytes
KCNAB1	IU_PDA_T12	intra	B_cells	11.8820750628167	B cells
KCNAB1	IU_PDA_T12	intra	TAM	12.9384640940345	TAM
KCNAB1	IU_PDA_T12	intra	Endothelial_cells	2.60217228455165	Endothelial cells
KCNAB1	IU_PDA_T12	intra	PVL	2.68617129183455	PVL
KCNAB1	IU_PDA_T12	intra	Normal_Epithelial_cells	0.386961117651181	Normal Epithelial cells
KCNAB1	IU_PDA_T12	intra	T_NK_cells	0.269866077181913	T-NK cells
KCNAB1	IU_PDA_T12	intra	Tumor_Epithelial_cells	10.6210133898835	Tumor Epithelial cells
KCNAB1	IU_PDA_T12	juxta_ct	Fibroblasts	15.6545876834734	Fibroblasts
KCNAB1	IU_PDA_T12	juxta_ct	Monocytes	3.90699026308781	Monocytes
KCNAB1	IU_PDA_T12	juxta_ct	B_cells	14.0598708626124	B cells
KCNAB1	IU_PDA_T12	juxta_ct	TAM	16.138512996801	TAM
KCNAB1	IU_PDA_T12	juxta_ct	Endothelial_cells	6.60483071873751	Endothelial cells
KCNAB1	IU_PDA_T12	juxta_ct	PVL	3.2068353153283	PVL
KCNAB1	IU_PDA_T12	juxta_ct	Normal_Epithelial_cells	0.160206155278911	Normal Epithelial cells
