target_gene	orig.ident	measure	value
KCNAB2	IU_PDA_T8	multi.RMSE	0.190107193242694
KCNAB2	IU_PDA_T8	multi.R2	0.215459768003985
KCNAB2	IU_PDA_T8	p.RMSE	0.504353994097843
KCNAB2	IU_PDA_T8	p.R2	0.612138623710495
KCNAB2	IU_PDA_T8	gain.RMSE	7.73286125900219e-05
KCNAB2	IU_PDA_T8	gain.R2	-0.064476322641453
KCNAB2	IU_PDA_T9	intra.RMSE	0.218156920690423
KCNAB2	IU_PDA_T9	intra.R2	0.0146400933639845
KCNAB2	IU_PDA_T9	multi.RMSE	0.217731298308701
KCNAB2	IU_PDA_T9	multi.R2	0.307504796101339
KCNAB2	IU_PDA_T9	p.RMSE	0.469267610636125
KCNAB2	IU_PDA_T9	p.R2	0.0764486009126779
KCNAB2	IU_PDA_T9	gain.RMSE	-0.000425622381722002
KCNAB2	IU_PDA_T9	gain.R2	0.292864702737355
KCNB1	IU_PDA_T10	intra.RMSE	0.0272998648722624
KCNB1	IU_PDA_T10	intra.R2	0
KCNB1	IU_PDA_T10	multi.RMSE	0.027202893235173
KCNB1	IU_PDA_T10	multi.R2	0
KCNB1	IU_PDA_T10	p.RMSE	0.497620912281955
KCNB1	IU_PDA_T10	p.R2	1
KCNB1	IU_PDA_T10	gain.RMSE	-9.69716370893998e-05
KCNB1	IU_PDA_T10	gain.R2	0
KCNB1	IU_PDA_T11	intra.RMSE	0.103011798061927
KCNB1	IU_PDA_T11	intra.R2	0
KCNB1	IU_PDA_T11	multi.RMSE	0.103038544461154
KCNB1	IU_PDA_T11	multi.R2	0.00438028517279809
KCNB1	IU_PDA_T11	p.RMSE	0.502355560361368
KCNB1	IU_PDA_T11	p.R2	0.186950483150029
KCNB1	IU_PDA_T11	gain.RMSE	2.67463992269928e-05
KCNB1	IU_PDA_T11	gain.R2	0.00438028517279809
KCNB1	IU_PDA_T12	intra.RMSE	0.0716643850041786
KCNB1	IU_PDA_T12	intra.R2	0.0224283045971707
KCNB1	IU_PDA_T12	multi.RMSE	0.0716593537198297
KCNB1	IU_PDA_T12	multi.R2	0
KCNB1	IU_PDA_T12	p.RMSE	0.499778172062402
KCNB1	IU_PDA_T12	p.R2	0.940710015329497
KCNB1	IU_PDA_T12	gain.RMSE	-5.03128434889422e-06
KCNB1	IU_PDA_T12	gain.R2	-0.0224283045971707
KCNB1	IU_PDA_T2	intra.RMSE	0.0346192761279343
KCNB1	IU_PDA_T2	intra.R2	0
KCNB1	IU_PDA_T2	multi.RMSE	0.0346162841594574
KCNB1	IU_PDA_T2	multi.R2	0
KCNB1	IU_PDA_T2	p.RMSE	0.499907735710424
KCNB1	IU_PDA_T2	p.R2	1
KCNB1	IU_PDA_T2	gain.RMSE	-2.9919684768967e-06
KCNB1	IU_PDA_T2	gain.R2	0
KCNB1	IU_PDA_T3	intra.RMSE	0.0264186595170632
KCNB1	IU_PDA_T3	intra.R2	0
KCNB1	IU_PDA_T3	multi.RMSE	0.0267914723033278
KCNB1	IU_PDA_T3	multi.R2	2.70163451999693
KCNB1	IU_PDA_T3	p.RMSE	0.515933794940043
KCNB1	IU_PDA_T3	p.R2	0.0637156904482427
KCNB1	IU_PDA_T3	gain.RMSE	0.000372812786264602
KCNB1	IU_PDA_T3	gain.R2	2.70163451999693
KCNB1	IU_PDA_T4	intra.RMSE	0.0246461786348177
KCNB1	IU_PDA_T4	intra.R2	0
KCNB1	IU_PDA_T4	multi.RMSE	0.0246456115552671
KCNB1	IU_PDA_T4	multi.R2	0
KCNB1	IU_PDA_T4	p.RMSE	0.499977376000862
KCNB1	IU_PDA_T4	p.R2	1
KCNB1	IU_PDA_T4	gain.RMSE	-5.67079550598676e-07
KCNB1	IU_PDA_T4	gain.R2	0
KCNB1	IU_PDA_T9	intra.RMSE	0.0380168557554209
KCNB1	IU_PDA_T9	intra.R2	0
KCNB1	IU_PDA_T9	multi.RMSE	0.0381184634022259
KCNB1	IU_PDA_T9	multi.R2	0
KCNB1	IU_PDA_T9	p.RMSE	0.502818924874497
KCNB1	IU_PDA_T9	p.R2	1
KCNB1	IU_PDA_T9	gain.RMSE	0.000101607646804995
KCNB1	IU_PDA_T9	gain.R2	0
KCNC4	IU_PDA_T1	intra.RMSE	0.131063500999957
KCNC4	IU_PDA_T1	intra.R2	0
KCNC4	IU_PDA_T1	multi.RMSE	0.131010096143544
KCNC4	IU_PDA_T1	multi.R2	0.0182624868446535
KCNC4	IU_PDA_T1	p.RMSE	0.497744612990611
KCNC4	IU_PDA_T1	p.R2	0.186950483150029
KCNC4	IU_PDA_T1	gain.RMSE	-5.3404856413003e-05
KCNC4	IU_PDA_T1	gain.R2	0.0182624868446535
KCNC4	IU_PDA_T10	intra.RMSE	0.107120785687653
KCNC4	IU_PDA_T10	intra.R2	0.0217911972856477
KCNC4	IU_PDA_T10	multi.RMSE	0.107149061742287
KCNC4	IU_PDA_T10	multi.R2	0
KCNC4	IU_PDA_T10	p.RMSE	0.501060017946556
KCNC4	IU_PDA_T10	p.R2	0.863425782260609
KCNC4	IU_PDA_T10	gain.RMSE	2.82760546339994e-05
KCNC4	IU_PDA_T10	gain.R2	-0.0217911972856477
KCNC4	IU_PDA_T11	intra.RMSE	0.181214719986368
KCNC4	IU_PDA_T11	intra.R2	0.698191173714404
KCNC4	IU_PDA_T11	multi.RMSE	0.181236598675781
KCNC4	IU_PDA_T11	multi.R2	0.683120203431791
KCNC4	IU_PDA_T11	p.RMSE	0.500572061461577
KCNC4	IU_PDA_T11	p.R2	0.515045768200226
KCNC4	IU_PDA_T11	gain.RMSE	2.18786894130019e-05
KCNC4	IU_PDA_T11	gain.R2	-0.0150709702826129
KCNC4	IU_PDA_T12	intra.RMSE	0.251585707240503
KCNC4	IU_PDA_T12	intra.R2	0.866831503651719
KCNC4	IU_PDA_T12	multi.RMSE	0.250734657628273
KCNC4	IU_PDA_T12	multi.R2	1.48183217529092
KCNC4	IU_PDA_T12	p.RMSE	0.426641303063528
KCNC4	IU_PDA_T12	p.R2	0.232719749079878
KCNC4	IU_PDA_T12	gain.RMSE	-0.000851049612229982
KCNC4	IU_PDA_T12	gain.R2	0.615000671639201
KCNC4	IU_PDA_T2	intra.RMSE	0.161534417045478
KCNC4	IU_PDA_T2	intra.R2	0.0108179524194663
KCNC4	IU_PDA_T2	multi.RMSE	0.161527893931322
KCNC4	IU_PDA_T2	multi.R2	0.0671727814035572
KCNC4	IU_PDA_T2	p.RMSE	0.499762073580725
KCNC4	IU_PDA_T2	p.R2	0.225957735334732
KCNC4	IU_PDA_T2	gain.RMSE	-6.52311415599849e-06
KCNC4	IU_PDA_T2	gain.R2	0.0563548289840909
KCNC4	IU_PDA_T3	intra.RMSE	0.145216161007067
KCNC4	IU_PDA_T3	intra.R2	0.00254525577495279
KCNC4	IU_PDA_T3	multi.RMSE	0.145211360537947
KCNC4	IU_PDA_T3	multi.R2	0.0328083709323601
KCNC4	IU_PDA_T3	p.RMSE	0.499668881217588
KCNC4	IU_PDA_T3	p.R2	0.204607842830328
KCNC4	IU_PDA_T3	gain.RMSE	-4.8004691199921e-06
KCNC4	IU_PDA_T3	gain.R2	0.0302631151574073
KCNC4	IU_PDA_T4	intra.RMSE	0.140681375255362
KCNC4	IU_PDA_T4	intra.R2	0.0170300628867959
KCNC4	IU_PDA_T4	multi.RMSE	0.14041512393448
KCNC4	IU_PDA_T4	multi.R2	0.436037582084561
KCNC4	IU_PDA_T4	p.RMSE	0.492021185976625
KCNC4	IU_PDA_T4	p.R2	0.0608775661482484
KCNC4	IU_PDA_T4	gain.RMSE	-0.000266251320882011
KCNC4	IU_PDA_T4	gain.R2	0.419007519197765
KCNC4	IU_PDA_T6	intra.RMSE	0.286968662075184
KCNC4	IU_PDA_T6	intra.R2	0.443714008456868
KCNC4	IU_PDA_T6	multi.RMSE	0.286309565839894
KCNC4	IU_PDA_T6	multi.R2	0.841692576496249
KCNC4	IU_PDA_T6	p.RMSE	0.464227314631066
KCNC4	IU_PDA_T6	p.R2	0.14149495942953
KCNC4	IU_PDA_T6	gain.RMSE	-0.000659096235290035
KCNC4	IU_PDA_T6	gain.R2	0.397978568039381
KCNC4	IU_PDA_T8	intra.RMSE	0.149650394163812
KCNC4	IU_PDA_T8	intra.R2	0.00186449967495284
KCNC4	IU_PDA_T8	multi.RMSE	0.14965457196227
KCNC4	IU_PDA_T8	multi.R2	0
KCNC4	IU_PDA_T8	p.RMSE	0.500193954519562
KCNC4	IU_PDA_T8	p.R2	0.813049516849971
KCNC4	IU_PDA_T8	gain.RMSE	4.17779845798827e-06
KCNC4	IU_PDA_T8	gain.R2	-0.00186449967495284
KCNC4	IU_PDA_T9	intra.RMSE	0.116607196315872
KCNC4	IU_PDA_T9	intra.R2	0.0299105577963821
KCNC4	IU_PDA_T9	multi.RMSE	0.116569984363816
KCNC4	IU_PDA_T9	multi.R2	0.0439385020456662
KCNC4	IU_PDA_T9	p.RMSE	0.493433051810519
KCNC4	IU_PDA_T9	p.R2	0.344510540201077
KCNC4	IU_PDA_T9	gain.RMSE	-3.72119520559988e-05
KCNC4	IU_PDA_T9	gain.R2	0.0140279442492841
KCND2	IU_PDA_T1	intra.RMSE	0.125011750368299
KCND2	IU_PDA_T1	intra.R2	0
KCND2	IU_PDA_T1	multi.RMSE	0.125005936130803
KCND2	IU_PDA_T1	multi.R2	0.0495264109820237
KCND2	IU_PDA_T1	p.RMSE	0.499833530154076
KCND2	IU_PDA_T1	p.R2	0.0923314703986212
KCND2	IU_PDA_T1	gain.RMSE	-5.81423749601573e-06
KCND2	IU_PDA_T1	gain.R2	0.0495264109820237
