target_gene	orig.ident	n_spots	n_positive_spots	mean_target	sd_target	n_predictors_used	predictors_removed
KCNJ16	IU_PDA_T1	3530	20	0.00404204213011532	0.0539667170608116	9	Normal Epithelial cells
KCNJ16	IU_PDA_T10	2714	8	0.00204317518219586	0.037584132640271	8	Hepatocytes; Normal Epithelial cells
KCNJ16	IU_PDA_T11	2777	6	0.00149761724283748	0.0321900520084118	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNJ16	IU_PDA_T12	3642	18	0.00342576860243795	0.048615582967199	9	Hepatocytes
KCNJ16	IU_PDA_T2	4118	64	0.0108710259018807	0.0867585199045821	10	
KCNJ16	IU_PDA_T3	4354	5	0.000795988953330208	0.0234782985666146	8	Hepatocytes; Normal Epithelial cells
KCNJ16	IU_PDA_T4	3621	6	0.00114854545246056	0.0281959472483383	9	Normal Epithelial cells
KCNJ16	IU_PDA_T6	3397	132	0.0286899091609888	0.14511022627265	7	B cells; Hepatocytes; T-NK cells
KCNJ16	IU_PDA_T8	3779	112	0.0212630211547538	0.123020084386437	8	Normal Epithelial cells; T-NK cells
KCNJ16	IU_PDA_T9	3526	6	0.00117949038098686	0.0285727277642733	8	Hepatocytes; Normal Epithelial cells
KCNJ8	IU_PDA_T1	3530	170	0.035218827882414	0.158737631398753	9	Normal Epithelial cells
KCNJ8	IU_PDA_T10	2714	114	0.0304164265000556	0.147203434019241	8	Hepatocytes; Normal Epithelial cells
KCNJ8	IU_PDA_T11	2777	196	0.0527326732739294	0.196027179667658	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNJ8	IU_PDA_T12	3642	697	0.149683551006375	0.318935709183179	9	Hepatocytes
KCNJ8	IU_PDA_T2	4118	259	0.0455358520863363	0.177982163193272	10	
KCNJ8	IU_PDA_T3	4354	445	0.0763194412432341	0.231452611881019	8	Hepatocytes; Normal Epithelial cells
KCNJ8	IU_PDA_T4	3621	93	0.0184743105332019	0.114916806484717	9	Normal Epithelial cells
KCNJ8	IU_PDA_T6	3397	467	0.104415610543319	0.269384856221964	7	B cells; Hepatocytes; T-NK cells
KCNJ8	IU_PDA_T8	3779	159	0.0314932127683923	0.153152171557582	8	Normal Epithelial cells; T-NK cells
KCNJ8	IU_PDA_T9	3526	332	0.0681881425653435	0.214364612559896	8	Hepatocytes; Normal Epithelial cells
KCNK1	IU_PDA_T1	3530	131	0.0264122015019835	0.13554438480968	9	Normal Epithelial cells
KCNK1	IU_PDA_T10	2714	346	0.0950902189899073	0.253532845605113	8	Hepatocytes; Normal Epithelial cells
KCNK1	IU_PDA_T11	2777	416	0.113438751232827	0.277683505907122	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNK1	IU_PDA_T12	3642	745	0.161250790720131	0.329596303225032	9	Hepatocytes
KCNK1	IU_PDA_T2	4118	490	0.086584232632166	0.238941084788325	10	
KCNK1	IU_PDA_T3	4354	495	0.0847748592781889	0.241425600677563	8	Hepatocytes; Normal Epithelial cells
KCNK1	IU_PDA_T4	3621	666	0.140921923278797	0.304942429858138	9	Normal Epithelial cells
KCNK1	IU_PDA_T6	3397	1545	0.401107682015571	0.477136099905921	7	B cells; Hepatocytes; T-NK cells
KCNK1	IU_PDA_T8	3779	648	0.130745676223428	0.29521596491542	8	Normal Epithelial cells; T-NK cells
KCNK1	IU_PDA_T9	3526	280	0.0584258643586832	0.202300364977163	8	Hepatocytes; Normal Epithelial cells
KCNK15	IU_PDA_T1	3530	6	0.00152274175855075	0.037843620764377	9	Normal Epithelial cells
KCNK15	IU_PDA_T10	2714	19	0.00485254105771517	0.0578031928127927	8	Hepatocytes; Normal Epithelial cells
KCNK15	IU_PDA_T11	2777	26	0.00707370800395795	0.0741396582150373	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNK15	IU_PDA_T12	3642	36	0.00696286754757446	0.0700104648193985	9	Hepatocytes
KCNK15	IU_PDA_T2	4118	6	0.00110838955596596	0.0295877059369793	10	
KCNK15	IU_PDA_T3	4354	59	0.00976516860024562	0.0841676870637835	8	Hepatocytes; Normal Epithelial cells
KCNK15	IU_PDA_T4	3621	12	0.00229709090492111	0.0398419858984663	9	Normal Epithelial cells
KCNK15	IU_PDA_T6	3397	52	0.0106104366762194	0.0851125455664662	7	B cells; Hepatocytes; T-NK cells
KCNK15	IU_PDA_T8	3779	10	0.00183420794008983	0.0356138649108863	8	Normal Epithelial cells; T-NK cells
KCNK15	IU_PDA_T9	3526	12	0.00235898076197372	0.0403734858456997	8	Hepatocytes; Normal Epithelial cells
KCNK17	IU_PDA_T1	3530	19	0.00384568315545244	0.0527049483200436	9	Normal Epithelial cells
KCNK17	IU_PDA_T10	2714	16	0.00408635036439172	0.0530733628625491	8	Hepatocytes; Normal Epithelial cells
KCNK17	IU_PDA_T11	2777	7	0.00174722011664372	0.0347629556869395	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNK17	IU_PDA_T12	3642	367	0.0760572622858437	0.233475943233882	9	Hepatocytes
KCNK17	IU_PDA_T2	4118	148	0.0255435824206693	0.133598357582546	10	
KCNK17	IU_PDA_T3	4354	67	0.0111048239785027	0.0900191113456338	8	Hepatocytes; Normal Epithelial cells
KCNK17	IU_PDA_T4	3621	17	0.00325421211530491	0.0473885876341518	9	Normal Epithelial cells
KCNK17	IU_PDA_T6	3397	24	0.00501648438079095	0.0598680389832982	7	B cells; Hepatocytes; T-NK cells
KCNK17	IU_PDA_T8	3779	23	0.00432597254855435	0.0556643188088014	8	Normal Epithelial cells; T-NK cells
KCNK17	IU_PDA_T9	3526	28	0.00573427432555156	0.064773987198266	8	Hepatocytes; Normal Epithelial cells
KCNK3	IU_PDA_T1	3530	8	0.00180059707101867	0.038699352741438	9	Normal Epithelial cells
KCNK3	IU_PDA_T10	2714	7	0.00178777828442138	0.0351632323508128	8	Hepatocytes; Normal Epithelial cells
KCNK3	IU_PDA_T11	2777	39	0.0101725370421903	0.0862060354631721	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNK3	IU_PDA_T12	3642	239	0.0483165027164543	0.185428908099248	9	Hepatocytes
KCNK3	IU_PDA_T2	4118	125	0.0221232427778492	0.126645187043233	10	
KCNK3	IU_PDA_T3	4354	498	0.120016832465563	0.361861658433996	8	Hepatocytes; Normal Epithelial cells
KCNK3	IU_PDA_T4	3621	39	0.00757752144433748	0.0729342584127462	9	Normal Epithelial cells
KCNK3	IU_PDA_T6	3397	73	0.0150147804795361	0.101568578174937	7	B cells; Hepatocytes; T-NK cells
KCNK3	IU_PDA_T8	3779	13	0.00259905889481228	0.0450673090071466	8	Normal Epithelial cells; T-NK cells
KCNK3	IU_PDA_T9	3526	16	0.00337529356357784	0.050809251923083	8	Hepatocytes; Normal Epithelial cells
KCNK6	IU_PDA_T1	3530	151	0.0321438168859136	0.155080577560578	9	Normal Epithelial cells
KCNK6	IU_PDA_T10	2714	163	0.0431236704172265	0.17228939991621	8	Hepatocytes; Normal Epithelial cells
KCNK6	IU_PDA_T11	2777	247	0.0648828599127926	0.211055932718049	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNK6	IU_PDA_T12	3642	1008	0.215732818098033	0.362925883194486	9	Hepatocytes
KCNK6	IU_PDA_T2	4118	308	0.0545839455087359	0.195114099931096	10	
KCNK6	IU_PDA_T3	4354	345	0.057662876542286	0.199385007011783	8	Hepatocytes; Normal Epithelial cells
KCNK6	IU_PDA_T4	3621	389	0.0783181347556729	0.2291529427764	9	Normal Epithelial cells
KCNK6	IU_PDA_T6	3397	406	0.0896888996034506	0.24977516044055	7	B cells; Hepatocytes; T-NK cells
KCNK6	IU_PDA_T8	3779	206	0.0393629300823802	0.165918040941237	8	Normal Epithelial cells; T-NK cells
KCNK6	IU_PDA_T9	3526	321	0.0662891335652622	0.21242373573343	8	Hepatocytes; Normal Epithelial cells
KCNMA1	IU_PDA_T1	3530	339	0.0757659479715623	0.239288029078905	9	Normal Epithelial cells
KCNMA1	IU_PDA_T10	2714	144	0.0394229119052773	0.169594953074766	8	Hepatocytes; Normal Epithelial cells
KCNMA1	IU_PDA_T11	2777	1025	0.333357137163626	0.466707655414005	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNMA1	IU_PDA_T12	3642	1388	0.334629104860647	0.457631388349876	9	Hepatocytes
KCNMA1	IU_PDA_T2	4118	381	0.0682372091544987	0.217287293769945	10	
KCNMA1	IU_PDA_T3	4354	664	0.117399473441526	0.285369759626483	8	Hepatocytes; Normal Epithelial cells
KCNMA1	IU_PDA_T4	3621	139	0.0281431059308728	0.143047265239941	9	Normal Epithelial cells
KCNMA1	IU_PDA_T6	3397	320	0.0705895250317162	0.224249563044643	7	B cells; Hepatocytes; T-NK cells
KCNMA1	IU_PDA_T8	3779	208	0.0409861353278847	0.173081366548034	8	Normal Epithelial cells; T-NK cells
KCNMA1	IU_PDA_T9	3526	904	0.203275980033292	0.360614740698649	8	Hepatocytes; Normal Epithelial cells
KCNMB1	IU_PDA_T1	3530	91	0.01927686550819	0.1211359778538	9	Normal Epithelial cells
KCNMB1	IU_PDA_T10	2714	39	0.0101098766212034	0.0840961278835251	8	Hepatocytes; Normal Epithelial cells
KCNMB1	IU_PDA_T11	2777	462	0.136002476627801	0.317507590143971	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNMB1	IU_PDA_T12	3642	718	0.150373020829975	0.313386997644378	9	Hepatocytes
KCNMB1	IU_PDA_T2	4118	72	0.0124145197485771	0.0936889222236594	10	
KCNMB1	IU_PDA_T3	4354	292	0.0493697686161825	0.187384417502895	8	Hepatocytes; Normal Epithelial cells
KCNMB1	IU_PDA_T4	3621	133	0.027185984720489	0.141835559316413	9	Normal Epithelial cells
KCNMB1	IU_PDA_T6	3397	157	0.0347423018188826	0.161589787684363	7	B cells; Hepatocytes; T-NK cells
