target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCND3	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	6.50972220680559	10
KCND3	juxta_ct	B_cells	B cells	8.10650427221722	9
KCND3	juxta_ct	Endothelial_cells	Endothelial cells	3.34203278530393	10
KCND3	juxta_ct	Fibroblasts	Fibroblasts	12.1933821431669	10
KCND3	juxta_ct	Hepatocytes	Hepatocytes	0.0353223292294223	4
KCND3	juxta_ct	Monocytes	Monocytes	6.00842989567728	10
KCND3	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.621158003854938	3
KCND3	juxta_ct	PVL	PVL	1.80913066577828	10
KCND3	juxta_ct	TAM	TAM	10.1836896430749	10
KCND3	juxta_ct	T_NK_cells	T-NK cells	1.52464936266789	7
KCND3	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	9.97364462452721	10
KCND3	para_ct	B_cells	B cells	8.41460247440578	9
KCND3	para_ct	Endothelial_cells	Endothelial cells	8.38205038467605	10
KCND3	para_ct	Fibroblasts	Fibroblasts	7.97061087978653	10
KCND3	para_ct	Hepatocytes	Hepatocytes	3.04536898681084	4
KCND3	para_ct	Monocytes	Monocytes	8.36335750580312	10
KCND3	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	12.5228115519012	3
KCND3	para_ct	PVL	PVL	8.14141048265089	10
KCND3	para_ct	TAM	TAM	8.0781418435342	10
KCND3	para_ct	T_NK_cells	T-NK cells	9.42666773622681	7
KCND3	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	8.86313784028345	10
KCNE4	intra	B_cells	B cells	10.0916946963528	9
KCNE4	intra	Endothelial_cells	Endothelial cells	1.96562684452144	10
KCNE4	intra	Fibroblasts	Fibroblasts	17.8447547663509	10
KCNE4	intra	Hepatocytes	Hepatocytes	0.00586541894859919	4
KCNE4	intra	Monocytes	Monocytes	3.45012345434593	10
KCNE4	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.0742866224350085	3
KCNE4	intra	PVL	PVL	0.878093846254565	10
KCNE4	intra	TAM	TAM	12.2455095798779	10
KCNE4	intra	T_NK_cells	T-NK cells	0.583925297967753	7
KCNE4	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	12.6330075092976	10
KCNE4	juxta_ct	B_cells	B cells	15.3211101277139	9
KCNE4	juxta_ct	Endothelial_cells	Endothelial cells	4.78523450592587	10
KCNE4	juxta_ct	Fibroblasts	Fibroblasts	24.1034508400436	10
KCNE4	juxta_ct	Hepatocytes	Hepatocytes	0.0504602593134907	4
KCNE4	juxta_ct	Monocytes	Monocytes	9.77375168576114	10
KCNE4	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.179574822414025	3
KCNE4	juxta_ct	PVL	PVL	2.38733455588344	10
KCNE4	juxta_ct	TAM	TAM	21.1916016552242	10
KCNE4	juxta_ct	T_NK_cells	T-NK cells	2.0586576388685	7
KCNE4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	20.3450913494827	10
KCNE4	para_ct	B_cells	B cells	15.3328648596681	9
KCNE4	para_ct	Endothelial_cells	Endothelial cells	16.8561697913725	10
KCNE4	para_ct	Fibroblasts	Fibroblasts	16.8121445033985	10
KCNE4	para_ct	Hepatocytes	Hepatocytes	8.37783822530779	4
KCNE4	para_ct	Monocytes	Monocytes	16.5603631966919	10
KCNE4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	27.4320953076129	3
KCNE4	para_ct	PVL	PVL	16.306186469546	10
KCNE4	para_ct	TAM	TAM	16.2747635880741	10
KCNE4	para_ct	T_NK_cells	T-NK cells	16.956619402748	7
KCNE4	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	16.699091200969	10
KCNJ15	intra	B_cells	B cells	7.64199261358387	9
KCNJ15	intra	Endothelial_cells	Endothelial cells	0.755911927968976	10
KCNJ15	intra	Fibroblasts	Fibroblasts	13.8362898165083	10
KCNJ15	intra	Hepatocytes	Hepatocytes	0.184936445655596	4
KCNJ15	intra	Monocytes	Monocytes	1.91737789945852	10
KCNJ15	intra	Normal_Epithelial_cells	Normal Epithelial cells	1.54088461703019	3
KCNJ15	intra	PVL	PVL	0.349423660315865	10
KCNJ15	intra	TAM	TAM	9.15751343642725	10
KCNJ15	intra	T_NK_cells	T-NK cells	0.255406901820939	7
KCNJ15	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	14.6826397574993	10
KCNJ15	juxta_ct	B_cells	B cells	12.1692526361667	9
KCNJ15	juxta_ct	Endothelial_cells	Endothelial cells	2.61889032860141	10
KCNJ15	juxta_ct	Fibroblasts	Fibroblasts	17.5490639988325	10
KCNJ15	juxta_ct	Hepatocytes	Hepatocytes	0.0111635934808886	4
KCNJ15	juxta_ct	Monocytes	Monocytes	5.92251560859402	10
KCNJ15	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	2.99103730830419	3
KCNJ15	juxta_ct	PVL	PVL	0.716882704939088	10
KCNJ15	juxta_ct	TAM	TAM	14.760499039142	10
KCNJ15	juxta_ct	T_NK_cells	T-NK cells	0.919013912453233	7
KCNJ15	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	19.8618537592381	10
KCNJ15	para_ct	B_cells	B cells	12.5877263349904	9
KCNJ15	para_ct	Endothelial_cells	Endothelial cells	12.7711451447619	10
KCNJ15	para_ct	Fibroblasts	Fibroblasts	13.1251995107778	10
KCNJ15	para_ct	Hepatocytes	Hepatocytes	7.84803067451863	4
KCNJ15	para_ct	Monocytes	Monocytes	12.6373391100005	10
KCNJ15	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	30.0801342109641	3
KCNJ15	para_ct	PVL	PVL	13.414171211333	10
KCNJ15	para_ct	TAM	TAM	13.2963780402623	10
KCNJ15	para_ct	T_NK_cells	T-NK cells	14.0642452812465	7
KCNJ15	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	14.6424755803049	10
KCNJ16	intra	B_cells	B cells	0.848061197295167	9
KCNJ16	intra	Endothelial_cells	Endothelial cells	0.0700585605641751	10
KCNJ16	intra	Fibroblasts	Fibroblasts	2.08705284992758	10
KCNJ16	intra	Hepatocytes	Hepatocytes	0.000404451053375047	4
KCNJ16	intra	Monocytes	Monocytes	0.188534692150344	10
KCNJ16	intra	Normal_Epithelial_cells	Normal Epithelial cells	2.43346061048652	3
KCNJ16	intra	PVL	PVL	0.000525081160411318	10
KCNJ16	intra	TAM	TAM	1.12579265932793	10
KCNJ16	intra	T_NK_cells	T-NK cells	0.0220701756942864	7
KCNJ16	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.80078868659798	10
KCNJ16	juxta_ct	B_cells	B cells	1.47130194684332	9
KCNJ16	juxta_ct	Endothelial_cells	Endothelial cells	0.159150663757952	10
KCNJ16	juxta_ct	Fibroblasts	Fibroblasts	2.58239660668432	10
