module	gene	n_sections	mean_delta	median_delta
KCNMA1_KCNMB1	ZZEF1	10	0.0530698579255899	0.0461500092676998
KCNMA1_KCNMB1	AQP1	10	0.0529857288708486	0.0078508578268997
KCNMA1_KCNMB1	HLA-DPA1	10	0.0522195524981713	0.06322084462881
KCNMA1_KCNMB1	SPON1	10	0.05215958482755	0.0351349582478299
KCNMA1_KCNMB1	LTB	10	0.0521545139963563	0.0225763677341726
KCNMA1_KCNMB1	ABI3BP	10	0.0519778390617004	0.0485437355372007
KCNMA1_KCNMB1	WDR1	10	0.0514660113672534	0.036346065909235
KCNMA1_KCNMB1	GASK1B	10	0.0514023902217352	0.0373645289949786
KCNMA1_KCNMB1	LAMC1	10	0.0512413382297284	0.0280317097439823
KCNMA1_KCNMB1	WIPF1	10	0.0511583139442694	0.0349795405833562
KCNMA1_KCNMB1	HNRNPLL	10	0.0509438888898745	0.048805505341648
KCNMA1_KCNMB1	COL18A1	10	0.0507648042318313	0.0172762329566484
KCNMA1_KCNMB1	SEPTIN5	10	0.0505122095453745	0.0573218623735546
KCNMA1_KCNMB1	FADS3	10	0.0503412253122346	0.0477801715832175
KCNMA1_KCNMB1	DSTN	10	0.0503145973481344	0.0269973645770037
KCNMA1_KCNMB1	GEM	10	0.0500254198780965	0.0284096605137877
KCNMA1_KCNMB1	COLGALT1	10	0.0496253664205808	0.0394866126279804
KCNMA1_KCNMB1	MFAP4	10	0.0495836438097903	0.0339492278648141
KCNMA1_KCNMB1	SLIT3	10	0.0494253031076572	0.0441221566887533
KCNMA1_KCNMB1	SHFL	10	0.0491917134293441	0.0534710473037369
KCNMA1_KCNMB1	LAMA4	10	0.0489983539323493	0.013102463852344
KCNMA1_KCNMB1	NEXN	10	0.0486711164802354	0.0522106282693005
KCNMA1_KCNMB1	PECAM1	10	0.0483741529470915	0.0648368843049386
KCNMA1_KCNMB1	KLHL5	10	0.0482030072707149	0.0490787546367086
KCNMA1_KCNMB1	PHLDB2	10	0.0480992948194264	0.0560688031255228
KCNMA1_KCNMB1	FNBP1	10	0.0479966215568689	0.0483279576967183
KCNMA1_KCNMB1	VWF	10	0.0478348122595615	0.0442135881748747
KCNMA1_KCNMB1	DDX24	10	0.0478024872020473	0.0630299473774086
KCNMA1_KCNMB1	DAG1	10	0.0475263239957024	0.0575749140631601
KCNMA1_KCNMB1	ITGB3	10	0.047494369014801	0.0187081911950388
KCNMA1_KCNMB1	LAP3	10	0.0474647890676476	0.0596009758135498
KCNMA1_KCNMB1	GUCY1A1	10	0.0474173670953886	0.0377777557859972
KCNMA1_KCNMB1	PSMD13	10	0.04718963760805	0.029428533727897
KCNMA1_KCNMB1	TSPAN2	10	0.0470816907544598	0.0462180629965856
KCNMA1_KCNMB1	SH3BGRL	10	0.0469786631490758	0.0607412361018834
KCNMA1_KCNMB1	CKB	10	0.0468188413344224	0.0247782096103202
KCNMA1_KCNMB1	SORT1	10	0.0467831245595653	0.0597846542129147
KCNMA1_KCNMB1	ACTR1A	10	0.0466144225062751	0.0715184271334762
KCNMA1_KCNMB1	EID1	10	0.0465278641327181	0.0445430951272284
KCNMA1_KCNMB1	KIF1B	10	0.0465157495989652	0.0174704465857294
KCNMA1_KCNMB1	C1S	10	0.0463105253657237	0.0871332789866723
KCNMA1_KCNMB1	FBLIM1	10	0.0462877265731128	0.0274947329031085
KCNMA1_KCNMB1	SULF1	10	0.0461287835160977	0.0443491174692113
KCNMA1_KCNMB1	RBPMS2	10	0.0461046195654076	0.012499350154271
KCNMA1_KCNMB1	DAB2	10	0.0460865472520629	0.056086646953771
KCNMA1_KCNMB1	ITGAX	10	0.0460320407139553	0.0490082431237957
KCNMA1_KCNMB1	HAND2	10	0.0460069583594962	0.0443906479938436
KCNMA1_KCNMB1	NIBAN1	10	0.0458605382116158	0.0398883703489533
KCNMA1_KCNMB1	KIAA0355	10	0.0456867905638507	0.0395411682070014
KCNMA1_KCNMB1	PARVA	10	0.0455826780443974	0.0241376989913289
KCNMA1_KCNMB1	SORBS3	10	0.0455769381337951	0.0587793806938987
KCNMA1_KCNMB1	FGF7	10	0.0455259457344171	0.0297278820847003
KCNMA1_KCNMB1	NAV1	10	0.0453692919582743	0.0482817258094459
KCNMA1_KCNMB1	BMERB1	10	0.0453670821352286	0.0276487135512513
KCNMA1_KCNMB1	TBX2	10	0.0453488898570031	0.00764107184164112
KCNMA1_KCNMB1	SLMAP	10	0.0453467964617999	0.0361741402433781
KCNMA1_KCNMB1	TGFB1I1	10	0.0452040217957772	0.0495390176220522
KCNMA1_KCNMB1	TLR2	10	0.0450946519814012	0.033347145445539
KCNMA1_KCNMB1	CACNA1C	10	0.044905152358721	0.0385081384276407
KCNMA1_KCNMB1	CCN1	10	0.0448021359712672	0.102997566283213
KCNMA1_KCNMB1	GNAI2	10	0.0448011888431705	0.0221747168858221
KCNMA1_KCNMB1	KANK2	10	0.0447698474951738	0.0463751234320868
KCNMA1_KCNMB1	CD93	10	0.0447518934919439	0.0302391443195883
KCNMA1_KCNMB1	ERO1B	10	0.0446380388891452	0.038479726519892
KCNMA1_KCNMB1	RASSF4	10	0.0446262860100777	0.0214402755024576
KCNMA1_KCNMB1	FBXO32	10	0.0444038842408995	0.00910369527074279
KCNMA1_KCNMB1	SH3PXD2A	10	0.0442584167676132	0.0152921580098726
KCNMA1_KCNMB1	CENPB	10	0.0442462710058831	0.027687222919576
KCNMA1_KCNMB1	GADD45B	10	0.0441554082780767	0.0525593341063503
KCNMA1_KCNMB1	PRNP	10	0.0441428153064955	0.0527664883699012
KCNMA1_KCNMB1	TCEAL4	10	0.0441242445103429	0.02058025157364
KCNMA1_KCNMB1	CCDC71L	10	0.0441027816872206	0.0536443032738829
KCNMA1_KCNMB1	CORO1C	10	0.0439858887799799	0.029208813331068
KCNMA1_KCNMB1	NUPR1	10	0.0439648653172879	0.0603859891462124
KCNMA1_KCNMB1	VCL	10	0.0438065731732392	0.0423816327541443
KCNMA1_KCNMB1	ZNF688	10	0.043751587846812	0.0297847133040312
KCNMA1_KCNMB1	CLEC7A	10	0.0435173559235998	0.027452678538264
KCNMA1_KCNMB1	ELF2	10	0.0434919357706752	0.0350901065401062
KCNMA1_KCNMB1	FOXO3	10	0.0433122932658819	0.0374302719308759
KCNMA1_KCNMB1	EFHD1	10	0.0432705421595764	0.0462396891002731
KCNMA1_KCNMB1	DACT3	10	0.0432224526963277	0.0191371906092631
KCNMA1_KCNMB1	XPC	10	0.043221398238144	0.0429509461479974
KCNMA1_KCNMB1	RASGRP2	10	0.0429097194885739	0.0473548615508533
KCNMA1_KCNMB1	PLSCR3	10	0.0427915360372677	0.0268032106243197
KCNMA1_KCNMB1	SAT2	10	0.0427604319667166	0.0351461273655871
KCNMA1_KCNMB1	STARD13	10	0.0426764363419928	0.0434812774041489
KCNMA1_KCNMB1	PTMS	10	0.0425508971568965	0.0560730681743637
KCNMA1_KCNMB1	GLIPR1	10	0.0423972430857668	0.0306720408631701
KCNMA1_KCNMB1	EIF3G	10	0.0423923201757718	0.0432229412171932
