target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNK3	ID4	3	0	3	-0.068078441719613	-0.057694533227924	0.18144920772142	0.87785393896529
KCNK3	BACE1	3	0	3	-0.0663565329737532	-0.0508725796449321	0.18144920772142	0.87785393896529
KCNK3	ACTB	3	0	3	-0.0625218001042131	-0.0290645086613972	0.18144920772142	0.87785393896529
KCNK3	HERPUD1	3	1	2	-0.061898878806093	-0.0556337744009405	0.422678074170635	0.938984687435668
KCNK3	MYOM1	3	1	2	-0.0608627025047885	-0.0358797510910974	0.422678074170635	0.938984687435668
KCNK3	SLC4A4	3	1	2	-0.0575947106568525	-0.0961580088437852	0.422678074170635	0.938984687435668
KCNK3	TXNIP	3	0	3	-0.0560374096129471	-0.0523959044711164	0.18144920772142	0.87785393896529
KCNK3	PABPC4	3	1	2	-0.0560093029897459	-0.0203687715592933	0.422678074170635	0.938984687435668
KCNK3	GP2	3	1	2	-0.0559357853775158	-0.0118512794225669	0.422678074170635	0.938984687435668
KCNK3	RHOBTB3	3	1	2	-0.0558439624182622	-0.0846871416331745	0.422678074170635	0.938984687435668
KCNK3	FOXP2	3	0	3	-0.0557638480081355	-0.0530609606809141	0.18144920772142	0.87785393896529
KCNK3	PRR26	3	0	3	-0.0557630902715466	-0.0254205202103986	0.18144920772142	0.87785393896529
KCNK3	CRACR2B	3	1	2	-0.0554840039194217	-0.0414530048893798	0.422678074170635	0.938984687435668
KCNK3	SGK1	3	0	3	-0.0551952716489559	-0.0712067979888675	0.18144920772142	0.87785393896529
KCNK3	ZNF22	3	0	3	-0.0548939701059871	-0.051115225238488	0.18144920772142	0.87785393896529
KCNK3	ENOSF1	3	1	2	-0.0546565634387154	-0.0782722043791221	0.422678074170635	0.938984687435668
KCNK3	ZMIZ2	3	1	2	-0.0544289903895179	-0.0886996334292569	0.422678074170635	0.938984687435668
KCNK3	COPB2	3	0	3	-0.0538499974520911	-0.0438011094333806	0.18144920772142	0.87785393896529
KCNK3	OBSL1	3	2	1	-0.0536970125815164	0.00308967610131816	1	1
KCNK3	SRSF11	3	1	2	-0.0518026584859064	-0.00518153239254326	0.789268026134281	1
KCNK6	FTH1	3	0	3	-0.170611953467104	-0.18521770546009	0.18144920772142	0.69391903302128
KCNK6	PLXNB1	3	0	3	-0.163178688843252	-0.167770354672171	0.18144920772142	0.69391903302128
KCNK6	GLUL	3	0	3	-0.153827664303765	-0.143657594421081	0.18144920772142	0.69391903302128
KCNK6	PDS5A	3	0	3	-0.14945132944382	-0.139141256418755	0.18144920772142	0.69391903302128
KCNK6	CXXC1	3	0	3	-0.141347466704951	-0.127571072026174	0.18144920772142	0.69391903302128
KCNK6	BPTF	3	0	3	-0.140476693092912	-0.157217310782499	0.18144920772142	0.69391903302128
KCNK6	MYH9	3	0	3	-0.140358667909899	-0.138934310448078	0.18144920772142	0.69391903302128
KCNK6	COX14	3	0	3	-0.138996162128789	-0.123690251951411	0.18144920772142	0.69391903302128
KCNK6	MYOM1	3	0	3	-0.134281653301146	-0.106966849843774	0.18144920772142	0.69391903302128
KCNK6	STK11	3	0	3	-0.133992491166	-0.118828976492081	0.18144920772142	0.69391903302128
KCNK6	MFN1	3	0	3	-0.133897641970217	-0.132043442701932	0.18144920772142	0.69391903302128
