gene	Origin	cc_ischia_10	n_spots	n_positive	pct_detected	mean_expression_all_spots	mean_positive_expression	median_positive_expression	mean_positive_expression_plot
KCND3	Pancreas	CC7	2572	219	8.51477449455676	0.0948678071539658	1.11415525114155	1	1.11415525114155
KCND3	Pancreas	CC8	0	0	0	0	NA	NA	0
KCND3	Pancreas	CC9	726	45	6.19834710743802	0.0661157024793388	1.06666666666667	1	1.06666666666667
KCND3	Pancreas	CC10	1	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	CC2	53	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	CC3	36	1	2.77777777777778	0.0277777777777778	1	1	1
KCNE4	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	CC7	21	1	4.76190476190476	0.0476190476190476	1	1	1
KCNE4	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
KCNE4	Normal Pancreas	CC10	9707	1289	13.2790769547749	0.172040795302359	1.2955779674166	1	1.2955779674166
KCNE4	Pancreas	CC1	8639	1322	15.3026970714203	0.181733996990392	1.18759455370651	1	1.18759455370651
KCNE4	Pancreas	CC2	5063	280	5.53031799328461	0.0586608730001975	1.06071428571429	1	1.06071428571429
KCNE4	Pancreas	CC3	3317	189	5.69791980705457	0.0596924932167621	1.04761904761905	1	1.04761904761905
KCNE4	Pancreas	CC4	7976	474	5.94282848545637	0.0639418254764293	1.07594936708861	1	1.07594936708861
KCNE4	Pancreas	CC5	7164	765	10.678391959799	0.121021775544389	1.13333333333333	1	1.13333333333333
KCNE4	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNE4	Pancreas	CC7	2572	236	9.17573872472784	0.1049766718507	1.14406779661017	1	1.14406779661017
KCNE4	Pancreas	CC8	0	0	0	0	NA	NA	0
KCNE4	Pancreas	CC9	726	31	4.26997245179063	0.0440771349862259	1.03225806451613	1	1.03225806451613
KCNE4	Pancreas	CC10	1	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	CC2	53	14	26.4150943396226	0.433962264150943	1.64285714285714	1	1.64285714285714
KCNJ15	Normal Pancreas	CC3	36	9	25	0.5	2	2	2
KCNJ15	Normal Pancreas	CC4	3	1	33.3333333333333	0.666666666666667	2	2	2
KCNJ15	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	CC7	21	1	4.76190476190476	0.0952380952380952	2	2	2
KCNJ15	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNJ15	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
